SMILES,logP
C=C(Br)CSC(=S)N1CCSCC1,2.962
CC1(C)C(Br)=C(Br)C(=O)[C@@H]1Br,3.36
CCOc1nc2c(c(-c3ccc(OC)cc3)c1C#N)Cc1ccccc1-2,4.599
CC1(C)C(Br)=C(Br)C(=O)[C@H]1Br,3.36
CCOc1nc2c(c(-c3cccs3)c1C#N)Cc1ccccc1-2,4.652
CC(C)(C)C(=O)CSc1cccc[n+]1[O-],2.027
CC(C)(C)/C(CSc1cccc[n+]1[O-])=N/O,2.288
Cc1nn(-c2ccccc2)cc1/C=N/NC(=O)Cc1ccccc1,2.874
O=c1c(CBr)cccn1Cc1c(F)cccc1Cl,3.584
Cc1nc(C(C)(C)C)cs1,2.749
CC(=O)c1oc2nc3c(c(-c4ccco4)c2c1N)CCc1ccccc1-3,4.638
O=[N+]([O-])c1ccccc1Oc1ccccc1,3.387
CSCN1CCCCC1,1.793
Cc1cc(C)n(C(N)=O)n1,0.427
CCOC(=O)c1nnn2c1nc(SCC(N)=O)c1ccccc12,1.032
CSCC(C(C)=O)C(C)=O,1.144
CCOC(=O)c1nnn2c1nc(SCC(C)=O)c1ccccc12,2.135
O=C(CN1CCc2ccccc21)N1CCc2ccccc21,2.638
[O-][n+]1c(-c2cccnc2)[nH]c2ncccc21,1.258
O=C(CN1CCCc2ccccc21)N1CCc2ccccc21,3.029
C=C(C=O)c1ccccc1[N+](=O)[O-],1.807
O=C(CN1CCCC1)N1CCc2ccccc21,1.671
c1ccc(SCN2CCCCC2)cc1,3.222
CC(=O)c1sc(C)nc1C,1.963
CCCC(=O)c1c(F)cccc1F,2.948
CC(=O)Cc1ccc(Cl)cc1,2.472
COc1ccccc1-c1c[nH]nc1C,2.394
CCOC(=O)c1cnn2c(O)c3c(nc12)CCCC3,1.49
CCOC(=O)c1cnn2c(O)cc(-c3ccccc3)nc12,2.279
CN(C)/C=C/C(=O)/C=C/c1ccc(Cl)cc1,2.998
CN1CCN(c2nnc(-c3ccccc3)c(-c3ccccc3)n2)CC1,2.957
c1ccc(-c2nnc(N3CCCC3)nc2-c2ccccc2)cc1,3.806
CN(C)/C=C/C(=O)/C=C/c1c(F)cccc1Cl,3.137
CC(=O)CSc1nnc(-c2ccccc2)c(-c2ccccc2)n1,3.887
CC(=O)/C=C/c1c(Cl)cccc1Cl,3.596
O=C(CSc1cccc[n+]1[O-])c1cc(Cl)sc1Cl,3.663
Cc1nn(C)c(Cl)c1S(=O)(=O)N1CCOCC1,0.403
Clc1ccc(-c2noc(C(Cl)Cl)n2)cc1,3.866
Cn1ccnc1SCC(=O)N1CCc2ccccc21,2.102
Cc1nn(C)c(Cl)c1S(=O)(=O)N1CCCC1,1.166
CSc1ccccc1NS(=O)(=O)c1c(C)nn(C)c1Cl,2.905
Cc1nn(C)c(Cl)c1S(=O)(=O)Nc1ccccc1,2.183
O=C(CSc1nnc(-c2ccncc2)o1)N1CCc2ccccc21,2.813
Cc1cc(NS(=O)(=O)c2c(C)nn(C)c2Cl)no1,1.479
O=C(CSc1ccccc1)N1CCc2ccccc21,3.368
c1cncc(C2=NCCC2)c1,1.665
Cc1nc(C[C@H]2CC2(Cl)Cl)no1,2.114
Cc1nc(C[C@@H]2CC2(Cl)Cl)no1,2.114
CCOC(=O)c1cn[nH]c1NC(=S)NCc1ccccc1,2.073
NC(=S)c1ccco1,0.914
Cc1nn(C)c(Cl)c1S(=O)(=O)Nc1ccc(Cl)cc1,2.836
C=C(Br)S(=O)(=O)c1ccc(Cl)cc1,2.98
Cc1nn(C)c(Cl)c1S(=O)(=O)NCc1ccccc1,1.86
Cc1nn(C)c(Cl)c1S(=O)(=O)NCc1ccc(Cl)cc1,2.514
CSc1cc(C(C)(C)C)nn1C,2.44
CCC(=O)c1cccs1,2.341
CC(=O)c1cnn(-c2ccc(Cl)nn2)c1C,1.827
CCOC(=O)N1CCC[C@H]1c1cccnc1,2.375
CCOC(=O)N1CCC[C@@H]1c1cccnc1,2.375
Cc1cc(C(F)(F)F)cc(NN)n1,1.694
NS(=O)(=O)c1ccc(F)cc1F,0.612
O=C(CN1CCCc2ccccc21)N1CCCc2ccccc21,3.419
Cc1cc(C(F)(F)F)cc(Cl)n1,3.062
Cc1occc1CO,1.08
O=C(CN1CCc2ccccc21)N1CCCc2ccccc21,3.029
Cc1c(C(=O)O)cnn1-c1ccc(Cl)cc1,2.532
CC(=O)OCc1cccc(COC(C)=O)c1F,1.952
O=C(O[C@H]1CCSC1)c1ccc(Cl)cc1Cl,3.656
O=C(O[C@@H]1CCSC1)c1ccc(Cl)cc1Cl,3.656
Fc1c(Cl)cccc1CBr,3.374
N#Cc1ccc(N=C=O)cc1,1.526
Fc1c(Cl)cccc1C[n+]1ccccc1,2.815
O=C(CCl)Nc1cc(NC(=O)CCl)cc(C(F)(F)F)c1,3.06
N#Cc1cccc(C(=O)NC=O)c1F,0.584
NNc1ccc(C(F)(F)F)cc1,1.991
CSc1cc(C(C)(C)C)nn1C(=O)C(Cl)=C(Cl)Cl,4.428
Sc1nnc(-c2ccco2)o1,1.618
N#CCc1n[nH]c(CSc2cccc[n+]2[O-])n1,0.796
CCN(CC)c1ncc(C#N)c(N)n1,0.777
Cc1cc(NC(=O)/N=C(/C(Cl)Cl)N2CCOCC2)no1,2.049
Cc1cc(NC(=O)/N=C(\C(Cl)Cl)N2CCSCC2)no1,2.766
N#Cc1cnc(N2CCCC2)nc1N,0.531
CN1CCN(c2ncc(C#N)c(N)n2)CC1,0.318
C[N+](C)(C)Cc1ncccc1O,0.993
Cc1nn(C)c(C)c1N,0.619
CC(=O)/C=C/c1ccc(N(C)C)cc1,2.355
N#Cc1cnc(N(Cc2ccccc2)Cc2ccccc2)nc1N,3.137
Cc1ccc(N=C=O)cc1Cl,2.616
N#Cc1cnc(N2CCc3ccccc32)nc1N,1.625
CC(=O)/C=C/c1ccc(C(F)(F)F)cc1,3.308
CC(=O)/C=C/c1ccc(F)cc1,2.428
Cc1cc(C)n(C2=NCCN2C(=O)C(Cl)=C(Cl)Cl)n1,2.432
COc1cc(/C=C/C(C)=O)cc(OC)c1OC,2.315
N#Cc1cnc(N2CCOCC2)nc1N,0.233
NCc1c(Cl)cccc1Oc1ccccc1,3.591
O=C1C=C(Cl)C[C@H](c2ccc(Cl)cc2)C1,3.909
O=C1C=C(Cl)C[C@@H](c2ccc(Cl)cc2)C1,3.909
Cn1ccc(-c2nccs2)n1,1.544
[O-][n+]1ccccc1SCc1cc(Cl)sc1Cl,3.981
C[C@@H]1OC/C(=C\NN)C1=O,0.679
C[C@H]1OC/C(=C\NN)C1=O,0.679
Sc1nnc(-c2ccccc2)n1/N=C/c1cccs1,3.178
C=CCn1c(SCC(=O)NC(=O)NC)nnc1-c1ccncc1,1.074
COc1cccc(OC)c1N=C=O,1.671
CCC(C#N)(C#N)CC,1.84
CC(=O)/C=C/c1cccc(C(F)(F)F)c1,3.308
O=C(CSc1cccc[n+]1[O-])c1ccc(-c2ccc(F)cc2F)o1,3.833
NC(=O)c1cccc(Cl)c1F,1.578
COc1cccc(OC)c1C=O,1.516
Cn1nc(C(=O)Nc2ccccc2)cc1Cl,2.326
Nn1c(S)nnc1-c1ccc(Cl)cc1,1.601
Cn1nc(C(=O)Nc2cccnc2)cc1Cl,1.721
C=CCC(C(=O)N1CCc2ccccc21)C(=O)N1CCc2ccccc21,3.357
Cn1nc(C(=O)N2CCCCC2)cc1Cl,1.7
Cn1nc(C(=O)NNc2ccccc2)cc1Cl,1.83
Cc1cc(C(F)(F)F)cc(NNC(=O)c2cc(Cl)n(C)n2)n1,2.553
C=CCn1c2ccccc2c2nn(C)c(=S)nc21,2.838
S=C(Nc1ccccc1)N1c2ccccc2Sc2ccccc21,5.686
Cn1nc(C(=O)Oc2ccc(F)cc2)cc1Cl,2.432
CC(=O)C1CCN(C(C)=O)CC1,0.834
Cc1nc(CSc2cccc[n+]2[O-])cs1,2.377
O=Cc1csc([N+](=O)[O-])c1,1.469
Cn1nc2c3ccccc3n(Cc3ccccc3)c2nc1=S,3.701
N#Cc1c(-c2cccnc2)c2c([nH]c1=O)-c1ccccc1SC2,3.581
O=[N+]([O-])c1cccc(C(Cl)(Cl)Cl)c1,3.422
O=C(CCl)Nc1ccc(-c2cnco2)cc1,2.519
C[C@H]1c2ccsc2CCN1C(=O)NC(=O)c1cccnc1Cl,3.266
N#Cc1c(-c2ccc(F)cc2)c2c([nH]c1=O)-c1ccccc1SC2,4.325
C[C@@H]1c2ccsc2CCN1C(=O)NC(=O)c1cccnc1Cl,3.266
COC(=O)c1cccc(NC(=O)NC(=O)c2cccnc2Cl)c1,2.484
CCC[C@@H](C#N)c1ccc(OC)cc1,3.102
CCC[C@H](C#N)c1ccc(OC)cc1,3.102
N#Cc1c(-c2ccco2)c2c([nH]c1=O)-c1ccccc1OC2,3.066
N#CCC(=O)N1CCCC1,0.522
CCOc1ccc(C(C)=O)cc1,2.288
O=C(c1ccc(Cl)cc1)[C@@H](Br)c1ccccc1,4.659
O=C(c1ccc(Cl)cc1)[C@H](Br)c1ccccc1,4.659
CCOC(=O)c1cnn2c(O)c3c(nc12)CCC3,1.1
CC(=O)Oc1c(-c2ccccc2)c(=O)n2c3c(cccc13)CC2,3.15
Cc1ccc([C@@H](Br)C(=O)c2ccc(Cl)cc2)cc1,4.967
N=C(N)N1CCCCC1,0.366
Clc1ccccc1CSc1nnc2c(n1)[nH]c1ccccc12,4.452
N=C(NN)N1CCOCC1,1.283
N#Cc1cnc(N2CCN(c3ccccc3)CC2)nc1N,1.257
CN(C(=O)CCl)c1ccc(Cl)cc1C(=O)NC1CCCCC1,3.604
N#Cc1cnc(N2CCCCC2)nc1N,0.921
NNC1=NCCN1Cc1ccccc1,0.322
N#Cc1cc(Cl)ccc1Cl,2.865
O=C(CBr)c1ccc(Cl)cc1,2.918
O=C(NCc1cccs1)NCc1cccs1,2.809
NC(=S)Cc1ccc([N+](=O)[O-])cc1,1.423
Nc1c(C(=O)N/N=C/c2cccnc2)cnn1-c1ccccc1,1.613
CN(C(=O)CCl)c1ccc(Cl)cc1C(=O)NC(C)(C)C,3.07
Cc1ccc(-c2cc(-c3ccco3)c3c(N)c(C(=O)NN)oc3n2)cc1,3.249
Nc1ccc(Cl)cc1C(=O)NNc1ccccc1,2.679
FC(F)(F)c1ccc(Cl)c(I)c1,3.963
Clc1ccc(Oc2ncnc3c2nnn3Cc2ccccc2)cc1,3.715
O=C(O)c1cc(Cl)ccc1Cl,2.692
Nc1ccc(F)cc1Br,2.17
Cc1cc(C)c(C(=O)O)c(C)c1,2.31
CC(C)c1ccc(N)c(Br)c1,3.155
COc1cccc(-c2c(C#N)c(OC)nc3c2Cc2ccccc2-3)c1,4.209
CNC(=S)N/N=C(\C)c1cc([N+](=O)[O-])ccc1Cl,2.066
CN/N=C(\C)c1cc([N+](=O)[O-])ccc1Cl,2.192
CCOc1nc2c(c(-c3ccco3)c1C#N)Cc1ccccc1-2,4.183
Nc1nc(-c2cc([N+](=O)[O-])ccc2Cl)cs1,2.954
O=[N+]([O-])c1ccc(Cl)c(-c2csc(Nc3ccccc3)n2)c1,5.115
N#Cc1cccc(C(F)(F)F)c1,2.577
O=C(Cn1nnc2ccccc21)N/N=C/c1cccs1,1.643
CC1(C)CC(=O)[C@@H]2O[C@]2(C)C1,1.533
CC1(C)CC(=O)[C@H]2O[C@@]2(C)C1,1.533
CC1(C)CC(=O)[C@@H]2O[C@@]2(C)C1,1.533
O=C1c2ccccc2CC[C@@]12O[C@H]2c1ccccc1,3.326
O=C1c2ccccc2CC[C@@]12O[C@@H]2c1ccccc1,3.326
O=C1c2ccccc2CC[C@]12O[C@H]2c1ccccc1,3.326
O=C1c2ccccc2CC[C@]12O[C@@H]2c1ccccc1,3.326
O=C(/C=C/c1ccccc1)NNC(=O)c1cc(Cl)nc(Cl)c1,2.863
O=c1c2c[nH]nc2nc(S)n1-c1cccc(C(F)(F)F)c1,2.416
Nc1ccccc1Sc1cc(Cl)c(Cl)cc1[N+](=O)[O-],4.635
CC1=Nn2c(Cn3nnc4ccccc43)nnc2SC1,1.401
O=C(c1ccc(Cl)c([N+](=O)[O-])c1)N1CC=CCC1,2.65
CCOC(=O)C1CCN(C(=O)c2ccc(Cl)c([N+](=O)[O-])c2)CC1,2.664
O=C(c1cc([N+](=O)[O-])ccc1Cl)N1CCOCC1,1.721
N#Cc1cnc(Nc2cccc(C(F)(F)F)c2)nc1N,2.693
O=C(O)c1ccc(F)cc1,1.524
CCOC(=O)C(C#N)=C1CCCCCC1,2.724
C/C(=N\O)c1ccc(Cl)c(N)c1,2.12
C1=C(N2CCOCC2)CCCC1,1.776
Cc1cc(Cl)n(C[C@H](O)c2c(Cl)cccc2Cl)n1,3.885
Cc1cc(Cl)n(C[C@@H](O)c2c(Cl)cccc2Cl)n1,3.885
Cc1cc(Cl)n(C[C@H](O)C(C)(C)C)n1,2.252
Cc1ccccc1Nc1ncc(C#N)c(N)n1,1.982
Cc1cc(Cl)n(C[C@@H](O)C(C)(C)C)n1,2.252
Cc1cc(Cl)n(C[C@H](O)c2c(F)cccc2Cl)n1,3.371
