SMILES,logP
c1cncc(-c2cccc(-n3cnc4cc(-c5ccoc5)cnc43)c2)c1,4.743
Nc1cc(-c2ccc(Cl)c(Cl)c2)cc2nc(C3=CCCO3)nn12,4.047
O=C1C=C(N2CCOCC2)CN1c1ccc(Cl)cc1,1.903
CC(C)(C)C1=C/C(=N/NC(=O)c2ccccc2)C=CC1=O,2.884
Cc1ccc(-c2cc(NC[C@H](O)CN)c3ccccc3n2)cc1,2.942
N#Cc1c(N)cccc1S(=O)(=O)c1cc(Cl)cc(Cl)c1,3.28
c1ccc(CSc2nnc(Nc3ccccc3)[nH]2)cc1,3.841
CC1=CC[C@H]2[C@@H]1[C@@H]1OC(=O)[C@H](C)[C@@H]1CC[C@@]2(C)O,2.291
CC(C)NC1=NS(=O)(=O)c2cc(Cl)sc2N1,1.87
NC1=NC[C@H](COc2ccccc2Br)O1,1.541
O=C(O)c1c(O)cc2occ(-c3ccc(O)cc3)c(=O)c2c1O,2.275
NC(=O)CNC1Cc2ccccc2C1,0.229
O=c1cc(-c2ccncc2)oc2c1ccc1ccccc12,4.008
Cc1ccc(/N=C2\C(=O)C3=C(OC(C)(C)CC3)c3ccccc32)cc1,4.999
O=C[C@H](CC(=O)O)NC(=O)c1cncc(Br)c1,0.616
O=c1[nH]c(NCc2ccccc2)nc2[nH]ncc12,1.258
CC(C)[C@@](O)(c1cccc(-c2ccc(F)cc2)c1)c1c[nH]cn1,4.108
COc1ccc2cc(CC(=O)OCC(C)=O)ccc2c1,2.523
COc1ccc(-c2cnc3ccnc(N)c3c2)cc1OC,2.896
COC(=O)[C@H](Cc1c[nH]c2ccccc12)/N=C/c1ccc(O)cc1,3.077
Cc1cc(C)c(/C=C2/C(=O)NN=C2c2cnccn2)[nH]1,1.339
c1cc(-c2cnc3c(-c4ccsc4)cnn3c2)ncn1,2.915
CCOC(=O)c1cc2c(O)cccc2n1C,2.061
Clc1ccc2ncnc(N[C@H]3C[C@H]4CC[C@@H]3C4)c2c1,3.884
C[C@H](NCCc1ccc(CCC(=O)O)cc1)[C@H](O)c1ccc(O)cc1,2.664
Cc1c(C#N)cn(-c2ccccc2)c1C(=O)O,2.356
CCc1cn([C@H]2O[C@@H](CO)[C@H](O)[C@H]2O)c(=S)[nH]c1=O,0.92
c1ccc(Oc2ccc(Cc3nc4ccccc4[nH]3)cn2)cc1,4.341
O=C(NCc1ccccc1)C1CCC(Cc2nc3ccccc3[nH]2)CC1,4.228
CS(=O)(=O)c1ccc(-c2cc(Cl)nn2-c2ccccc2)cc1,3.596
CC(C)(C)C(=O)OC[C@@H]1C=C(c2ccc(Cl)c(Cl)c2)C(=O)O1,3.892
COC(=O)[C@@H]1[C@@H](c2ccc(Cl)c(Cl)c2)C[C@@H]2C[C@H](O)[C@H]1N2C,2.704
C[C@@H]1C(c2ccccc2)=C(c2ccc(S(C)(=O)=O)cc2)ON1C,3.224
Clc1ccc2c(c1)N1CC[C@H](n3ccnc3)c3cccc(c31)S2,5.132
CNC(=O)c1cnc(SC)nc1Nc1ccc2cn[nH]c2c1,2.178
CCCc1c(OC2CCCCC2)c2cc(Cl)ccc2[nH]c1=O,4.846
O=C(N1CCCC1)n1oc(=O)c2c(F)cccc21,1.798
CCCN1[C@@H](C)CN(c2cccc(S(C)(=O)=O)c2)C[C@H]1C,2.399
CCCN1CCC(c2ccc(Cl)c(C(F)(F)F)c2)CC1,4.948
COc1ccc(NC(=N)c2cccs2)cc1CN1CCC[C@H]1CO,3.151
COc1ccc(-c2csc3c2-n2cccc2C3=O)cc1O,3.464
C1=C(c2cccnc2)[C@@H]2CC[C@H](CC1)N2,2.379
N=C(N)c1ccc(NC(=O)Nc2ccc(Oc3ccccc3)cc2)cc1,4.407
CNC1=NC(=O)[C@@H]([C@H](C)c2c[nH]c3ccccc23)O1,1.772
