SMILES,logP
CCn1c(=O)n(C(=O)NC2[C@H]3CC4C[C@@H]2CN(C4)C3)c2ccccc21,1.721
CC(C)n1c(=O)n(C(=O)N[C@@H]2[C@@H]3CN4C[C@@H]3C[C@@H]2C4)c2ccccc21,1.892
CC[C@H](Sc1ccccc1)C(=O)O[C@@H]1C[C@H]2CCC[C@@H]1N2C,3.726
Nc1nc(OCC2CC2)c2ncn([C@@H]3C[C@@H](O)[C@H](CO)S3)c2n1,0.555
COc1nc(N)nc2c1ncn2[C@@H]1C[C@@H](O)[C@H](CO)S1,0.226
CN(c1nc(N)nc2c1ncn2[C@@H]1C[C@@H](O)[C@H](CO)S1)C1CC1,0.364
CCN(C)c1nc(N)nc2c1ncn2[C@@H]1C[C@@H](O)[C@H](CO)S1,0.222
CC(C)Nc1nc(N)nc2c1ncn2[C@@H]1C[C@@H](O)[C@H](CO)S1,0.586
Nc1nc(N2CCCC2)c2ncn([C@@H]3C[C@@H](O)[C@H](CO)S3)c2n1,0.366
O[C@H](CNn1ccnc1)c1ccc(Cl)cc1Cl,2.467
O=C(c1ccc(Cl)cc1Cl)[C@H](O)Nn1ccnc1,1.935
CCS(=O)(=O)c1no[n+]([O-])c1-c1ccccc1,0.769
NC(=O)C[S@@](=O)c1no[n+]([O-])c1-c1ccccc1,0.432
[O-][n+]1onc(OCc2cccnc2)c1-c1ccccc1,1.949
O=S(=O)(CCO)c1no[n+]([O-])c1-c1ccccc1,0.259
CN(CCOc1no[n+]([O-])c1-c1ccccc1)Cc1ccccc1,2.486
CCN(CC)CCS(=O)(=O)c1no[n+]([O-])c1-c1ccccc1,1.09
COC(=O)C[S@@](=O)c1no[n+]([O-])c1-c1ccccc1,0.256
O=c1[nH]c2cc(Cl)c(-n3cccc3)cc2[nH]c1=O,1.66
O=c1[nH]c2cc(-n3cccc3)c(C(F)(F)F)cc2[nH]c1=O,2.026
O=c1[nH]c2cc(-n3cccc3)c([N+](=O)[O-])cc2[nH]c1=O,0.915
COC(=O)c1cccn1-c1cc2[nH]c(=O)c(=O)[nH]c2cc1[N+](=O)[O-],0.702
Cc1ccc(C)n1-c1cc2[nH]c(=O)c(O)nc2cc1[N+](=O)[O-],1.944
Cc1ccc(C)n1-c1cc2[nH]c(=O)c(=O)[nH]c2cc1C(F)(F)F,2.643
N#Cc1c(Sc2ccccn2)nc2n(c1=O)CCS2,1.767
S=C(Nc1ccccc1)c1ccn2c1CS[C@H]2c1cccnc1,4.464
c1ccc2c(c1)cnn1c(-c3ccncc3)nnc21,2.339
c1ccc(-c2nnc3c4ccccc4cnn23)cc1,2.945
Clc1ccc(-c2nnc3c4ccccc4cnn23)cc1,3.598
c1ccc2c(c1)cnn1c(-c3ccoc3)nnc21,2.538
N=C(N)c1ccc(COc2cccc(C(=O)NCCC(=O)O)c2)cc1,1.754
N=C(N)c1ccc(COc2cccc(C(=O)NCCC(N)=O)c2)cc1,1.155
C=C1C[C@@H](C(C)(C)OCc2ccccc2)OC1=O,2.854
CC(C)(O)[C@H]1C[C@@H](CS)C(=O)O1,0.619
CC(C)(O)[C@H]1C[C@@H](CS)C(=O)N1,0.192
CC(C)c1nc2c(s1)Nc1ccccc1CC2,4.109
c1ccc(Cc2nc3c(s2)Nc2ccccc2CC3)cc1,4.576
O=[N+]([O-])c1ccc(-c2nc3c(s2)Nc2ccccc2CC3)cc1,4.561
COc1ccc2c(c1)CCc1nc(-c3ccccc3)sc1N2,4.661
S=C(c1ccc(Cl)c(Cl)c1)N1CCCC(c2ccccc2)=N1,5.169
Fc1ccc(C(=S)N2CCCC(c3ccccc3)=N2)cc1F,4.14
C[C@@H]1CC(c2ccccc2)=NN(C(=O)c2ccc(F)c(F)c2)C1,3.851
C[C@@H]1CC(c2ccccc2)=NN(C(=O)c2ccc(Cl)c(Cl)c2)C1,4.88
C[C@@H]1CC(c2ccccc2)=NN(C(=S)c2ccc(F)c(F)c2)C1,4.386
O=C(c1ccc(Cl)c(Cl)c1)N1CCCC(c2cccs2)=N1,4.695
O=C(c1ccc(Cl)c(Cl)c1)N1CCCC(c2ccsc2)=N1,4.695
CCN1CCS(=O)(=O)c2sc(S(N)(=O)=O)cc2C1,0.005
CC(C)CN1CCS(=O)(=O)c2sc(S(N)(=O)=O)cc2C1,0.641
CN1C[C@@H](CF)C[C@H]1c1cccnc1,2.044
CN1C[C@H](F)C[C@H]1c1cccnc1,1.796
CN1C[C@H](C#N)C[C@H]1c1cccnc1,1.598
CN1C[C@@H](CC#N)C[C@@H]1c1cccnc1,1.988
NC(=O)N(O)CC1=Cc2cc(Oc3ccc(F)cc3)ccc2OCC1,3.554
CSc1ccc(O[C@@H](CCN)c2ccccc2)cc1,3.877
C=CC[C@H]1CCC[C@@H]1NC1=NCCO1,1.707
COc1ccc2c(=O)cc(-c3ccccc3)oc2c1,3.469
CC(=O)[C@@H]1CC[C@H]2[C@@H]3CCc4cc(C(=O)O)ccc4[C@H]3CC[C@@]21C,4.446
COC(=O)Nc1nc2cc([C@H](N)c3ccc(F)cc3)ccc2[nH]1,2.928
COC(=O)Nc1nc2cc([C@H](N)c3ccccc3)ccc2[nH]1,2.789
CCOC(=O)Nc1nc2cc([C@H](N)c3ccc(F)cc3)ccc2[nH]1,3.319
CCOC(=O)Nc1nc2cc([C@H](N)c3ccccc3)ccc2[nH]1,3.179
CC(C)c1cccc(C(C)C)c1NC(=O)CC(=O)Cc1ccccc1,5.074
CCN(CC)C[C@@H](O)c1cccc(OC)c1OC(C)C,2.858
COc1cccc([C@H](O)CN(C)C)c1OC(C)C,2.077
CC(C)Oc1c(Cl)cccc1[C@H](O)CN(C)C,2.722
c1ncn(-c2ccc3[nH]cc(CCN4CCC4)c3c2)n1,1.997
CN1CC(Cc2c[nH]c3ccc(Cn4cncn4)cc23)C1,1.912
CN1CCC[C@H]1Cc1c[nH]c2ccc(-n3cnnc3)cc12,2.385
CN(C)C1CC(c2c[nH]c3ccc(Cn4cncn4)cc23)C1,2.615
c1cc2[nH]cc(CCN3CCC3)c2cc1-n1cnnc1,1.997
c1cc2[nH]cc(CCN3CCCC3)c2cc1-n1cnnc1,2.387
CC(C)O/N=C1\c2cc(Cl)ccc2NC(=O)C1(C)C,3.447
CC(C)O/N=C1\c2cc(Cl)ccc2NC(=S)C1(C)C,4.248
C[C@@H](N)[C@@H](O)c1cccc(O)c1,0.773
C[C@H](/C=C/c1cccc(Oc2ccc(C#N)cc2)c1)N(O)C(N)=O,3.522
C[C@@H](/C=C/c1cccc(Oc2ccc(C#N)cc2)c1C#N)N(O)C(N)=O,3.394
CC(=O)N(O)[C@@H](C)/C=C/c1cccc(Oc2ccc(C#N)cc2)c1,3.99
NC(=O)N(O)Cc1ccc2c(c1)CCN2Cc1ccccc1,2.519
COc1cccc(CN2CCc3cc(CN(O)C(N)=O)ccc32)c1,2.528
NC(=O)N(O)Cc1ccc2c(c1)CCN2c1ccccc1,2.651
CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCCC3)cc12,2.588
CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,2.198
COc1nc(N2CCN(C)CC2)c2c(no[n+]2[O-])n1,0.988
CCN(CC)CCNc1nc(OC)nc2no[n+]([O-])c12,0.013
CCn1c(=O)c2c(no[n+]2[O-])n(Cc2cccnc2)c1=O,0.752
Cc1c(-c2cccnc2)no[n+]1[O-],0.678
CCCc1c(-c2cccnc2)no[n+]1[O-],1.322
Nc1ccn([C@]23C[C@H](O)[C@@H](CO)[C@H]2C3)c(=O)n1,1.086
Nc1ncnc2c1ncn2[C@]12C[C@H](O)[C@@H](CO)[C@H]1C2,0.503
Nc1nc2c(ncn2[C@]23C[C@H](O)[C@@H](CO)[C@H]2C3)c(=O)[nH]1,1.21
O=C1Nc2ccc(Cl)cc2[C@](C#CC2CC2)(C(F)(F)F)O1,4.073
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=N[C@@H]2C,4.141
Brc1nnc2n1-c1ccccc1C(c1ccccc1)=NC2,3.381
O=C1CC[C@H]2c3c(-c4noc(C5CC5)n4)ncn3-c3ccccc3N12,2.981
O=C1Nc2ccccc2[C@]2(c3ccccc3)OCCN12,2.765
S=C1Nc2ccccc2[C@]2(c3ccccc3)OCCN12,2.93
Cc1ccnc([C@@]23OCCN2C(=O)Nc2cccnc23)c1,1.864
