SMILES,logP
Nc1ccn([C@@H]2C[C@H](O)[C@H](CO)O2)c(=O)n1,1.534
C[C@H](CO)CCNc1ncnc2[nH]cnc12,0.783
C[C@@H](CO)CCNc1ncnc2[nH]cnc12,0.783
CN(C)c1ccn([C@H]2C[C@@H](O)[C@H](CO)O2)c(=O)n1,1.05
Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,3.825
N[C@@H](Cc1cc(Br)c(O)c(Br)c1)C(=O)O,1.872
N[C@H](Cc1cc(Br)c(O)c(Br)c1)C(=O)O,1.872
CC1(C)OC[C@@H]([C@H]2OC(C)(C)O[C@@H]2CO)O1,0.65
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)oc1C,1.674
CC(=O)Nc1ccn([C@H]2C[C@H](OC(C)=O)[C@@H](CO)O2)c(=O)n1,0.587
CCN1c2cc(N)ccc2-c2ccc(N)cc2[C@H]1c1ccccc1,4.447
CCN1c2cc(N)ccc2-c2ccc(N)cc2[C@@H]1c1ccccc1,4.447
Nc1nc2c(ncn2[C@H]2O[C@@H](CO)C[C@@H]2O)c(=O)[nH]1,1.658
CC(C)[C@H]1CN[C@@H](C(=O)O)[C@@H]1CC(=O)O,0.406
O=C(O)c1cc(-c2cc(C(=O)O)c3ccccc3n2)nc2ccccc12,3.846
Nc1nccc2c1ncn2[C@@H]1O[C@H](CO)[C@H](O)[C@@H]1O,1.375
CN(C)c1cccc2c(S(=O)(=O)NCCC(=O)O)cccc12,1.659
CCc1cccc2c3c([nH]c12)[C@](CC)(CC(=O)O)OCC3,3.383
C[C@H](CO)NC(=O)[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@@H]2N(C)C1,1.535
CCOc1ccc2nccc([C@@H](O)[C@H]3C[C@H]4CCN3C[C@H]4CC)c2c1,3.787
CCc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,1.26
C[C@@H](Cc1ccc(O)cc1)NC[C@H](O)c1cc(O)cc(O)c1,2.058
C[C@H](Cc1ccc(O)cc1)NC[C@H](O)c1cc(O)cc(O)c1,2.058
C[C@@H](Cc1ccc(O)cc1)NC[C@@H](O)c1cc(O)cc(O)c1,2.058
C[C@H](N)Cc1c[nH]c2ccc(F)cc12,2.197
C[C@@H](N)Cc1c[nH]c2ccc(F)cc12,2.197
O=C(/C=C/c1ccco1)N[C@@H](Cc1ccccc1)C(=O)O,2.105
N[C@@H](Cc1c[nH]c2cccc(F)c12)C(=O)O,1.261
N[C@H](Cc1c[nH]c2cccc(F)c12)C(=O)O,1.261
C[C@@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,1.685
Nc1ccn([C@@H]2O[C@@H](CO)[C@@H](O)[C@H]2F)c(=O)n1,1.586
Cc1cc(=O)oc2cc(NC(=O)CN)ccc12,0.999
COc1ccccc1OC[C@H](O)COC(N)=O,0.53
COc1ccccc1OC[C@@H](O)COC(N)=O,0.53
Cc1cc(=O)oc2cc(NC(=O)CC[C@H](N)C(=O)O)ccc12,1.232
Cc1cc(=O)oc2cc(NC(=O)CC[C@@H](N)C(=O)O)ccc12,1.232
COc1cc2c(CCNC(C)=O)c[nH]c2cc1O,1.561
C[C@H](O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,1.185
C[C@@H](O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,1.185
Cc1oc2c(C)c3oc(=O)cc(C)c3cc2c1CO,2.957
CN[C@@H](C)Cc1cc2c(cc1O)OCO2,1.271
CN[C@H](C)Cc1cc2c(cc1O)OCO2,1.271
CCOC(=O)c1cc2ccc(O)cc2oc1=O,1.675
O=c1[nH]c(=O)n([C@@H]2C[C@H](O)[C@@H](CO)O2)cc1CO,2.33
Cn1c(=O)c2c(ncn2CCO)n(C)c1=O,1.574
CC(=O)/C=C/[C@@]1(O)C(C)=CC(=O)CC1(C)C,1.808
CC(=O)/C=C/[C@]1(O)C(C)=CC(=O)CC1(C)C,1.808
CC(C)[C@@H]1C(=O)N[C@@H](CO)Cc2c[nH]c3cccc(c23)N1C,1.662
