SMILES,logP
CNC(=O)c1cccc2[nH]n(C)c(=O)c12,0.226
CCNC(=O)c1cccc2[nH]n(C)c(=O)c12,0.616
CNC(=O)c1cccc2[nH]n(Cc3cccnc3)c(=O)c12,1.133
CCNC(=O)c1cccc2[nH]n(Cc3cccnc3)c(=O)c12,1.523
O=C1CN(S(=O)(=O)c2cc3c(Cl)c(Cl)ccc3o2)C(=O)N1,1.98
O=C1CN(S(=O)(=O)c2cc3cc(Cl)c(Cl)cc3o2)C(=O)N1,1.98
Nc1ncc2ncn(C3CC(CO)C3)c2n1,0.352
Nc1nc(N)c2ncn(C3CC(CO)C3)c2n1,0.066
Nc1ncnc2c1ncn2C1CC(CO)C1,0.352
Nc1nc(Cl)c2ncn(C3CC(CO)C3)c2n1,1.005
OCC1CC(n2cnc3c(Cl)ncnc32)C1,1.423
Cc1cn(C2CC(CO)C2)c(=O)[nH]c1=O,0.212
Nc1ccn(C2CC(CO)C2)c(=O)n1,0.231
CNC(=O)[C@@H](C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,1.53
COC(=O)[C@@H](C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,1.957
CC(=O)NC[C@@H]1CN(c2ccc(-c3ccc(C#N)cc3)cc2)C(=O)O1,2.687
c1ccc(-c2cc3[nH]ccn3n2)cc1,2.329
Clc1ccc(-c2cc3[nH]ccn3n2)cc1,2.983
Cc1c(-c2ccccc2)nn2cc[nH]c12,2.638
c1ccc(-c2cnn3cc[nH]c23)cc1,2.329
Cc1c(-c2cccs2)nn2cc[nH]c12,2.699
Cc1nn2cc[nH]c2c1-c1ccccc1,2.638
Cc1nn2cc[nH]c2c1-c1ccc(Cl)cc1,3.291
Cc1ccc(-c2cnn3cc[nH]c23)cc1,2.638
c1csc(-c2cnn3cc[nH]c23)c1,2.391
Cc1nn2cc[nH]c2c1-c1cccs1,2.699
CN(C)CCCN1Cc2cccn2N(C)c2ccncc21,2.054
CN1CCC(N2Cc3cccn3N(C)c3ccncc32)CC1,2.197
CN1Cc2cccn2N(C)c2ccncc21,1.732
O=C(c1ccc(F)cc1)N1CCN(CCCc2cccnc2)CC1,2.611
O=C([C@H]1CCCN1C(=O)OCc1ccccc1)N1CCCCC1,2.8
O=C([C@H]1CSCN1C(=O)OCc1ccccc1)N1CCOCC1,1.557
O=C([C@H]1CCCN1C(=O)OCc1ccccc1)N1CCCC1,2.41
O=C([C@H]1CSCN1C(=O)OCc1ccccc1)N1CCCC1,2.321
O=C([C@H]1CCCN1C(=O)OCc1ccccc1)N1CCSC1,2.321
CCCc1c(O)cc(O)c(C(=O)CCc2ccc(O)cc2)c1O,3.277
Cc1c(C)c2c(c(C)c1O)CN(CCCN1CCOCC1)CO2,2.192
N#Cc1ccc(C[C@@H](Cn2cncn2)c2ccc(C#N)cc2)cc1,3.048
N#Cc1ccc([C@@H](Cc2ccc(Cl)cc2)Cn2cncn2)cc1,3.83
CNCC(=O)N1c2ccccc2N(C)S(=O)(=O)c2ccccc21,1.709
CCCc1nc(NO)nc(N2CCOCC2)n1,0.462
CCCc1nc(NC[C@H](C)O)nc(N2CCOCC2)n1,0.453
CCCc1nc(NC[C@@H](C)O)nc(N2CCOCC2)n1,0.453
CCCc1nc(NN(C)C)nc(N2CCOCC2)n1,0.549
CCCc1nc(NC(=O)c2ccccc2)nc(N2CCOCC2)n1,1.913
CCCc1nc(N2CCOCC2)nc(N(C)C(=O)c2ccccc2)n1,1.937
C[C@H](c1cccnc1)[C@@](O)(Cn1cncn1)c1ccc(F)cc1F,2.643
