SMILES,logP
CC(=O)Nc1ccccc1N,1.227
CONC(=O)Nc1ccccc1,1.369
CCn1c2c(O)[nH]c(=O)n(C)c-2nc1=S,0.47
Cn1c(=O)[nH]c(=O)c2c1nc1n2CCNN1,1.647
COc1cccc(C)c1O,1.709
COC(=O)c1ccc(NN)cc1,0.759
NNc1nnc(Cl)c2c1CCCC2,1.294
Nc1nc(F)cc(N2CCOCC2)n1,0.034
O=C(O)/C=C/C(=O)N1CCOCC1,0.514
CC(C)c1nnc(NC(=O)CC(=O)O)s1,1.075
CCOC(=O)CC(=O)Nc1nnc(C)s1,0.738
CN(C)C(=S)Nc1ccccn1,1.34
N=c1ncn(C[C@H](O)CO)c2nc[nH]c12,1.408
N=c1ncn(C[C@@H](O)CO)c2nc[nH]c12,1.408
CN(C)c1nc2c([nH]1)c(=O)[nH]c(=O)n2C,0.984
NNc1ncc(F)c(N2CCOCC2)n1,0.262
CCCc1cc(C(=O)O)n(C)n1,1.071
CCOC(=O)C1=C(N)C(=O)N(C)C1,0.766
CC12OC3CC(CC(C3)O1)O2,1.027
Cc1c(N)cc[n+](C)c1C,0.71
CCC(=O)N1CCC[C@H]1C(=O)O,0.472
CCC(=O)N1CCC[C@@H]1C(=O)O,0.472
NC(=O)N/N=C1/CCC2CC1C2,0.831
CCNc1nc(OC)cc(OC)n1,0.926
Cc1nnc(NC2CCCC2)s1,2.201
Nc1nc(C(=O)N2CCCCC2)n[nH]1,0.013
CSc1nnc(C(C)(C)C)c(=O)n1N,0.372
O=C(CCl)n1c(=O)sc2cc(Br)ccc21,2.705
O=c1ccoc2ccc(Cl)cc12,2.446
Clc1ccc2c(Cl)cccc2n1,3.542
Clc1ccc2cccc(Cl)c2n1,3.542
Fc1ccc(-n2c(S)nnc2C(F)(F)F)cc1,2.714
Cc1c(Br)cc(-c2nnco2)cc1Br,3.57
CC(=O)n1c(=O)sc2cccc(Cl)c21,2.377
O=Cc1sc(O)nc1-[n+]1ccccc1,0.938
CC(=O)n1c(=O)sc2cc([N+](=O)[O-])ccc21,1.631
