SMILES,logP
Cc1cn(CCC(=O)c2cn(C)c3ccccc23)cn1,2.956
Cc1nccn1CC(C)(C)C(=O)c1cn(C)c2ccccc12,3.592
N#Cc1cc2[nH]c(=O)c(=O)[nH]c2cc1C(F)(F)F,1.107
Nc1nc(N)nc(-c2cc(Cl)ccc2Cl)n1,2.01
Cc1csc(Cl)c1NC1=NCCN1,2.081
CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,3.073
CNC(=S)[C@H](C(=O)NCc1ccccc1)c1ccccn1,2.028
CCOc1cc(N(C)C)c(=O)n(-c2ccccc2)n1,1.697
Oc1cccc([C@]23CCCC[C@@H]2CN(CC2CC2)CC3)c1,3.936
Cc1nc2c(OCc3ccccc3)cccc2[nH]1,3.45
CCOC(=O)c1cc(CC)c2ccc(C(C)C)ccc1-2,4.654
C[C@H](CN1CCCC1)C(=O)c1ccc(C(F)(F)F)cc1,3.62
CN(C)CC[C@@H]1Cc2ncccc2C(=O)N(C)C1,1.278
O=C1NC(=O)[C@@]2(N1)NC(=O)Nc1ccc(Cl)cc12,0.467
C[C@@H](O)/C=C/[C@@H]1C(C)(C)C[C@@H](O)C[C@@]1(C)O,1.471
COc1ccc(-n2nc3c4c([nH]cc-3c2=O)CCCCCC4)cc1,3.333
C[C@]12CC[C@@H]3CCC[C@H]4CC(=O)O[C@H](O1)[C@]34OO2,1.903
CC(C)CNCc1cc2cc(S(N)(=O)=O)sc2[nH]1,1.622
N=C(Cc1ccccc1Sc1ccccc1)N1CCOCC1,3.69
c1ccc(Sc2ccccc2CC2=NCCN2)cc1,3.382
CC(=O)Nc1ccc(-c2cc(=O)[nH]nc2C)cc1,1.704
CC1(C)C(=O)C(C(=O)Nc2ccccc2)=C(O)C(C)(C)C1=O,2.641
COc1ccc(CCC[C@H](O)Cc2cccnc2)cc1,3.017
COc1ccc(CC[C@@H](O)Cc2cccnc2)cc1,2.626
COc1ccc(CC[C@H](O)CCc2cccnc2)cc1,3.017
COc1ccc(CCC[C@H](O)CCc2cccnc2)cc1,3.407
O[C@H](CCCc1ccccc1)Cc1cccnc1,3.008
