SMILES,logP
COc1ccc(/C=C2/N=C(c3ccc(C)c([N+](=O)[O-])c3)OC2=O)cc1,3.256
Cc1ccc(C2=N/C(=C/c3ccccc3F)C(=O)O2)cc1[N+](=O)[O-],3.387
Cc1ccc(C2=N/C(=C/c3ccccc3)C(=O)O2)cc1[N+](=O)[O-],3.248
COc1ccccc1/C=C1/N=C(c2ccc(C)c([N+](=O)[O-])c2)OC1=O,3.256
Cc1ccc(OCC(=O)N/N=C/c2cccc(O)c2)cc1C,2.538
Cc1ccc(/N=C/c2cc(Br)cc(Cl)c2O)c(C)c1,5.176
COc1ccc(/N=C/c2ccc(Br)c([N+](=O)[O-])c2)cc1,4.117
Cc1ccccc1/N=C/c1ccc(Br)c([N+](=O)[O-])c1,4.416
O=C(O)c1ccc(/N=C/c2ccc(Br)c([N+](=O)[O-])c2)cc1,3.806
Cc1ccc(/N=C/c2ccc(Br)c([N+](=O)[O-])c2)cc1,4.416
O=C(c1ccc(F)cc1)c1cccc(/N=C/c2ccc(F)cc2)c1,4.946
N#Cc1ccccc1/N=C/c1ccc(Br)c([N+](=O)[O-])c1,3.98
CC(=O)c1ccc(/N=C/c2ccc(Br)c([N+](=O)[O-])c2)cc1,4.311
O=Cc1ccc(OC(=O)c2ccc(Cl)cc2)cc1,3.372
COc1cc(C=O)ccc1OC(=O)c1ccc(Cl)cc1,3.38
Cc1cccc(C)c1OCC(=O)N/N=C/c1ccc(O)cc1,2.538
COc1cc(C=O)ccc1OC(=O)c1cccc(C)c1,3.035
O=Cc1ccc(OC(=O)c2ccc(Cl)cc2Cl)cc1,4.025
Cc1ccc(/N=C/c2ccc(OCc3ccccc3)cc2)c(O)c1,5.03
C(=N/c1ccc2c(c1)OCCO2)\c1ccc(OCc2ccccc2)cc1,4.787
COc1ccc2c(c1OC)C(=O)N(c1cccc(F)c1)C2,3.003
CCOC(=O)c1c(NC(=O)c2ccccc2)sc2c1CCC[C@@H]2O,3.547
CCOC(=O)c1c(NC(=O)c2ccccc2)sc2c1CCC[C@H]2O,3.547
COC(=O)c1c(C)[nH]c(C)c1-c1cccc2ccccc12,4.238
COC(=O)c1c(C)[nH]c(C)c1-c1ccc(C)cc1,3.394
COC(=O)c1c(C)[nH]c(C)c1-c1ccc(Cl)cc1,3.739
COC(=O)c1c(C)[nH]c(C)c1-c1cccc([N+](=O)[O-])c1,2.993
Cc1cc(=O)oc2cc(OCC(=O)Oc3ccccc3)ccc12,3.086
CC(=O)C(C(C)=O)N1C(=O)CCC1=O,0.318
NS(=O)(=O)c1ccc(NC(=O)CN2C(=O)CCC2=O)cc1,0.579
Cc1ccc(/C=C/C=C2C(=O)NC(=S)NC2=O)o1,1.059
Cc1oc(/N=C/c2cccc(Cl)c2)c(C#N)c1C,4.172
Nn1cnn2c(SCC(=O)Nc3ccc(Cl)cc3)nnc12,1.024
COC(=O)C1=C(N)OC2=C(C(=O)CC(C)(C)C2)[C@H]1c1ccccc1F,2.926
COC(=O)C1=C(N)OC2=C(C(=O)CC(C)(C)C2)[C@H]1c1cccc(F)c1,2.926
COC(=O)C1=C(N)OC2=C(C(=O)CC(C)(C)C2)[C@@H]1c1cccc(F)c1,2.926
COC(=O)C1=C(N)OC2=C(C(=O)CCC2)[C@H]1c1cccc(F)c1,2.29
COC(=O)C1=C(N)OC2=C(C(=O)CCC2)[C@@H]1c1cccc(F)c1,2.29
COC(=O)C1=C(N)OC2=C(C(=O)CCC2)[C@H]1c1ccc(Cl)cc1,2.804
COC(=O)C1=C(N)OC2=C(C(=O)CCC2)[C@@H]1c1ccc(Cl)cc1,2.804
COC(=O)C1=C(N)OC2=C(C(=O)CCC2)[C@H]1c1ccccc1F,2.29
COC(=O)C1=C(N)OC2=C(C(=O)CCC2)[C@@H]1c1ccccc1F,2.29
COC(=O)C1=C(N)OC2=C(C(=O)CCC2)[C@H]1c1cccs1,2.212
COC(=O)C1=C(N)OC2=C(C(=O)CCC2)[C@@H]1c1cccs1,2.212
Oc1ccccc1/C=N\n1c2ccccc2c2ccccc21,4.382
C(=N\n1c2ccccc2c2ccccc21)\c1ccccc1,4.677
CCOC(=O)c1ccc2c(c1)sc1nc(-c3ccccc3)cn12,4.393
O=C(CSc1nc2ccccc2o1)Nc1cccc2ccccc12,4.712
O=C(O)/C=C/C(=O)Nc1ccccc1C#Cc1ccccc1,2.666
O=C(N/N=C/c1ccc2cccnc2c1)c1ccco1,2.592
Nc1nonc1C(=O)NCc1ccco1,0.175
O=C(CSC(=O)c1ccccc1)Nc1ccc(Cl)cn1,3.247
C[C@@H](C(=O)Nc1ccc(S(N)(=O)=O)cc1)N1C(=O)CCC1=O,0.19
C[C@H](C(=O)Nc1ccc(S(N)(=O)=O)cc1)N1C(=O)CCC1=O,0.19
O=C(COC(=O)c1ccco1)OCN1C(=O)c2ccccc2C1=O,1.233
Cn1c2ccccc2c2nnc(SCC(=O)c3ccccc3)nc21,3.492
