SMILES,logP
CC(C)NC(=O)[C@H](Br)C(C)(C)C,2.321
COc1ccc(Cl)cc1NC(=O)Nc1ccc(N(C)C)cc1,4.059
CC(C)NC(=O)[C@@H](Br)C(C)(C)C,2.321
CN(N)P(=S)(c1ccccc1)N(C)N,0.232
CN(C)c1ccc(NC(=O)c2cccs2)cc1,3.066
Cc1nnsc1C(=O)Nc1ccc(N(C)C)cc1,2.165
N#Cc1ccc(C(=O)CNc2ccccc2C(N)=O)cc1,1.952
CC(=O)N(Cc1ccccc1)[C@H](C)C1CC1,2.834
Nc1ccc(S(=O)(=O)C(F)(F)F)cc1,1.562
CC(C)C(NC(=O)C(C)(C)Br)C(C)C,2.957
Cc1ccc(NC(=O)[C@H]2CC(=O)N(Cc3ccco3)C2)cc1,2.575
COc1cc(Br)ccc1O,2.163
COc1cc(C=O)cc(OCc2ccccc2)c1OC,3.095
Cc1ccc(NC(=O)[C@@H]2CC(=O)N(Cc3ccco3)C2)cc1,2.575
O=C(Nc1ccc(F)cc1)[C@H]1CC(=O)N(Cc2ccco2)C1,2.406
Cn1c(=O)c2c(ncn2C[C@H](O)CCl)n(C)c1=O,0.967
O=C(Nc1ccc(F)cc1)[C@@H]1CC(=O)N(Cc2ccco2)C1,2.406
Cn1c(=O)c2c(ncn2C[C@@H](O)CCl)n(C)c1=O,0.967
Cn1c(=O)c2c(nc(Cl)n2C[C@H](O)CCl)n(C)c1=O,0.313
Cc1ccc2cc(NC(=O)[C@H]3CC(=O)N(Cc4ccco4)C3)ccc2n1,3.123
Cn1c(=O)c2c(nc(Cl)n2C[C@@H](O)CCl)n(C)c1=O,0.313
CCOC(=O)Cn1c(Br)nc2c1c(=O)n(C)c(=O)n2C,0.241
C[C@H](O)Cn1c(Br)nc2c1c(=O)n(C)c(=O)n2C,0.423
Cc1ccc2cc(NC(=O)[C@@H]3CC(=O)N(Cc4ccco4)C3)ccc2n1,3.123
C[C@@H](O)Cn1c(Br)nc2c1c(=O)n(C)c(=O)n2C,0.423
CC[C@H](O)Cn1c(Br)nc2c1c(=O)n(C)c(=O)n2C,0.033
CC[C@@H](O)Cn1c(Br)nc2c1c(=O)n(C)c(=O)n2C,0.033
C[C@H](Cl)Cn1c(Br)nc2c1c(=O)n(C)c(=O)n2C,0.824
C[C@@H](Cl)Cn1c(Br)nc2c1c(=O)n(C)c(=O)n2C,0.824
CC[C@H](Cl)Cn1c(Br)nc2c1c(=O)n(C)c(=O)n2C,1.214
CC(C)S(=O)(=O)c1csc(C(=O)Nc2ccc(F)cc2)c1N,2.904
CC[C@@H](Cl)Cn1c(Br)nc2c1c(=O)n(C)c(=O)n2C,1.214
Cn1c(=O)c2c(nc3n2CCCN3CCBr)n(C)c1=O,0.039
c1ccc2c(c1)N[C@H](c1ccc3c(c1)CCO3)n1cccc1-2,4.062
