SMILES,logP
CSc1ccc(CCCc2ccccc2)cc1/C=C/C(=O)N(C)O,4.445
CN(O)C(=O)/C=C/c1ccccc1SCc1ccccc1,3.84
CN(C)c1ccc(C(=O)C(F)(F)c2ccccc2)cc1,3.727
CN(C)c1cccc(C(=O)COc2cccc(Cl)c2)c1,3.668
CN(C)c1cccc(C(=O)C(F)(F)[C@H](O)c2cccc(Cl)c2)c1,3.958
CN(C)c1cccc(C(=O)Cc2cccc(Cl)c2)c1,3.831
CC(C)c1nnn(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1,2.61
Cc1ccc(-n2nnc(C(C)C)c2CC[C@@H]2C[C@@H](O)CC(=O)O2)cc1,2.698
Cc1ccc(-n2nnc(C(C)C)c2/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)cc1,2.779
CC(C)n1nnc(-c2ccccc2)c1CC[C@@H]1C[C@@H](O)CC(=O)O1,2.525
CC(C)n1nnc(-c2ccc(F)cc2)c1CC[C@@H]1C[C@@H](O)CC(=O)O1,2.664
CC(C)n1nnc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1,2.745
Cn1nnc(-c2ccc(F)cc2)c1CC[C@@H]1C[C@@H](O)CC(=O)O1,1.62
Cn1nnc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1,1.701
CCn1c(=O)c2[nH]cnc2n(C)c1=O,0.557
CCCn1c(=O)c2[nH]cnc2n(C)c1=O,0.167
CCCn1c(=O)n(CC)c(=O)c2c1ncn2C,0.327
CO[C@@H]1C[C@H]2[C@@H]3[C@@H](OC[C@@]3(O)[C@@H](O)[C@@H]2O)O1,1.566
CO[C@@H]1C[C@H]2[C@@H]3[C@@H](OC[C@@]3(O)[C@@H](Cl)[C@@H]2O)O1,0.319
CO[C@@H]1C[C@H]2[C@H]([C@@H](OC)O1)[C@@]1(CO)O[C@H]1[C@@H]2O,0.911
CO[C@@H]1C[C@H]2[C@@H](O)C[C@@](C)(O)[C@@H]2[C@@H](OC)O1,0.1
O=C(CCc1ccc(O)cc1)c1ccc(O)cc1O,2.619
CC(C)CCc1c(O)ccc(C(=O)CCc2ccc(O)cc2)c1O,4.208
COc1cc2c(cc1OC)C(C)=[N+]([O-])[C@@H](c1ccccc1)N2,3.147
CN(C)CC[C@H](c1ccccn1)c1ccc(Cl)cn1,3.214
COc1ccc(-c2nccc3cc(C)ccc23)cc1OC,4.227
COc1cccc(C2=NCCc3cc(C)ccc32)c1,3.397
COc1ccc(C2=NCCc3cc(C)ccc32)cc1,3.397
COc1ccc(CC2=NCCc3cc(C)ccc32)cc1OC,3.6
COc1ccc(Cc2nccc3cc(C)ccc23)cc1OC,4.151
C[C@H]1CNc2ccc(N=C3NCCN3)c(Br)c2N1,1.855
C[C@H]1CNc2c(ccc(N=C3NCCN3)c2Br)N1,1.855
C[C@@H](O)[C@@H]1C(=O)N2C(C(=O)O)=C3CCN(C=N)C[C@H]3[C@H]12,0.525
O=c1[nH]cnc2c1ncn2[C@H]1O/C(=C\F)[C@H](O)[C@@H]1O,0.819
O=c1[nH]cnc2c1ncn2[C@H]1O/C(=C\Cl)[C@H](O)[C@@H]1O,0.55
Nc1nc(O)c2ncn([C@H]3OC(=CF)[C@H](O)[C@@H]3O)c2n1,0.824
OC[C@@H](O)[C@H]1[C@@H](O)[C@@H](O)CN1Cc1ccccc1,1.054
c1cc2c3c(c4c(nc3c1)CCCC4)NCCO2,2.918
O=C1COc2cccc3nc4c(c(c23)N1Cc1ccccc1)CCCC4,4.039
CC1(C)Oc2ccc(C#N)cc2[C@H](Nc2cc(N)ncn2)[C@H]1O,1.616
CNc1cc(N[C@H]2c3cc(C#N)ccc3OC(C)(C)[C@@H]2O)ncn1,2.075
C[C@@]12CC[C@H]3[C@H](CCC4=CC(=O)[C@@H]5COC[C@@]43C5)[C@H]1CCC2=O,3.324
CN1C(=O)CC2(CCCC2)C[C@H]1O,1.117
CN1C=CC2(CCCC2)CC1=O,1.923
CCO[C@@H]1CC2(CCCC2)CC(=O)N1C,2.162
CN1C(=O)C(C)(C)CC[C@@H]1O,0.583
CN1C=CC[C@H](c2ccccc2)C1=O,2.146
CN1C(=O)[C@@]2(C)CC[C@@H]([C@H]1O)C2(C)C,1.219
Cc1cc(-c2ncn3c2CN(C)C(=O)c2ccccc2-3)on1,2.421
CN1Cc2c([C@@H]3CC(C4CC4)=NO3)ncn2-c2ccccc2C1=O,2.685
CC1=NO[C@@H](c2ncn3c2CN(C)C(=O)c2ccccc2-3)C1,2.295
CCC1=NO[C@H](c2ncn3c2CN(C)C(=O)c2ccccc2-3)C1,2.685
CN1Cc2c(-c3cc(C4CC4)no3)ncn2-c2ccccc2C1=O,2.99
CCc1cc(-c2ncn3c2CN(C)C(=O)c2ccccc2-3)on1,2.675
CCCC(=O)O[C@@H]1[C@@H](O)[C@@H]2[C@H](O)CCN2C[C@H]1O,1.131
CC(C)C(=O)O[C@@H]1CN2CC[C@@H](O)[C@H]2[C@H](O)[C@H]1O,1.275
COc1ccc(C(=O)O[C@@H]2CN3CC[C@@H](O)[C@H]3[C@H](O)[C@H]2O)cc1,0.609
COc1ccccc1O[C@@H](C1=NCCN1)c1ccccc1,2.817
CCOc1ccccc1O[C@@H](C1=NCCN1)c1ccccc1,3.207
COc1ccccc1O[C@@H](Cc1ccccc1)C1=NCCN1,2.687
COc1cccc(O[C@@H](Cc2ccccc2)C2=NCCN2)c1OC,2.696
COc1ccc(O[C@@H](CCc2ccccc2)C2=NCCN2)c(F)c1,3.216
COc1ccccc1O[C@@H](CCc1ccccc1)C1=NCCN1,3.077
CCOc1ccccc1O[C@@H](CCc1ccccc1)C1=NCCN1,3.467
CCc1ccc(C(=O)[C@H](C)Cn2ccnc2)cc1,2.965
C[C@H](Cn1ccnc1)C(=O)c1ccc2ccccc2c1,3.555
Cc1ccc(C(=O)[C@H](C)Cn2ccnc2)cc1,2.711
C[C@H](Cn1ccnc1)C(=O)c1ccc(C(C)(C)C)cc1,3.7
CCc1ccc([C@H](O)[C@H](C)Cn2ccnc2)cc1,2.815
CCc1ccc(C2([C@H](C)Cn3ccnc3)OCCO2)cc1,2.981
CC1(C)COC(c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)OC1,4.815
c1ccc(-c2nc(C3OCCCO3)[nH]c2-c2ccccc2)cc1,4.179
C[C@H]1C[C@H](C)OC(c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)O1,4.956
O=C(O[C@@H]1CN2CCC1CC2)[C@@](CO)(c1ccccc1)n1ccnc1,1.256
O=C(O[C@H]1CN2CCC1CC2)[C@@](CO)(c1ccccc1)n1cccn1,1.256
O=C(O[C@H]1CN2CCC1CC2)[C@@](CO)(c1ccccc1)c1c[nH]cn1,1.325
O=C(O[C@H]1CN2CCC1CC2)[C@@](CO)(c1ccccc1)c1cc[nH]n1,1.325
COC(=O)c1ccccc1Nc1cccc(CN(O)C(C)=O)c1Cl,3.608
COC(=O)c1ccccc1Nc1cccc(CN(O)C(C)=O)c1C,3.263
O=C(Nc1ccccc1)c1c(O)n(Cc2ccccc2)c2ncccc12,4.043
CC(C)n1c(O)c(C(=O)Nc2ccccc2)c2cccnc21,3.575
CC(C)(C)NC(=O)c1c(O)n(-c2ccccc2)c2ncccc12,3.259
Cn1c(O)c(C(=O)Nc2ccccc2)c2cccnc21,2.531
CC(C)(C)n1c(O)c(C(=O)Nc2ccccc2)c2cccnc21,3.749
CC(=O)N(O)Cc1ccccc1Nc1cccc(C(F)(F)F)c1,4.187
CNC(=O)N(O)Cc1ccccc1Nc1cccc(C(F)(F)F)c1,3.98
CN1C(=O)C[C@](C)(c2ccccc2)C1=O,1.333
CCOC(=O)NC(=O)C[C@H]1C(=O)N(C)C(=O)c2ccc(Cl)cc21,1.699
COC(=O)NC(=O)C[C@H]1C(=O)N(C)C(=O)c2ccccc21,0.655
COC(=O)NC(=O)C[C@H]1C(=O)N(C)C(=O)c2ccc(Cl)cc21,1.309
COC(=O)NC(=O)C[C@H]1C(=O)N(C)C(=O)c2cc(Cl)ccc21,1.309
CN1CC[C@]2(C)c3cc(NC(=O)OC(C)(C)C)ccc3N(C)[C@H]12,3.403
Cc1nnc(NCCN(C)C)c2cc3ccccn3c12,2.164
CCN1CCC[C@@H]1CNc1nnc(C)c2c1cc1ccccn12,3.087
Cc1nnc(N2CCN(C)CC2)c2cc3ccccn3c12,1.943
CCOC(=O)c1cn(-c2nccs2)cn1,1.506
CCOC(=O)c1cn(-c2cc(C)on2)cn1,1.345
CCOC(=O)c1cn(-c2nnc(C)s2)cn1,1.209
CCOC(=O)c1cn(-c2nc[nH]n2)cn1,0.167
CCOC(=O)c1cn(-c2nc3ccccc3s2)cn1,2.659
CCOC(=O)c1cn(-c2nc3ccccc3[nH]2)cn1,1.925
CCOC(=O)c1cn(-c2cccnc2)cn1,1.444
CCOC(=O)c1cn(-c2ccccn2)cn1,1.444
CCOC(=O)c1cn(-c2ccc(Cl)cn2)cn1,2.097
CCc1noc(-c2cn(-c3nccs3)cn2)n1,1.941
CCc1noc(-c2cn(-c3nnc[nH]3)cn2)n1,0.603
CCc1noc(-c2cn(-c3c[nH]c4ccccc34)cn2)n1,2.966
CCc1noc(-c2cn(-c3ccccn3)cn2)n1,1.88
CCc1noc(-c2cn(-c3cccnc3)cn2)n1,1.88
CCc1noc(-c2ncn(-c3cccnc3)c2C)n1,2.188
CCc1noc(-c2ncn(-c3cccnc3)c2COC)n1,2.026
CCc1noc(-c2cn(-c3ccc([N+](=O)[O-])cn3)cn2)n1,1.788
C[N+](C)(C)CC#Cc1cscn1,1.201
C[N+](C)(C)CC#Cc1cncs1,1.201
C=Cc1nc(OC)c2ncn([C@H]3O[C@@H](CO)[C@H](O)[C@@H]3O)c2n1,0.911
N[C@@H]1CCC[C@@H]1Nc1cc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1,2.465
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N[C@H]3CCCC[C@H]3O)cc21,2.574
COc1c(Cc2c(C)[nH]c3ccccc23)nc(O)c(CC(C)C)[n+]1[O-],3.008
O=C1C=CC(=O)c2c1[nH]cc(C(=O)O)c2=O,0.008
Nc1nc2c(ncn2[C@H]2C[C@@H]2CCO)c(=O)[nH]1,0.355
Nc1nc2c(ncn2[C@H]2C[C@@H]2[C@H](O)CO)c(=O)[nH]1,1.384
CCOC(=O)c1c2sc(C(C)=O)c(N)c2c2ccccn12,3.116
