SMILES,logP
Cc1ccc(C(C)C)c(OCC(=O)NNC(=O)c2cccnc2)c1,2.353
O=C(/C=C/c1cccc([N+](=O)[O-])c1)NNC(=O)c1ccncc1,1.464
O=c1cnn2c(=O)/c(=C\c3ccccc3Cl)sc2n1,0.712
O=c1cnn2c(=O)/c(=C\c3ccccc3Br)sc2n1,0.821
CCOc1ccccc1/C=N/NC(=O)CNc1n[nH]c(=O)[nH]c1=O,0.581
O=C(Cc1nnc(=O)[nH]c1O)N/N=C/c1c[nH]c2ccccc12,0.045
CCOc1ccc(/C=C/C(=O)NCc2ccco2)cc1OC,3.017
COC(=O)c1ccc(NC(=O)[C@H]2COc3ccccc3O2)cc1,2.252
COC(=O)c1ccc(NC(=O)[C@@H]2COc3ccccc3O2)cc1,2.252
COc1ccc(/C=c2\sc3nc(=O)c(C)nn3c2=O)cc1,0.376
O=C(CNc1n[nH]c(=O)[nH]c1=O)N/N=C/c1ccccn1,1.585
CCOC(=O)c1ccccc1NC(=O)[C@H]1COc2ccccc2O1,2.642
CCOC(=O)c1ccccc1NC(=O)[C@@H]1COc2ccccc2O1,2.642
Cc1nn2c(=O)/c(=C/c3ccc([N+](=O)[O-])cc3)sc2nc1=O,0.276
CC1(C)OC(=O)C(=Cc2ccc(I)o2)C(=O)O1,2.104
O=C1c2ccccc2C(=O)N1CC/C(O)=N/c1ncn[nH]1,1.079
CC(=O)C1=C(C)NC(=S)N[C@@H]1c1ccc2c(c1)OCO2,1.797
CC(=O)C1=C(C)NC(=S)N[C@H]1c1ccc2c(c1)OCO2,1.797
CCN(CC)c1ccc(/C=c2/sc3nc(=O)c(C)nn3c2=O)cc1,1.214
Cc1n[nH]c(C)c1CCC(=O)N/N=C/c1cccs1,2.171
C=CCc1cccc(/C=N/NC(=O)CCc2c(O)n[nH]c2C)c1O,1.941
COC(=O)c1ccc(/C=N/NC(=O)CCc2c(O)n[nH]c2C)cc1,1.293
Cc1n[nH]c(C)c1CCC(=O)N/N=C/c1ccc(F)cc1,2.249
COc1ccc(/C(C)=N/NC(=O)c2cc(-c3ccccc3)n[nH]2)cc1,3.239
C/C(=N\NC(=O)CCc1c(C)n[nH]c1C)c1ccc(Cl)cc1,3.153
COc1ccc(/C=N/NC(=O)CCc2c(C)n[nH]c2C)cc1O,1.824
CCOc1ccc(/C(C)=N/NC(=O)c2cc(-c3ccccc3)n[nH]2)cc1,3.629
COc1ccccc1-c1cc(C(=O)N/N=C/c2cccnc2)[nH]n1,2.244
C/C(=N\NC(=O)CCc1c(C)n[nH]c1C)c1ccc(C)cc1,2.808
Cc1n[nH]c(C)c1CCC(=O)N/N=C/c1cccc(O)c1,1.815
C/C(=N\NC(=O)CCc1c(C)n[nH]c1C)c1cccc([N+](=O)[O-])c1,2.408
Cc1n[nH]c(C)c1CCC(=O)N/N=C/c1cccnc1,1.504
C/C(=N\NC(=O)CCc1c(C)n[nH]c1C)c1ccc([N+](=O)[O-])cc1,2.408
O=C(N/N=C/c1c[nH]c2ccccc12)c1cc(-c2cccs2)n[nH]1,3.383
O=C(CNc1n[nH]c(=O)[nH]c1=O)N/N=C/c1c(F)cccc1Cl,0.187
O=C(Cc1nnc(=O)[nH]c1O)N/N=C/c1cc(Cl)ccc1Cl,0.87
C[C@H](Nc1n[nH]c(=O)[nH]c1=O)C(=O)N/N=C/c1ccc(Cl)cc1,0.062
C[C@@H](Nc1n[nH]c(=O)[nH]c1=O)C(=O)N/N=C/c1ccc(Cl)cc1,0.062
O=C(CCNc1n[nH]c(=O)[nH]c1=O)N/N=C/c1ccccc1F,0.45
O=C(CCc1n[nH]c(=O)[nH]c1=O)N/N=C/c1ccc2c(c1)OCO2,0.73
O=C(Cc1n[nH]c(=O)[nH]c1=O)N/N=C/c1ccccc1F,0.71
Cc1nnc(=S)n(/N=C/c2ccc3c(c2)OCO3)c1O,1.633
CCOc1ccccc1/C=N/NC(=O)Cc1nnc(=O)[nH]c1O,0.038
O=C(CCNc1n[nH]c(=O)[nH]c1=O)N/N=C/c1ccccn1,1.194
N#Cc1nc2c(C#N)c(N)n(Cc3ccco3)c2nc1C#N,1.27
O=C(CNc1n[nH]c(=O)[nH]c1=O)NNC(=O)c1ccc(Cl)cc1,1.015
Cc1cccc(N2C(=O)c3sc4nccc(=O)n4c3C2=O)c1,1.865
O=C(CNc1n[nH]c(=O)[nH]c1=O)N/N=C/c1ccccc1F,0.84
CC[C@H](Nc1n[nH]c(=O)[nH]c1=O)C(=O)N/N=C/[C@@H]1CC=CCC1,0.107
O=c1[nH]ncc(NCc2ccccc2)c1Cl,2.035
C[C@H](Nc1n[nH]c(=O)[nH]c1=O)C(=O)N/N=C/c1ccccc1F,0.452
C[C@@H](Nc1n[nH]c(=O)[nH]c1=O)C(=O)N/N=C/c1ccccc1F,0.452
CCc1ccc(/C=N/NC(=O)CNc2n[nH]c(=O)[nH]c2=O)cc1,0.417
O=C(Cc1nnc(O)[nH]c1=O)N/N=C/c1c(F)cccc1Cl,0.356
O=C(Cc1nnc(O)[nH]c1=O)N/N=C/c1ccc(F)cc1,0.298
Cc1nnc2sc3c(n2c1=O)C(=O)N(Cc1ccccc1)C3=O,1.256
COc1cc(/C=N/NC(=O)CCc2c(C)n[nH]c2C)ccc1O,1.824
COc1ccccc1/C=N/NC(=O)CCc1c(C)n[nH]c1C,2.118
O=c1[nH]cc(NCc2ccco2)c(=O)[nH]1,0.268
COc1cccc(/C=N/NC(=O)CCc2c(C)n[nH]c2C)c1,2.118
Cc1n[nH]c(C)c1CCC(=O)N/N=C/c1c(Cl)cccc1Cl,3.416
O=c1[nH]cc(N2CCOCC2)c(=O)[nH]1,1.1
CCOc1cc(/C=N/NC(=O)CCc2c(C)n[nH]c2C)ccc1O,2.214
Cc1n[nH]c(C)c1CCC(=O)N/N=C/c1ccc(O)cc1O,1.521
Cc1n[nH]c(C)c1CCC(=O)N/N=C/c1ccc(Cl)cc1,2.763
CCOc1cc(/C=N/NC(=O)c2n[nH]c3c2CCCC3)ccc1O,2.157
Cc1n[nH]c(C)c1CCC(=O)N/N=C/c1ccccc1Cl,2.763
Cc1n[nH]c(C)c1CCC(=O)N/N=C/c1c(O)ccc2ccccc12,2.968
C=C(C)C[C@H]1C(Br)=CCC[N+]1(C)C,3.08
C=C(C)C[C@@H]1C(Br)=CCC[N+]1(C)C,3.08
Cc1n[nH]c(C)c1CCC(=O)N/N=C/c1ccc(O)cc1,1.815
Cc1n[nH]c(C)c1CCC(=O)N/N=C/c1ccccc1,2.109
Cc1ccc(N2C(=O)c3sc4nnc(C)c(=O)n4c3C2=O)cc1,1.568
CN(C)c1ccc(/C=N/NC(=O)CCc2n[nH]c(=O)[nH]c2=O)cc1,0.393
N#CC(=C1Nc2ccccc2N1)c1nc(C#N)c(C#N)nc1Cl,2.603
CC1=NN(c2nnc(C)c(O)n2)C(=O)/C1=C/c1ccc(N(C)C)cc1,1.758
C[C@H](Nc1n[nH]c(=O)[nH]c1=O)C(=O)N/N=C/[C@H]1CC=CCC1,0.283
O=C(CNc1n[nH]c(=O)[nH]c1=O)N/N=C/c1ccc(Cl)cc1,0.326
CC(=C/c1ccccc1)/C=N/Nc1nncc(=O)[nH]1,1.666
O=C1c2sc3nncc(=O)n3c2C(=O)N1c1ccccc1,0.952
O=C(CSc1nc2ccccc2s1)N/N=C/c1ccco1,3.132
O=C(CCc1n[nH]c(=O)[nH]c1=O)N/N=C/c1ccccn1,1.064
COc1ccc(/C=N/NC(=O)CNc2n[nH]c(=O)[nH]c2=O)cc1,0.971
COc1ccc(N2C(=O)c3sc4nccc(=O)n4c3C2=O)cc1,1.565
N#Cc1nc2c(C#N)c(N)n(CCc3ccccc3)c2nc1C#N,1.871
O=C(CCc1n[nH]c(=O)[nH]c1=O)N/N=C/c1cccnc1,1.064
O=C(CCNc1n[nH]c(=O)[nH]c1=O)N/N=C/c1c[nH]c2ccccc12,0.108
COc1ccc(N2C(=O)c3sc4nnc(C)c(=O)n4c3C2=O)cc1,1.269
NC1=C(c2nc3ccccc3c(=O)[nH]2)C(=O)CN1Cc1ccccc1,1.635
O=C(CCc1n[nH]c(=O)[nH]c1=O)N/N=C/c1ccncc1,1.064
CC(C)/C=N/NC(=O)Cc1n[nH]c(=O)[nH]c1=O,1.241
Cc1ccc(Nc2nc(C#N)c(C#N)nc2Nc2ccc(C)cc2)cc1,4.324
O=C(CCc1n[nH]c(=O)[nH]c1=O)N/N=C/c1cccs1,0.397
COc1ccc(/C=N/NC(=O)CCNc2n[nH]c(=O)[nH]c2=O)cc1,0.581
C/C(=N\NC(=O)Cc1c(O)n[nH]c1C)c1ccc(O)cc1,1.212
CC(=NNC(=O)Cc1cccn1C)c1ccc(F)cc1,2.247
Cn1cccc1CC(=O)N/N=C/c1ccc(Cl)c([N+](=O)[O-])c1,2.28
O=C(CSc1nnc2ccccn12)Nc1ccc(F)cc1,2.599
O=C(N/N=C/c1ccc(Br)s1)c1ccco1,2.868
Cn1cccc1-c1cc(C(=O)N/N=C/c2cccc([N+](=O)[O-])c2)[nH]n1,2.087
C/C(=N\NC(=O)Cc1c(O)n[nH]c1C)c1ccc2ccccc2c1,2.66
Cn1cccc1-c1cc(C(=O)N/N=C/c2ccncc2)[nH]n1,1.574
Cc1ccc(/C=N/NC(=O)CSc2nc3ccccc3n2C)s1,3.186
CC(=NNC(=O)c1cc(-c2cccn2C)n[nH]1)c1ccc(O)cc1,2.275
CC(=NNC(=O)Cc1cccn1C)c1ccc(-c2ccccc2)cc1,3.775
O=C(Cc1n[nH]c(=O)[nH]c1=O)N/N=C/c1ccc(C(F)(F)F)cc1,0.17
O=C(Cc1n[nH]c(=O)[nH]c1=O)N/N=C/c1ccccc1Cl,0.196
O=C(CNc1n[nH]c(=O)[nH]c1=O)N/N=C/c1ccco1,1.387
O=C(Cc1nnc(=O)[nH]c1O)N/N=C/c1cccnc1,1.042
C[C@H](Nc1n[nH]c(=O)[nH]c1=O)C(=O)N/N=C/c1cccnc1,1.196
C[C@@H](Nc1n[nH]c(=O)[nH]c1=O)C(=O)N/N=C/c1cccnc1,1.196
O=C(CCc1nnc(=O)[nH]c1O)N/N=C/c1c[nH]c2ccccc12,0.435
O=C(Cc1nnc(O)[nH]c1=O)N/N=C/c1ccncc1,1.042
CCc1ccc(/C=N/NC(=O)Cc2nnc(O)[nH]c2=O)cc1,0.126
O=C(CCNc1n[nH]c(=O)[nH]c1=O)N/N=C/c1cccnc1,1.194
O=C(Cc1nnc(=O)[nH]c1O)N/N=C/c1ccc2c(c1)OCO2,0.708
COc1cccc(/C=N/NC(=O)CCc2n[nH]c(=O)[nH]c2=O)c1OC,0.442
O=C(Cc1nnc(O)[nH]c1=O)N/N=C/c1cccs1,0.375
O=C(CCc1n[nH]c(=O)[nH]c1=O)N/N=C/[C@H]1CC=CCC1,0.151
COc1cc(/C=N/NC(=O)Cc2nnc(=O)[nH]c2O)ccc1O,0.723
Cc1cccc(/C=N/NC(=O)CNc2n[nH]c(=O)[nH]c2=O)c1,0.671
O=C(Cc1nnc(=O)[nH]c1O)N/N=C/c1ccccn1,1.042
O=C(CNc1n[nH]c(=O)[nH]c1=O)N/N=C/c1ccncc1,1.585
O=C(Cc1n[nH]c(=O)[nH]c1=O)N/N=C/[C@H]1CC=CCC1,0.541
C[C@H](Nc1n[nH]c(=O)[nH]c1=O)C(=O)N/N=C/c1c[nH]c2ccccc12,0.11
C[C@@H](Nc1n[nH]c(=O)[nH]c1=O)C(=O)N/N=C/c1c[nH]c2ccccc12,0.11
O=C(CNc1n[nH]c(=O)[nH]c1=O)N/N=C/c1c[nH]c2ccccc12,0.498
CCOc1cc(/C=N/NC(=O)Cc2nnc(=O)[nH]c2O)ccc1O,0.332
O=C(Cc1cccs1)N/N=C/c1ccc(-c2ccccc2)cc1,4.108
CC(=NNC(=O)c1n[nH]c2c1CCCC2)c1ccc(O)cc1,2.148
COc1ccc2nc(NN=c3c(=O)c4ccccc4c3=O)sc2c1,1.982
COc1cccc(/C=N/NC(=O)c2cc(-c3ccco3)n[nH]2)c1O,2.148
C/C(=N/NC(=O)CSc1nc2ccccc2[nH]1)c1ccc(F)cc1,3.335
C/C(=N/NC(=O)CSc1nc2ccccc2[nH]1)c1ccncc1,2.59
C/C(=N\NC(=O)CCc1c(C)n[nH]c1C)c1ccc(N)cc1,2.082
O=C(Cc1cccs1)N/N=C/c1cc([N+](=O)[O-])ccc1Cl,3.003
CC(=NNC(=O)Cn1cnc2ccccc21)c1cccnc1,1.972
Cc1cccc(/C=N/NC(=O)c2cc(-c3cccs3)n[nH]2)c1,3.211
O=C(Cc1cccs1)N/N=C/c1ccccc1C(=O)O,2.139
Cc1c(-c2ccccc2)n[nH]c1C(=O)N/N=C/c1c[nH]c2ccccc12,3.63
COc1ccc(OC)c(/C=N/NC(=O)Cc2n[nH]c(=O)[nH]c2=O)c1,0.832
CC(C)c1ccc(/C=N/NC(=O)CNc2n[nH]c(=O)[nH]c2=O)cc1,0.144
CCc1cc2c(C)cc(=O)oc2c(CN2CCCCCC2)c1O,3.745
Cc1ccc(/C=N/NC(=O)CSc2nc3ccccc3[nH]2)s1,3.175
CCOc1ccc(/C=N/NC(=O)Cc2nnc(=O)[nH]c2O)cc1OC,0.029
COc1ccc(/C=N/NC(=O)Cc2n[nH]c(=O)[nH]c2=O)c(OC)c1,0.832
C/C(=N\NC(=O)c1cc(C)oc1C)c1ccncc1,2.445
CC(=NNC(=O)Cc1cccn1C)c1cccnc1,1.503
Cn1c(SCC(=O)N/N=C/c2cccc(F)c2)nc2ccccc21,2.955
O=C(Cc1n[nH]c(=O)[nH]c1=O)N/N=C/c1ccco1,1.256
CC(=NNC(=O)c1ccc(=O)[nH]n1)c1cccc(Br)c1,1.686
COc1cc(C(C)=NNC(=O)Cc2cccn2C)ccc1O,1.822
C[C@@H](/C=N/NC(=O)Cc1n[nH]c(=O)[nH]c1=O)c1ccccc1,0.094
C/C(=N/NC(=O)Cc1cccn1C)c1ccc(O)cc1,1.814
O=C(Cc1cccs1)N/N=C/c1ccc(Cl)c([N+](=O)[O-])c1,3.003
O=C(Cc1nnc(=O)[nH]c1O)N/N=C/c1ccc(O)cc1,0.731
O=C(CCc1n[nH]c(=O)[nH]c1=O)N/N=C/c1ccccc1,0.459
CC(=C/c1ccco1)/C=N/NC(=O)Cc1cccn1C,2.366
CC(C)c1ccc(/C=N/NC(=O)Cc2nnc(O)[nH]c2=O)cc1,0.687
O=C(CNc1n[nH]c(=O)[nH]c1=O)N/N=C/c1ccccc1Cl,0.326
C[C@H](Nc1n[nH]c(=O)[nH]c1=O)C(=O)N/N=C/c1ccccc1Cl,0.062
C[C@@H](Nc1n[nH]c(=O)[nH]c1=O)C(=O)N/N=C/c1ccccc1Cl,0.062
O=C(Cc1n[nH]c(=O)[nH]c1=O)N/N=C/c1ccc(Cl)cc1Cl,0.458
Cc1ccc(N2COc3ccc4c(C)cc(=O)oc4c3C2)cc1,3.766
C/C(=N\NC(=O)c1ccoc1C)c1cccnc1,2.137
C/C(=N\NC(=O)Cc1c(O)n[nH]c1C)c1cccnc1,0.902
COc1cc(/C(C)=N/NC(=O)Cc2c(O)n[nH]c2C)ccc1O,1.221
C/C(=N\NC(=O)Cc1c(O)n[nH]c1C)c1ccc(-c2ccccc2)cc1,3.174
Cc1ccc(/C=N/NC(=O)c2ccco2)s1,2.413
O=C(N/N=C/c1ccc(Br)s1)c1cnccn1,2.064
Cn1cccc1CC(=O)N/N=C/c1cccc(F)c1,1.857
C/C(=N/NC(=O)c1cccs1)c1cccnc1,2.297
CC1=NN(c2ccc(C)cc2)C(=O)/C1=C/NCC(=O)O,1.276
O=C(CNc1ccc2ccccc2c1)N/N=C/c1ccc(O)c(O)c1,2.813
COC(=O)c1ccc(NC(=O)CCCC(=O)O)cc1,1.667
CCCc1nc2ccccc2n1CC(=O)NN,0.979
CCOC(=O)c1ccc(/N=C/c2cc(C(=O)O)ccc2O)cc1,3.018
Cc1sc(/N=C/c2ccc(Cl)c(Cl)c2)c(C#N)c1C,5.294
CC(=O)N(C)C[P@](=O)(O)CN1CCCC1=O,0.272
O=C1CCCCCN1C[P@](=O)(O)CN1CCCC1=O,1.197
CC(C)CN(C(=O)Nc1ccccc1)C1=NC[C@H](C)S1,3.668
CC(C)CN(C(=O)Nc1ccccc1)C1=NC[C@@H](C)S1,3.668
O=C(O)c1ccc(/N=C/c2ccccc2)cc1,3.135
Cn1c2c(c(=O)n(C)c1=O)C(=O)CN2c1ccccc1,0.418
COc1ccccc1NC(=O)c1ccc(C2CCCCC2)cc1,4.995
Clc1ccc(NN=C2CCCC2)nn1,2.472
FC(F)(F)c1ccccc1/C=N\n1cnnc1,2.179
FC(F)(F)c1ccccc1/C=N/n1cnnc1,2.179
O=C(N/N=C/c1ccc(OC2CSC2)cc1)c1ccncc1,2.34
COc1ccc(OC)c(Nc2nc3nonc3n3nnnc23)c1,0.816
O=[N+]([O-])c1ccc([C@H]2CSc3c4ncnc-4ncn32)cc1,2.381
O=[N+]([O-])c1ccc([C@@H]2CSc3c4ncnc-4ncn32)cc1,2.381
Cc1cccc(-n2c3nc(=O)n(C)c(=O)c-3cc3ccccc32)c1,2.498
O=C(C1=C(O)C(=O)N2c3ccccc3OC(=O)[C@]12O)c1ccccc1,1.336
O=C(C1=C(O)C(=O)N2c3ccccc3OC(=O)[C@@]12O)c1ccccc1,1.336
O=C1C2=C(C(=O)c3ccccc31)N1CCCN=C1S2,2.086
N#Cc1nc(N2CCCCC2)nc(N2CCCCC2)n1,1.724
CCc1cc(Br)ccc1-n1nc(O)c2ccccc2c1=O,3.416
Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,2.581
CC1=CC(=O)Nc2c(ccc3nsnc23)N1,1.959
O=C1c2ccccc2-c2nc(-c3ccccc3)nnc21,2.75
Cc1cccc(C(=O)c2cccc(NC(=O)C(C)C)c2)c1C,4.129
Cc1[nH]c(C(=O)O)c(C)c1C=O,1.142
O=S1(=O)Nc2ccc(O)c(Cl)c2-c2ccccc21,2.827
O=C1C=CC2(C=C1)CC1(CCCCC1)N=C2SCc1ccccc1,5.106
CC(=O)c1cc(=O)n(-c2cccnc2)c(C)c1C(=O)Nc1cccnc1,2.391
COC(=O)c1cnn2cccnc12,0.516
N=C(N)Nc1nc2ccc(Cl)cc2c(=O)[nH]1,0.882
NC(=O)C1(N2CCCCC2)CCN(C(=O)c2cccs2)CC1,1.694
CCN(CC)c1nc(C#N)nc(N(CC)CC)n1,1.436
Nc1nc(Cl)nc(N(c2ccccc2)c2ccccc2)n1,3.577
O=C(NC1CC1)c1scc2c1OCCO2,1.411
CN(C(=O)c1ccccc1C(=O)O)C1CC(C)(C)NC(C)(C)C1,2.766
c1ccc(OCc2nn3cc(-c4ccccc4)c4c3n2CCCC4)cc1,4.718
CC(C)(C)SC1=NN=CC1(C(F)(F)F)C(F)(F)F,4.027
O=C1C[C@@H](n2nnn(-c3ccc(O)cc3)c2=S)[C@H]2CO[C@@H]1O2,0.759
O=C(Nc1ccc(Cc2ccncc2)cc1)c1nc[nH]n1,2.043
CCn1c(COc2ccccc2OC)nc2ccccc21,3.644
CCCn1c(COc2ccc(Cl)cc2)nc2ccccc21,4.679
COc1ccc(-c2ccc(CCC(=O)O)[nH]2)cc1,2.707
CC(C)n1c(COc2ccccc2)nc2ccccc21,4.196
O=C(NCc1nc2ccccc2[nH]1)c1ccccc1,2.493
c1ccc(CCn2c(COc3ccccc3)nc3ccccc32)cc1,4.858
C[C@H]1CSc2nnc(-c3cccc([N+](=O)[O-])c3)n21,2.52
C[C@@H]1CSc2nnc(-c3cccc([N+](=O)[O-])c3)n21,2.52
O=C1C[C@@H](n2nnn(-c3ccccc3Cl)c2=S)[C@H]2CO[C@@H]1O2,1.707
O=C(O)c1ccc([C@@H]2NCc3ccccc3-n3cccc32)cc1,3.368
O=C(O)c1ccc([C@H]2NCc3ccccc3-n3cccc32)cc1,3.368
FC(F)(F)c1nnc2ccc(NCn3nnc4ccccc43)nn12,1.957
c1ccc2c(c1)nnn2CNc1ccc2nnnn2n1,0.334
c1ccc(-c2nc(-n3ccnc3)nc(-n3ccnc3)n2)cc1,1.91
CCc1c(-c2ccccc2)nc2c(N)cccn12,3.146
Nc1ccc(-c2nc[nH]c2Br)cc1,2.421
COc1ccc(C2=Nn3c(nnc3C(C)(C)C)SC2)cc1,2.942
CC1(C)Cc2noc(N)c2C(C)(C)N1O,1.518
Cc1cc(C)n(-c2nncn2/N=C/c2ccccc2Br)n1,2.725
COc1ccc(N2C(=O)C[C@@H](NNC(=O)c3cccnc3)C2=O)cc1,0.657
CCOC(=O)c1ccc(NC(=S)NCc2ccccc2Cl)cc1,4.003
O=C(NN[C@H]1CC(=O)N(c2ccccc2F)C1=O)c1ccccc1,1.392
O=C(NN[C@@H]1CC(=O)N(c2ccccc2F)C1=O)c1cccc(F)c1,1.531
Oc1ccc(-c2csc(-c3c[nH]c4ccccc34)n2)cc1O,4.37
O=C1C[C@@H](n2nnn(-c3ccc(F)cc3F)c2=S)[C@@H]2CO[C@H]1O2,1.332
O=C1C[C@@H](n2nnn(-c3cccc(Cl)c3)c2=S)[C@@H]2CO[C@H]1O2,1.707
Cc1cc(C(F)(F)F)nc(NC(=O)NC(=O)c2cccc(F)c2)n1,2.905
COCC(=O)NCCc1nc(-c2ccccc2)cs1,2.115
O=C(O)CCc1ccc(-c2ccc(F)cc2)n1-c1cccc(O)c1,4.006
CC(C)n1c(COc2ccc(Cl)cc2)nc2ccccc21,4.85
Cc1ccc(C(C)C)c(OCc2nc3ccccc3[nH]2)c1,4.574
O=C(Nc1ccc(F)cc1)C1(c2ccccc2)CCOCC1,3.513
O=C(Nc1cccc(C(F)(F)F)c1)C1(c2ccccc2)CCOCC1,4.392
CC(=O)N[C@@H]1[C@@H](OC(C)(C)C)O[C@H](CO)[C@@H](O)[C@@H]1O,1.255
CCOC(=O)c1nnn(-c2nc(OC)nc(N(C)C)n2)c1C,0.012
COc1nc(N(C)C)nc(-n2nnc(C(C)=O)c2C)n1,0.038
NC(=O)N(N)c1nc(N2CCOCC2)nc(N2CCOCC2)n1,1.696
CCOc1nc(N(C)C)nc(-n2nnc(C(C)=O)c2C)n1,0.428
CC(=O)O[C@@H](Cn1ccnc1)c1ccccc1,2.188
CC(=O)O[C@H](Cn1ccnc1)c1ccccc1,2.188
CCc1c(-c2ccccc2)[nH]c2nc3c(c(=O)n(C)c(=O)n3C)n12,1.442
N#CSc1sc(N)nc1-c1ccccc1,2.965
CCOC(=O)c1ccc(COC(=O)c2nonc2N)cc1,1.185
Clc1ccc(OCc2ccccc2Cl)c(CNc2ncn[nH]2)c1,4.303
O=C(Cn1cncc1-c1ccc([N+](=O)[O-])cc1)Nc1ccccc1F,3.236
O=C1N[C@H]2[C@@H](NC(=O)N2Cc2ccccc2)N1Cc1ccccc1,2.089
O=C1N[C@H]2[C@H](NC(=O)N2Cc2ccccc2)N1Cc1ccccc1,2.089
O=C1N[C@@H]2[C@@H](NC(=O)N2Cc2ccccc2)N1Cc1ccccc1,2.089
COc1ccc(-c2cc(O)on2)cc1,2.056
CCOc1cc(CN)c(-n2cccc2)cc1OCC,2.733
Oc1cccc(N2Cc3ccccc3C2)c1,2.912
c1ccc2[nH]c(CSc3nnc4sc5ccccc5n34)nc2c1,4.113
O=c1ccn([C@@H]2C[C@H](O)[C@H](CO)O2)c(=O)[nH]1,1.823
Cc1cc(C)c(S(=O)(=O)NCCc2ccncc2)c(C)c1,2.528
CCOC(=O)c1nn(-c2ccc(OC)cc2)c(=O)c(C#N)c1C,1.598
CCOC(=O)c1nnn(-c2nonc2N)c1-c1ccc(F)cc1,1.215
NCCc1c(C(=O)O)[nH]c2ccccc12,1.367
NCCc1c(C(=O)O)[nH]c2ccc(Cl)cc12,2.021
CCN(CC)Cc1cc(C(=O)O)oc1C(C)(C)C,3.117
N#Cc1cc2c(cc1N)OCO2,0.869
NCc1oc(-c2ccccc2)cc1C(=O)O,2.103
NCCc1ccc(S(=O)(=O)N2CCOCC2)cc1,0.209
Nc1ccc(C(=O)c2ccncc2)cc1,1.895
COc1ccc(N)cc1C(F)(F)F,2.296
Cc1cc(S(=O)(=O)Nc2ccc(F)cc2)c(C)s1,3.305
Cc1cc(S(=O)(=O)Nc2ccc3ccccc3c2)c(C)s1,4.319
CCSc1nc2cc(C(=O)OC)ccc2c(=O)n1CC,2.315
C[C@@H](c1ccccc1)n1cnc2cc(N)ccc21,3.228
C[C@H](c1ccccc1)n1cnc2cc(N)ccc21,3.228
COC(=O)c1cc(Cl)cc(N)c1O,1.414
C=CCn1c([C@H](O)c2ccccc2)n[nH]c1=S,2.208
C=CCn1c([C@@H](O)c2ccccc2)n[nH]c1=S,2.208
CN(C)C(=O)CSc1nnc(-c2cccnc2)n1-c1ccccc1,2.51
COC(=O)/C(=C/c1ccc(N)cc1)c1ccccc1,2.982
CC(C)(C)c1cc(CN2CCOCC2)c(C(=O)O)o1,2.107
O=C(Nc1ccc2c(c1)OCCO2)c1nc[nH]n1,0.828
NCc1cc2c(cc1-n1cccc1)OCO2,1.665
FC(F)(F)c1nnc2c3ccccc3c(-n3ccnc3)nn12,2.482
