SMILES,logP
CCOc1ccccc1/C=N/c1ccc(O)cc1,3.542
NC(=O)c1cccc(/N=C/c2cc(Br)ccc2O)c1,3.004
Clc1ccc(/N=C/c2ccccc2OCc2ccccc2)cc1,5.67
Cc1ccc(/N=C/c2ccc(O)cc2)cc1F,3.59
Cc1ccccc1/C=N/NC(=O)c1ccccc1O,2.465
COc1ccc(/N=C/c2cccc(Cl)c2Cl)cc1,4.753
COc1ccc2ccccc2c1/C=N/c1ccc(C)c(F)c1,5.047
Cc1cc(C)cc(/N=C/c2cccc(O)c2O)c1,3.465
O=C(NC1=NCCS1)Nc1ccc(F)cc1,2.05
c1ccc(-c2nc3cc4nc(-c5ccccc5)oc4cc3o2)cc1,5.303
O=[N+]([O-])c1cccc(NCc2ccccc2)c1,3.207
C=CCn1c(=O)[nH]c2c1c(=O)n(CC)c(=O)n2CC,0.121
O=[N+]([O-])c1cccc(NCc2ccc3c(c2)OCO3)c1,2.936
O=[N+]([O-])c1cccc(NCc2ccccc2O)c1,2.913
O=c1[nH]c(=O)n(Cc2c(Cl)cccc2Cl)cc1F,2.031
O=C(NC(=S)Nc1cccnc1)c1ccccc1,2.208
CC1(C)c2ccccc2N(CC(N)=O)[C@]12C=Cc1ccccc1O2,3.072
CC1(C)c2ccccc2N(CC(N)=O)[C@@]12C=Cc1ccccc1O2,3.072
O=C1/C(=C/c2ccc(N3CCOCC3)cc2)Sc2ccccc21,3.853
C[C@]12CCCC[C@H]1[C@@H]2C(=O)N/N=C/c1ccc(C#N)cc1,2.835
CC(C)c1ccc(NC(=O)CCN2C(=O)c3ccccc3C2=O)cc1,3.435
c1ccc(Nc2nc3nonc3nc2Nc2ccccc2)cc1,3.5
CCOC(=O)c1ccc(NN=c2c(=O)c3ccccc3c2=O)cc1,1.54
Cc1ccc(/C=N/NC(=O)CN2CCCCC2)cc1,1.931
C[C@H](Sc1ccccc1)C(=O)NN=C1CCCCCCC1,4.384
C[C@@H](Sc1ccccc1)C(=O)NN=C1CCCCCCC1,4.384
C[C@H](O)C(=O)N/N=C/c1ccc(OCc2ccccc2)cc1,2.096
C[C@@H](O)C(=O)N/N=C/c1ccc(OCc2ccccc2)cc1,2.096
Cc1ccc2nc(Cl)c(/C=N\c3ccccc3)cc2c1,4.947
Cc1ccc2nc(Cl)c(/C=N\c3ccccn3)cc2c1,4.342
COc1ccccc1N[C@H](C#N)c1cc2cccc(C)c2nc1Cl,4.882
COc1ccccc1N[C@@H](C#N)c1cc2cccc(C)c2nc1Cl,4.882
Cc1ccccc1N[C@H](C(N)=O)c1cc2cccc(C)c2nc1Cl,4.144
Cc1ccccc1N[C@@H](C(N)=O)c1cc2cccc(C)c2nc1Cl,4.144
O=C1C=CC=C/C1=C1\C[C@H](c2cc3ccccc3nc2Cl)NN1,3.376
O=C1C=CC=C/C1=C1\C[C@@H](c2cc3ccccc3nc2Cl)NN1,3.376
COc1ccc(C2=NN[C@@H](c3cc4ccccc4nc3Cl)C2)cc1,4.336
COc1ccc(C2=NN[C@H](c3cc4ccccc4nc3Cl)C2)cc1,4.336
O=C1c2ccccc2C(=O)N1CCCC(=O)N1CCc2ccccc21,2.652
CC(C)[C@H]1CC[C@@H](C)C[C@@H]1OC(=O)c1ccc([N+](=O)[O-])cc1,4.212
O=C(C[C@@]1(O)C(=O)Nc2ccccc21)c1ccccc1,2.099
O=C(C[C@@]1(O)C(=O)Nc2ccccc21)c1ccc(F)cc1,2.238
Cc1ccc2c(c1)[C@@](O)(CC(=O)c1ccccc1)C(=O)N2,2.408
Cc1ccc2c(c1)[C@](O)(CC(=O)c1ccccc1)C(=O)N2,2.408
Cc1ccc2c(c1)[C@@](O)(CC(=O)c1ccc(F)cc1)C(=O)N2,2.547
Cc1ccc2c(c1)[C@](O)(CC(=O)c1ccc(F)cc1)C(=O)N2,2.547
O=C1Nc2ccccc2/C1=C/C(=O)c1ccc(F)cc1,3.044
O=C1Nc2ccccc2/C1=C/C(=O)c1ccc(F)c(Cl)c1,3.698
N#CC(C#N)=C1C(=O)Nc2ccccc21,1.439
N#CC(C#N)=C1C(=O)Nc2ccc(F)cc21,1.579
Cc1ccc2c(c1)C(=C(C#N)C#N)C(=O)N2,1.748
Cc1ccc2c(c1)[C@]1(CC(c3ccccc3)=NN1)C(=O)N2,2.54
Cc1ccc2c(c1)[C@@]1(CC(c3ccccc3)=NN1)C(=O)N2,2.54
O=C1Nc2ccc(F)cc2[C@@]12CC(c1ccc(F)cc1)=NN2,2.51
O=C1Nc2ccc(F)cc2[C@]12CC(c1ccc(F)cc1)=NN2,2.51
Cc1ccc2c(c1)[C@]1(C(=O)N2)C(C#N)=C(N)OC2=C1CCN2C,1.456
Cc1ccc2c(c1)[C@@]1(C(=O)N2)C(C#N)=C(N)OC2=C1CCN2C,1.456
O=C(O)c1cc(-c2ccc3c(c2)OCCO3)nc2ccccc12,3.371
O=C(O)/C=C/C(=O)Nc1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,2.841
O=C(N/N=C/c1ccccc1O)c1cc(Cl)ccc1O,2.515
