SMILES,logP
COc1ccc(/C=C2\N=C(/C=C/c3ccccc3)OC2=O)cc1OC,3.713
N#CC1=C(N)OC2=C(C(=O)CCC2)[C@H]1c1ccccc1F,2.64
O=C1OC(/C=C/c2ccccc2)=N/C1=C/c1ccc(Cl)cc1,4.35
N#CC1=C(N)OC2=C(C(=O)CCC2)[C@@H]1c1ccccc1F,2.64
N#CC1=C(N)OC2=C(C(=O)CCC2)[C@H]1c1ccccc1[N+](=O)[O-],2.41
N#CC1=C(N)OC2=C(C(=O)CCC2)[C@@H]1c1ccccc1[N+](=O)[O-],2.41
N#CC1=C(N)OC2=C(C(=O)CCC2)[C@H]1c1cccc2ccccc12,3.655
N#CC1=C(N)OC2=C(C(=O)CCC2)[C@@H]1c1cccc2ccccc12,3.655
CCOc1ccccc1/C=C1/N=C(/C=C/c2ccccc2)OC1=O,4.095
COc1ccc([C@H]2C(C#N)=C(N)OC3=C2C(=O)CCC3)cc1OC,2.519
COc1ccc([C@@H]2C(C#N)=C(N)OC3=C2C(=O)CCC3)cc1OC,2.519
COC(=O)C1=C(C)Nc2nnnn2[C@@H]1c1ccc(C(C)C)cc1,2.258
CCOc1ccccc1/C=C1\N=C(/C=C/c2ccccc2)OC1=O,4.095
COC(=O)C1=C(C)Nc2nnnn2[C@H]1c1ccc(C(C)C)cc1,2.258
O=C1OC(/C=C/c2ccccc2)=N/C1=C/c1ccccc1Cl,4.35
CCCC1=C(C(=O)OCC)[C@@H](c2ccccc2)C(C#N)=C(N)O1,3.112
CCCC1=C(C(=O)OCC)[C@H](c2ccccc2)C(C#N)=C(N)O1,3.112
CC(=O)Oc1cccc(/C=C2/N=C(/C=C/c3ccccc3)OC2=O)c1,3.622
CCCC1=C(C(=O)OCC)[C@@H](c2ccc(F)cc2)C(C#N)=C(N)O1,3.251
COC(=O)C1=C(C)Nc2nnnn2[C@@H]1c1ccc([N+](=O)[O-])cc1,1.043
CCCC1=C(C(=O)OCC)[C@H](c2ccc(F)cc2)C(C#N)=C(N)O1,3.251
COC(=O)C1=C(C)Nc2nnnn2[C@H]1c1ccc([N+](=O)[O-])cc1,1.043
CC(=O)Oc1cccc(/C=C2\N=C(/C=C/c3ccccc3)OC2=O)c1,3.622
CCCC1=C(C(=O)OCC)[C@@H](c2cccc(F)c2)C(C#N)=C(N)O1,3.251
COC(=O)C1=C(C)Nc2nnnn2[C@@H]1c1ccccc1[N+](=O)[O-],1.043
CCCC1=C(C(=O)OCC)[C@H](c2cccc(F)c2)C(C#N)=C(N)O1,3.251
CCCC1=C(C(=O)OCC)[C@@H](c2ccc(Cl)cc2)C(C#N)=C(N)O1,3.765
CCCC1=C(C(=O)OCC)[C@H](c2ccc(Cl)cc2)C(C#N)=C(N)O1,3.765
COC(=O)C1=C(C)Nc2nnnn2[C@H]1c1ccccc1[N+](=O)[O-],1.043
N#CC1=C(N)Oc2nc(O)[nH]c(=O)c2[C@@H]1c1ccccc1F,0.833
N#CC1=C(N)Oc2nc(O)[nH]c(=O)c2[C@H]1c1ccccc1F,0.833
O=c1oc2ccc(Br)cc2cc1-c1nc2ccccc2[nH]1,4.099
COC(=O)C1=C(C)Nc2nnnn2[C@@H]1c1ccccn1,0.53
CCCC1=C(C(=O)OCC)[C@@H](c2ccccc2F)C(C#N)=C(N)O1,3.251
CCCC1=C(C(=O)OCC)[C@H](c2ccccc2F)C(C#N)=C(N)O1,3.251
CCCC1=C(C(=O)OCC)[C@@H](c2cccc(OC)c2)C(C#N)=C(N)O1,3.12
O=C1OC(c2ccc([N+](=O)[O-])cc2)=N/C1=C\c1cccs1,3.001
CCCC1=C(C(=O)OCC)[C@H](c2cccc(OC)c2)C(C#N)=C(N)O1,3.12
CCCC1=C(C(=O)OCC)[C@@H](c2ccc(C)cc2)C(C#N)=C(N)O1,3.42
COC(=O)C1=C(C)Nc2nnnn2[C@H]1c1ccccn1,0.53
CCCC1=C(C(=O)OCC)[C@H](c2ccc(C)cc2)C(C#N)=C(N)O1,3.42
Cc1ccc(/C(C#N)=C/c2cccc([N+](=O)[O-])c2)cc1,3.967
CCCC1=C(C(=O)OCC)[C@@H](c2ccc(OC)cc2)C(C#N)=C(N)O1,3.12
CCCC1=C(C(=O)OCC)[C@H](c2ccc(OC)cc2)C(C#N)=C(N)O1,3.12
COC(=O)C1=C(C)Nc2nnnn2[C@@H]1c1ccccc1OC,1.144
N#CC1=C(N)SC(=N)[C@@H](C#N)[C@@H]1c1cccc2ccccc12,3.481
COC(=O)C1=C(C)Nc2nnnn2[C@H]1c1ccccc1OC,1.144
