SMILES,logP
CC(C)CNc1nc(-c2cccc(Cl)c2)nc2ccccc12,5.018
C[C@H](O)CNc1nc(-c2cccc(Cl)c2)nc2ccccc12,3.743
C[C@@H](O)CNc1nc(-c2cccc(Cl)c2)nc2ccccc12,3.743
N#CCC(=O)c1cccc(CSc2ccccc2Cl)c1,4.729
CN1CCN(c2nc(-c3cccc(Cl)c3)nc3ccccc23)CC1,3.702
COC(=O)c1cnc(SCC(=O)Nc2ccc(Cl)cc2)n1C,2.591
COC(=O)c1cnc(SCc2c(Cl)cccc2Cl)n1C,3.806
COC(=O)c1cnc(SCc2ccc([N+](=O)[O-])cc2)n1C,2.407
Cn1cnc([N+](=O)[O-])c1Sc1ccc(C(F)(F)F)cn1,2.893
COC(=O)c1cnc(SCC(=O)Nc2cccc(Cl)c2)n1C,2.591
O=C1N[C@@H](c2ccccc2Cl)Nc2ccccc21,3.194
O=C1N[C@H](c2ccccc2Cl)Nc2ccccc21,3.194
COC(=O)[C@@H]1SCCN1S(=O)(=O)c1ccc(Cl)cc1,1.577
CN(C)c1ccc([C@@H]2NC(=O)c3ccccc3N2)cc1,2.607
CN(C)c1ccc([C@H]2NC(=O)c3ccccc3N2)cc1,2.607
COC(=O)[C@H]1SCCN1S(=O)(=O)c1ccc(Cl)cc1,1.577
O=C1N[C@@H](c2ccc(O)cc2)Nc2ccccc21,2.246
O=C1N[C@H](c2ccc(O)cc2)Nc2ccccc21,2.246
COc1cc([C@@H]2NC(=O)c3ccccc3N2)ccc1O,2.255
NNC(=O)CSCc1nc(-c2ccc(Cl)cc2)cs1,2.687
COc1cc([C@H]2NC(=O)c3ccccc3N2)ccc1O,2.255
COc1ccc([C@@H]2NC(=O)c3ccccc3N2)cc1OC,2.558
COc1ccc([C@H]2NC(=O)c3ccccc3N2)cc1OC,2.558
COC(=O)c1cscc1Sc1ccc(C(F)(F)F)cn1,4.1
CCOC(=O)c1c(N)sc2c1[C@H](C)CCC2,2.947
CCOC(=O)c1c(N)sc2c1[C@@H](C)CCC2,2.947
Cc1c(C(=O)O)sc2ncn(CC(=O)O)c(=O)c12,0.549
CCOC(=O)c1c(N)sc(C(=O)OCC(C)C)c1C,2.628
NNC(=O)[C@@H]1SCCN1S(=O)(=O)c1ccc(Cl)cc1,0.393
Cc1c(C(=O)OCC(C)C)sc2nc[nH]c(=O)c12,2.106
COC(=O)c1ccc(CSCC(=O)Nc2ccccc2)cc1,3.345
O=C(CSCC(=O)Nc1ccccc1Cl)Nc1ccccc1,3.65
NNC(=O)[C@H]1SCCN1S(=O)(=O)c1ccc(Cl)cc1,0.393
CCOc1ccccc1NC(=O)CSCC(=O)Nc1ccccc1,3.396
O=C(CSCc1c(F)cccc1Cl)Nc1ccccc1,4.351
C/C(=N/OCC(=O)O)c1ccc(Cl)cc1,2.165
COc1ccccc1NC(=O)Cn1cnc2sc(C)c(C)c2c1=O,2.722
CCc1cc2c(=O)n(CC(=O)Nc3ccccc3OC)cnc2s1,2.668
Cc1c(C(N)=O)sc2nc[nH]c(=O)c12,0.392
O=C(O)c1cscc1Sc1ccc(C(F)(F)F)cn1,4.011
CCOC(=O)Cn1cnc2sc(C(N)=O)c(C)c2c1=O,0.428
Cc1c(C(N)=O)sc2ncn(Cc3ccccc3Cl)c(=O)c12,2.567
Cc1c(C(N)=O)sc2ncn(Cc3ccc(Cl)cc3)c(=O)c12,2.567
Cc1ccc(Cn2cnc3sc(C(N)=O)c(C)c3c2=O)cc1,2.222
Cc1c(C(N)=O)sc2ncn(Cc3ccccc3)c(=O)c12,1.914
Cc1c(C(N)=O)sc2ncn(CC(=O)OC3CCCCC3)c(=O)c12,1.741
Cc1c(C(N)=O)sc2ncn(CC(=O)OC(C)C)c(=O)c12,0.817
Cc1c(C(N)=O)sc2ncn(Cc3ccc(F)cc3)c(=O)c12,2.053
Cc1cccc(Cn2cnc3sc(C(N)=O)c(C)c3c2=O)c1,2.222
CCCn1cnc2sc(C(N)=O)c(C)c2c1=O,1.275
C/C(=N\OCC(=O)Nc1ccc(Cl)cc1)c1ccc(Cl)cc1,4.373
Cc1ccc(NC(=O)CSCC(=O)Nc2ccccc2C)cc1,3.614
CSCC(=O)Nc1cc(C)ccc1C,2.605
CCc1ccccc1NC(=O)CSC,2.551
CSCC(=O)Nc1ccc(C(C)C)cc1,3.112
COc1cc(Cl)c(C)cc1NC(=O)CSC,2.959
COc1ccc(NC(=O)CSC)cc1Cl,2.65
CC(C)SCC(=O)Nc1ccccc1C(F)(F)F,3.786
O=C(O)Cc1ccc(C(=O)CSc2ccc(Cl)cc2)s1,4.004
CC(=O)c1cccc(NC(=O)c2sc3nc(C)cc(C)c3c2N)c1,3.95
O=C(O)Cc1ccc(C(=O)CSc2ccccc2)s1,3.35
