SMILES,logP
Cc1csc2n1c1ccccc1[n+]2C,2.287
CN(CC1CCN(C(=O)c2ccccc2)CC1)C1Cc2ccccc2C1,3.638
Fc1ccc(OCC2CCN(Cc3ccccc3)CC2)cc1,4.117
CC1(C)CS(=O)(=O)c2oc(S(N)(=O)=O)cc2[C@H]1O,0.226
CCOC(=O)c1ccc(C#Cc2ccc(C(C)(C)C)cc2)nc1,3.956
OC[C@]1(O)C[C@H](O)CO1,1.552
CC(C)(C)c1cc(C(=O)c2nccs2)cc(C(C)(C)C)c1O,4.675
N[C@@H](Cc1ccc(O)cc1CF)C(=O)O,0.816
CC(=O)NC1CCC(O[N+](=O)[O-])CC1,0.642
O=C(CC1CCN(Cc2ccccc2)CC1)c1ccc(F)cc1,4.311
OCc1ccn2c1CS[C@H]2c1cccnc1,2.169
Cn1cc(-c2nc(C(N)=O)cs2)c2c1C(=O)CC(=N)C2=O,1.036
CCOC(=O)c1[nH]cc(-c2ccc(Cl)cc2)c1N1CCOCC1,3.348
C[C@@H]1C[C@@H]2O[C@H]2[C@H](OC(=O)c2ccccc2)CC(=O)CC(=O)O1,1.664
CC(C)(C)c1cc(Sc2nnc(S)o2)cc(C(C)(C)C)c1O,4.81
O=C1N[C@H](O)c2cccn2-c2ccsc21,1.273
CC(=O)Nc1ccc2[nH]c(-c3cc(C)c(O)c(C(C)(C)C)c3)cc2c1,5.105
CC(C)COC(=O)OC[C@H]1C=C[C@@H](n2cnc3c(=O)[nH]c(N)nc32)C1,1.628
N#C/C(=C/c1cc(Cl)cc(Cl)c1)c1cccnc1,4.453
COc1ccc([C@@H]2CC(=O)N(O)C2)cc1OC1CCCC1,2.722
NS(=O)(=O)CC1(COc2ccc3nccn3n2)CCCCC1,1.347
CC[C@@](C/C=C/c1ccccc1)(c1ccsc1)N(C)C,5.019
Cc1sc2c(c1C)CNCc1cccn1-2,2.759
O=c1[nH]c2sc3ccc(F)cc3c2[nH]c1=O,1.57
COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,2.771
Nc1ccn([C@H]2O[C@@H](CCl)[C@H](O)[C@H]2O)c(=O)n1,1.317
O=C1N(CC2=NCCN2)C[C@@H]2COc3ccccc3N12,0.691
C[C@H](C(=O)O)c1ccc(-c2nccs2)c(Cl)c1,3.652
CCOC(=O)CC[C@H]1OC(=O)C(OC)=C1c1ccccc1,2.313
N#C/C(=C\c1ccc2ccccc2c1O)C(N)=O,1.938
Nc1nncc(C23CCN(CC2)C3)n1,0.199
O=C(N[C@@H]1CCCCNC1=O)c1cccc(C(F)(F)F)c1,2.104
Brc1c(N=C2NCCN2)ccc2cn[nH]c12,1.506
Cn1cnc2c(NC3CCCC3)ncnc21,1.718
CN(C)Cc1ccccc1Sc1ccc(Cl)cc1,4.553
Cc1cc(N(C)C)cc(N)n1,1.038
CCOC(=O)/C(C#N)=C1\C=CN(CCO)C=N1,0.177
O=C1NC(S)=N/C1=C\c1cc(O)c(O)c(Cl)c1,1.508
CN(C)CC[C@H]1CN(C)C(=O)n2c1nc1ccccc12,1.985
c1ccc2c(c1)[C@H]1c3sccc3[C@@H]2N1C1CC1,3.718
Clc1ccc(-c2nc3ccc(Cl)nc3n2Cc2ncc[nH]2)cc1,4.177
C[C@H](C(=O)NC1CC1)S(=O)(=O)c1ccc(Cl)cc1Cl,2.434
Cc1ccc(-c2[nH]nc(N(C)C)c2CC(N)=O)cc1,1.479
C[C@@H]1c2cnccc2N=CN1Cc1ccccc1,3.318
Cc1nc2c([nH]1)C(=O)N(C)C1=N[C@@]34CCC[C@H]3CC[C@H]4N12,1.681
CCc1cc(CCc2nc3ccccc3o2)c(=O)[nH]c1C,3.172
C[C@H](C(=O)O)c1ccc(C(=O)c2ccco2)cc1,2.699
C[C@@H](O)C1=C[C@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1O,1.008
Cc1nc(-c2ccc(OCC(C)(C)C)c([N+](=O)[O-])c2)sc1C(=O)O,4.15
Nc1nc2c(c3nc(-c4ccco4)nn13)CCC2,1.455
CN(C)CCC(=O)c1ccc2c(c1)CCC2,2.31
O=C(O)Cn1c(=O)c(=O)[nH]c2cc(Cl)c(Cl)cc21,1.081
COc1ccc(C2=CC(=O)CCC2)cc1OC1CCCC1,4.153
CNc1cc(-n2ccc3ccccc32)cc(C)[n+]1C,2.805
O=C(c1cc2c(cc1O)[C@H](C(=O)O)C2)c1ccccc1Br,3.11
CC#Cc1cn([C@H]2O[C@@H](CO)[C@H](O)[C@@H]2F)c(=O)nc1N,1.214
CC(C)Cn1cnc2[nH]c(=O)n(C)c(=O)c21,0.079
Nc1nc2c(ncn2C[C@H](CO)CCO)c(=O)[nH]1,1.307
O=C1CS[C@@H](c2ccccc2)c2cc(Cl)ccc2N1,4.115
C=C1[C@@H](CO)[C@H](O)C[C@H]1n1cnc2c(=O)[nH]c(N)nc21,0.828
O=C(OC1C[C@@H]2CC3C[C@H](C1)N2C[C@H]3O)c1c[nH]c2ccccc12,2.311
O=c1ccc2c3c(ccc2[nH]1)OC[C@H](O)C3,0.824
O=C(CBr)Nc1cccc(Nc2ccccc2C(=O)O)c1,3.462
