SMILES,logP
CCCC(=O)N(C)C1CCN(C[C@H]2Cc3ccccc32)CC1,3.049
C=COC(=O)N(C)C1CCN(C[C@H]2Cc3ccccc32)CC1,3.003
Nc1ncc(-c2cc(Cl)c(N)c(Cl)c2Cl)c(N)n1,2.85
Nc1cc(-c2cccc(Cl)c2Cl)nc(N)n1,2.615
Nc1cc(-c2ccc(Cl)cc2Cl)nc(N)n1,2.615
Nc1cc(-c2cccc3ccccc23)nc(N)n1,2.461
Nc1nnc(-c2cc(Cl)c(N)c(Cl)c2Cl)c(N)n1,2.245
Nc1nnc(-c2ccc(N)c(Cl)c2Cl)c(N)n1,1.592
Nc1nnc(-c2cc(Cl)c(N)c(Cl)c2)c(N)n1,1.592
Nc1nnc(-c2cc(Cl)c(N)cc2Cl)c(N)n1,1.592
COc1ccc(Sc2ccc(CN(O)C(N)=O)s2)cc1,3.178
CC(C)(C)c1ccc(Sc2ccc(CN(O)C(N)=O)s2)cc1,4.467
NC(=O)N(O)Cc1ccc(Sc2cccc(C(F)(F)F)c2)s1,4.188
NC(=O)N(O)Cc1ccc(Sc2cccc(Cl)c2)s1,3.823
NC(=O)N(O)Cc1ccc(Sc2ccccc2Cl)s1,3.823
NC(=O)N(O)Cc1ccc(Sc2ccc(Cl)c(Cl)c2)s1,4.476
Cc1ccc(C(=O)Nc2nc(=O)c3ccccc3n2C)cc1,2.494
Cc1ccccc1C(=O)Nc1nc(=O)c2ccccc2n1C,2.494
Cc1ccc(C(=O)Nc2nc3ccccc3c(=O)n2C)cc1,2.494
Cn1c(NC(=O)c2ccccc2)nc2ccccc2c1=O,2.186
Cc1ccccc1C(=O)Nc1nc2ccccc2c(=O)n1C,2.494
O=C(Nc1nc2ccccc2c(=O)n1-c1ccccc1)c1ccccc1,3.638
CC(C)n1c(NC(=O)c2ccccc2)nc2ccccc2c1=O,3.23
CCCn1c(NC(=O)c2ccccc2)nc2ccccc2c1=O,3.059
O=c1oc2ccccc2c(=O)n1CCC1CCN(CC2CC2)CC1,2.467
COc1ccc(COc2ccc3c(c2)CCC[C@@H]3N(O)C(N)=O)cc1,3.422
NC(=O)N(O)[C@H]1CCCc2cc(OCc3ccc(Cl)cc3)ccc21,4.066
COc1ccc(COc2ccc3c(c2)OC[C@@H]3N(O)C(N)=O)cc1,2.478
CC(C)Cc1ccc([C@H](C)CN(O)C(N)=O)cc1,2.759
CO[C@H](c1ccc(Cl)cc1)[C@H]([N+](=O)[O-])C(F)(F)F,3.235
CO[C@@H](c1ccc(Cl)cc1Cl)[C@H]([N+](=O)[O-])C(F)(F)F,3.889
CO[C@@H](c1cccc(Cl)c1)[C@H]([N+](=O)[O-])C(F)(F)F,3.235
O=c1[nH]c(-c2ccc3ccccc3c2)ccc1-c1nnn[nH]1,2.375
O=c1[nH]c(-c2cccc3ccccc23)ccc1-c1nnn[nH]1,2.375
O=c1[nH]c(-c2ccc3ccccc3n2)ccc1-c1nnn[nH]1,1.77
O=c1[nH]c(-c2cc3ccccc3o2)ccc1-c1nnn[nH]1,1.968
O=C(O)c1ccc(-c2ccc3ccccc3c2)[nH]c1=O,2.893
CNC(=S)[C@](C)(c1ccc(Cl)cc1)[S@@](C)=O,2.481
CNC(=S)[C@H](c1ccc(Cl)cc1)[S@@](C)=O,2.306
CCN(CC)C(C)(C)CNc1cc(C)c(-c2ccccc2)nn1,3.984
