SMILES,logP
CNC(=O)Nc1ccc(C(C)(C)C)cc1Cl,3.389
Cc1nc2ccc(C(F)(F)F)cc2n1CCc1ccccc1,4.606
CNC(=O)Nc1ccc(C(C)(C)C)cc1Br,3.498
CC(=O)[C@H]1[C@@H](c2ccc(C#N)cc2)NC(=O)N[C@]1(O)C(F)(F)F,1.368
CC(=O)Nc1ccc(S(=O)(=O)Nc2c(F)cccc2Cl)cc1,3.238
Nc1c(C(=O)Nc2ccccc2)nnn1Cc1ccccc1,2.161
O=[N+]([O-])c1nc2ccccc2nc1O,1.244
O=c1c2ccccc2nc2c3ccccc3ncn12,2.396
CC(C)(C)c1ccc(NC(=O)C(Cl)Cl)c(Cl)c1,4.38
COC(=O)C1=C(C)NC(=O)N[C@@H]1c1ccc(-c2ccccc2)cc1,3.155
CC(C)(C)c1ccc(NC(=O)C(Cl)Cl)c(Br)c1,4.489
CC(C)(C)c1ccc(NC(=O)C2CC2)c(Cl)c1,3.986
CC(C)(C)c1ccc(NC(=O)C2CC2)c(Br)c1,4.095
COC(=O)C1=C(C)NC(=O)N[C@H]1c1ccc(-c2ccccc2)cc1,3.155
CC(C)=NOC(=O)Nc1ccc(C(F)(F)F)cc1,3.65
O=C(Nc1ccc(C(F)(F)F)cc1)O/N=C/c1ccccn1,3.683
CCOC(=O)/C(C#N)=C/c1ccccc1[N+](=O)[O-],2.065
CN(C)NC(=O)c1ccc([N+](=O)[O-])s1,0.863
CCOC(=O)c1c(N)sc(C(=O)N2CCCCC2)c1C,2.442
O=C(NC(=O)N1CCCC1)c1ccc([N+](=O)[O-])s1,1.602
CCOC(=O)c1c(N)sc(C(=O)Nc2cccc(Cl)c2)c1C,3.721
CC(C)NC(=O)NC(=O)c1ccc([N+](=O)[O-])s1,1.504
CCOC(=O)[C@@H]1C(C)=N[C@@]2(O)c3ccccc3C(=O)[C@]12O,0.413
CC(C)(C)c1ccc(NC(=O)NC(=O)c2ccc([N+](=O)[O-])s2)cc1,3.916
O=C(NC(=O)N1CCOCC1)c1ccc([N+](=O)[O-])s1,0.838
CCOC(=O)[C@@H]1C(C)=N[C@@]2(O)c3ccccc3C(=O)[C@@]12O,0.413
O=C(NC(=O)c1ccc([N+](=O)[O-])s1)Nc1ccc(F)cc1,2.757
CC(=O)O/N=C(\c1cccc([N+](=O)[O-])c1)N1CCCCC1,2.305
CC(=O)O/N=C(/c1cccc([N+](=O)[O-])c1)N1CCCCC1,2.305
N#Cc1ccc([N+](=O)[O-])s1,1.528
Cc1cc(C)n(C(=O)c2c(F)c(F)cc(C)c2Cl)n1,3.428
Cn1cnnc1SCN1C(=O)c2ccccc2C1=O,1.161
COc1ccc(Br)cc1/C=N/OC(C)=O,2.355
CC(C)(C)c1ccc(NC(=O)c2ccco2)c(N)c1,3.412
CC(=O)O/N=C(\c1ccc(Cl)cc1Cl)N1CCCCC1,3.704
CCOC(=O)c1ccc(OCc2ccccc2)cc1,3.442
CC(=O)O/N=C(/c1ccc(Cl)cc1Cl)N1CCCCC1,3.704
COC(=O)c1ccc([N+](=O)[O-])s1,1.443
CC(C)(C)c1ccc(OC(=O)c2ccc([N+](=O)[O-])s2)cc1,4.173
CCc1c(C)nc2sc(C(=O)c3ccc(Cl)cc3)c(N)c2c1C,4.942
NC(=O)c1ccc(OCc2ccccc2)cc1,2.365
CCOC(=O)C1=NC(=O)N=C1CSc1nc(C)cc(O)n1,1.161
O=C1[C@H]2[C@@H]3C=C[C@@H](C3)[C@H]2C(=O)N1c1cccc(Cl)c1,2.652
CCOC(=N)c1ccc([N+](=O)[O-])s1,2.018
CC(=O)N(CN1C(=O)[C@H]2[C@@H]3C=C[C@@H](C3)[C@H]2C1=O)c1ccccc1C,2.113
Cc1sc2nc(SCC(=O)NC3CCCCC3)[nH]c(=O)c2c1C,3.142
CCOC(=O)CN1C(=O)c2ccc(Br)cc2C1=O,1.608
CC(C)[C@H]1CC[C@H](C)C[C@H]1OC(=O)CN1C(=O)c2ccccc2C1=O,3.287
Cc1ccc(C)c(N2C(=O)[C@H]3[C@@H]4C=C[C@@H](C4)[C@H]3C2=O)c1,2.615
Cc1occc(=O)c1OCc1ccc(Cl)cc1,3.181
C1[C@@H]2[C@H]([C@@H]3O[C@H]13)[C@@H]1C[C@H]2[C@@H]2O[C@H]12,0.807
ClC1(Cl)C[C@@H]1Cc1cccc(C2CC2)c1,4.3
ClC1(Cl)C[C@H]1Cc1cccc(C2CC2)c1,4.3
CCOC(=O)c1sc2c(c1C)c(=O)c(C(=O)OCC)cn2CC,2.745
CCOC(=O)Cn1cc(Cl)c(=O)c(Cl)c1,1.718
CCN1C(=O)N[C@H]2[C@@H]1NC(=O)N2CC,0.271
NNC(=O)Cn1cc(Cl)c(=O)c(Cl)c1,0.145
OCc1cc(-c2ccc(Cl)c(Cl)c2)no1,3.141
CCN1C(=O)N[C@@H]2[C@H]1NC(=O)N2CC,0.271
N#Cc1ccc(OCc2ccccc2)cc1,3.137
O=C(c1ccccc1)N1CC[C@@](O)(c2ccccc2)[C@@H]2CCCC[C@@H]21,3.979
Cc1ccc(Oc2ccc(N3C(=O)[C@H]4[C@@H]5C=C[C@@H](C5)[C@H]4C3=O)cc2)cc1,4.099
N#Cc1ccc(OCc2ccc(Cl)cc2)cc1,3.791
COc1ccc(C(=O)c2sc3nc(C)cc(C)c3c2N)cc1,3.735
Cc1ccc2nc(-c3ccccc3)cc(C(=O)O)c2c1,3.908
C#Cc1cccc(NC(C)=O)c1,1.626
Cc1ccc2nc(-c3cccc([N+](=O)[O-])c3)cc(C(=O)O)c2c1,3.817
COc1cc([C@H](c2c(O)n[nH]c2C)C(C#N)C#N)cc(OC)c1OC,2.245
COC(=O)c1cc(-c2ccc(C)cc2)nc2ccc(C)cc12,4.305
COC(=O)c1cc(-c2ccc(OC)cc2)nc2ccc(C)cc12,4.005
Cc1ccc2nc(-c3ccccc3)cc(C(=O)N3CCOCC3)c2c1,3.683
Clc1ccc(COc2ccc(-c3noc(C4CC4)n3)cc2)cc1,4.846
COc1cc([C@@H](c2c(O)n[nH]c2C)C(C#N)C#N)cc(OC)c1OC,2.245
Cc1ccc(-c2cc(C(=O)N3CCOCC3)c3cc(C)ccc3n2)cc1,3.991
CC(=O)Nc1cccc(-c2cc(-c3c(Cl)cccc3Cl)no2)c1,5.274
Cc1cccc2c(C(=O)N3CCOCC3)cc(-c3ccccc3)nc12,3.683
O=C(ON1C(=O)c2ccccc2C1=O)c1ccc([N+](=O)[O-])cc1,1.963
Cc1onc(-c2c(Cl)cccc2Cl)c1/C=N/c1ccc(F)cc1,5.847
O=C(O)c1cc(-c2ccccc2)nc2ccc(Cl)cc12,4.253
C[C@@]12C(=O)N(c3cc(Cl)ccc3O)C(=O)[C@@H]1[C@H]1C=C[C@@H]2C1,2.747
Cc1ccc(N2C(=O)[C@H]3[C@@H]4C=C[C@@H](C4)[C@@]3(C)C2=O)c(C)c1,3.005
Cc1ccc(N2C(=O)[C@@H]3[C@H]4C=C[C@H](C4)[C@]3(C)C2=O)cc1,2.697
C[C@]12C(=O)N(c3cccc([N+](=O)[O-])c3)C(=O)[C@H]1[C@@H]1C=C[C@H]2C1,2.296
CNC(=O)N/N=C/c1c(-c2c(Cl)cccc2Cl)noc1C,3.22
O=C(O)CSc1nc(-c2ccccc2)nc2c1CCCC2,3.199
NC(=O)CSc1nc(-c2ccccc2)nc2c1CCCC2,2.6
O=C(CSC(=O)N1CCOCC1)c1ccc(Cl)cc1,2.708
Cc1cccc(-c2nc3c(c(SCC(=O)O)n2)CCCC3)c1,3.508
O=C(CSC(=S)N1CCOCC1)c1ccc(Cl)cc1,2.873
Cc1cc(SCC(=O)c2ccccc2)nc2ccccc12,4.518
N#CC(C#N)=C1SC=C(c2ccc(Cl)cc2)S1,4.377
N#C/C(C(N)=S)=C1/SC=C(c2ccc(Cl)cc2)S1,4.14
CC1=CC[C@H]2C(=O)N(c3ccccc3C)C(=O)[C@@H]2C1,2.841
COc1ccc(-c2cc(C(=O)OC(C)C)c3cc(C)ccc3n2)cc1,4.784
CC(=O)Cc1nc(-c2ccc(Cl)cc2)no1,2.522
Cc1ccc(-c2cc(C(=O)OCC(C)C)c3cccc(C)c3n2)cc1,5.331
Cc1ccc(C(=O)CSc2cc(C)c3ccccc3n2)cc1,4.827
Cc1ccc(-c2cc(C(=O)OCC(C)C)c3cc(C)ccc3n2)cc1,5.331
COC(=O)c1cc(-c2ccc(C)cc2)nc2ccc(Cl)cc12,4.65
COC(=O)c1cc(-c2ccc(Cl)cc2)nc2ccccc12,4.342
CC(C)OC(=O)c1cc(-c2ccc(Cl)cc2)nc2ccccc12,5.12
CCc1ccc(C(=O)CSc2cc(C)c3ccccc3n2)cc1,5.081
N#CC1=C(N)Oc2[nH]nc(C(F)(F)F)c2[C@@H]1c1ccccc1,2.647
N#CC1=C(N)Oc2[nH]nc(C(F)(F)F)c2[C@H]1c1ccccc1,2.647
O=C(Nc1ccc(Cl)cc1)O/N=C/c1c(Cl)cccc1Cl,5.229
CC(=O)CSc1nsc(SCC(C)=O)c1C#N,2.377
Cc1cc(SCC(=O)c2ccc(C(C)C)cc2)nc2ccccc12,5.642
CC(=O)Nc1cccc(-c2cc(-c3ccc(Cl)cc3Cl)no2)c1,5.274
CCOC(=O)c1cc(-c2c(Cl)cccc2Cl)no1,3.825
O=C(NC(=S)Nc1ccc(Cl)cc1)c1c(F)cccc1Cl,4.259
Cc1cc(C)nc(SC[C@H]2COc3ccccc3O2)n1,3.026
Cc1cc(C)nc(SC[C@@H]2COc3ccccc3O2)n1,3.026
O=C(NC(=S)Nc1ccc(Cl)cc1)c1c(F)cccc1F,3.745
N#CC1=C(N)Oc2[nH]nc(C(F)(F)F)c2[C@@H]1c1ccc(F)cc1,2.786
CCOC(=O)CSc1nc2ccccc2s1,2.952
Cc1cc(C)nc(SCC(=O)Nc2ccccc2)n1,2.824
COc1ccc(NC(=S)NC(=O)c2c(F)cccc2F)cc1,3.1
Cc1ccc(C(=O)CSc2cc(C)c3ccccc3n2)cc1C,5.135
N#CC1=C(N)Oc2[nH]nc(C(F)(F)F)c2[C@H]1c1ccc(F)cc1,2.786
O=C(CSC(=S)N1CCCCC1)c1c(F)cccc1F,3.652
Nc1nnc(SCC(=O)Nc2ccccc2)s1,1.851
O=C(CSC(=S)N1CCSCC1)c1ccc(Cl)cc1,3.59
N#CC1=C(N)Oc2[nH]nc(C(F)(F)F)c2[C@@H]1c1ccccc1F,2.786
COC(=O)c1onc(-c2c(Cl)cccc2Cl)c1C(=O)OC,3.222
Nc1nnc(SCC(=O)Nc2ccc(Cl)cc2)s1,2.505
COc1ccc(NC(=O)CSc2nnc(N)s2)cc1,1.86
COC(=O)c1c(-c2c(Cl)cccc2Cl)noc1C(=O)NN,2.038
Cc1cc(SCC(=O)c2ccc(F)cc2)nc2ccccc12,4.657
CC(C)(C)/C=N/NC(=O)Cn1cc(Cl)c(=O)c(Cl)c1,2.303
N#CC1=C(N)Oc2[nH]nc(C(F)(F)F)c2[C@H]1c1ccccc1F,2.786
CNC(=O)NNC(=O)Cn1cc(Cl)c(=O)c(Cl)c1,0.115
N#CC1=C(N)Oc2[nH]nc(C(F)(F)F)c2[C@@H]1c1ccco1,2.24
O=c1oc(-c2c(Cl)cccc2Cl)ns1,3.07
COc1ccccc1NC(=O)Cn1cnc([N+](=O)[O-])n1,0.834
N=C(N)C12CC3CC(CC(C3)C1)C2,2.139
Cc1cc(C(=O)CSc2cc(C)c3ccccc3n2)ccc1F,4.966
N#CC1=C(N)Oc2[nH]nc(C(F)(F)F)c2[C@H]1c1ccco1,2.24
COC(=O)c1snc(-c2c(Cl)cccc2Cl)c1C(=O)OC,3.69
Cc1cc(NC(=O)CSc2nnc(C)s2)no1,1.874
N#CC1=C(N)Oc2[nH]nc(C(F)(F)F)c2[C@@H]1c1cccs1,2.708
CNC(=O)Nc1ccc([C@H]2CC2(Cl)Cl)cc1,3.099
