SMILES,logP
COC(=O)C(c1ccccc1)c1ccccc1,2.992
Cc1ccc(C(=O)Nc2ccc(N3CCCCC3)cc2)cc1C,4.546
C[C@@]1(Br)CCOC1=O,1.087
Cc1cc(C(=O)Nc2ccc(N3CCCCC3)cc2)no1,3.226
CC(=O)c1ccc(Cl)c([N+](=O)[O-])c1,2.451
O=C(Nc1ccc(N2CCCCC2)cc1)c1c(F)cccc1Cl,4.722
C1CC(C2CCNCC2)CCN1,0.986
O=C(Nc1ccc(N2CCCCC2)cc1)c1ccccc1Cl,4.583
O=C(Nc1ccc(N2CCCCC2)cc1)c1ccc(Cl)cc1Cl,5.236
CC1=C2[C@H]3OC(=O)[C@H](C)[C@H]3CC[C@]2(C)C=CC1=O,2.42
CC1=C2[C@@H]3OC(=O)[C@H](C)[C@H]3CC[C@]2(C)C=CC1=O,2.42
O=C(Nc1ccc(N2CCCCC2)cc1)c1ccc(F)cc1Cl,4.722
CC1(C)COC(=O)[C@H]1O,0.07
O=C(NCc1cccs1)c1ccc(F)cc1,2.817
CC1(C)COC(=O)[C@@H]1O,0.07
Cc1cc(C)cc(NC(=O)Nc2ccc(N3CCCCC3)cc2)c1,4.938
Cc1cc(Cl)c(C(C)C)cc1O,3.477
C[n+]1cccc(C(N)=O)c1,0.39
Cc1cccc(Cl)c1NC(=O)Nc1ccc(N2CCCCC2)cc1,5.283
COc1cc(OC)cc(C(C)=O)c1,1.906
OCc1cccc(CO)n1,0.066
CCc1cccc(C)c1NC(=O)Nc1ccc(N2CCCCC2)cc1,5.192
NOCc1ccccc1,1.077
BrCCC1OCCCO1,1.534
N#CC1=C(Cl)C(=O)C(C#N)=C(Cl)C1=O,1.171
c1cc(N2CCNCC2)ccn1,0.491
O=[N+]([O-])c1ccc(OC(F)(F)C(F)F)cc1,2.832
Oc1cc(Cl)ccc1Cc1ccc(Cl)cc1O,3.995
CN(C)c1ccc(C#N)cc1,1.624
O=S(=O)(Nc1ccc(N2CCCCC2)cc1)c1ccccc1F,3.617
CC1(C)OC[C@@H](CO)O1,0.13
CC1(C)OC[C@H](CO)O1,0.13
CN1CCC[C@@H](CCl)C1,1.567
Cc1noc(C)c1S(=O)(=O)Nc1ccc(N2CCCCC2)cc1,3.083
CN1CCC[C@H](CCl)C1,1.567
N[C@H](C(=O)O)c1cccs1,0.833
N[C@@H](C(=O)O)c1cccs1,0.833
O=Cc1cc(C2CCCCC2)cc(Cl)c1O,3.906
COc1ccc(C=O)cc1C(C)(C)C,2.805
ClCc1cc2c(cc1Cl)OCO2,2.808
C[C@H](Oc1ccccc1Cl)C(=O)O,2.192
C[C@@H](Oc1ccccc1Cl)C(=O)O,2.192
C[C@H](Oc1cccc(Cl)c1)C(=O)O,2.192
C[C@@H](Oc1cccc(Cl)c1)C(=O)O,2.192
O=S(=O)(Nc1ccccc1N1CCCCC1)c1ccccc1,3.478
O=C(CCl)c1ccc(Cl)cc1Cl,3.415
COc1ccc(CC(=O)O)c(OC)c1OC,1.339
O=C(CCl)c1ccc(F)cc1,2.247
O=CN1CCNCC1,0.952
O=S(=O)(/C=C/S(=O)(=O)c1ccccc1)c1ccccc1,2.405
O=S(=O)(Nc1ccccc1N1CCCCC1)c1ccc(F)cc1,3.617
O=C(n1ccnc1)n1ccnc1,0.596
Cc1ccc(S(=O)(=O)Nc2ccccc2N2CCCCC2)cc1,3.786
CC(C)(C)OC(=O)NO,0.9
COc1cc(O)c(C=O)c(OC)c1,1.222
COC1=N[C@@H](C(C)C)C(OC)=NC1,1.114
COC1=N[C@H](C(C)C)C(OC)=NC1,1.114
O=C(O)c1ccc(=O)oc1,0.338
O=C(Nc1ccccc1F)Nc1ccccc1N1CCCCC1,4.46
O=C(Nc1cccc(Cl)c1)Nc1ccccc1N1CCCCC1,4.974
Cc1ccc(NC(=O)Nc2ccccc2N2CCCCC2)cc1Cl,5.283
O=[N+]([O-])CCO[C@H]1CCCCO1,0.806
O=[N+]([O-])CCO[C@@H]1CCCCO1,0.806
C[C@]12CCC(=O)C=C1CCCC2=O,2.035
Cc1ccccc1NC(=O)Nc1ccccc1N1CCCCC1,4.629
C[C@@]12CCC(=O)C=C1CCCC2=O,2.035
C[C@H](Oc1ccc(Cl)cc1)C(=O)O,2.192
C[C@@H](Oc1ccc(Cl)cc1)C(=O)O,2.192
Cc1cc(C)cc(NC(=O)Nc2ccccc2N2CCCCC2)c1,4.938
COc1cc(N2CCNCC2)cc(OC)c1OC,1.122
NNc1ccc(-c2ccc(NN)cc2)cc1,1.925
O=C(Nc1cccs1)Nc1ccccc1N1CCCCC1,4.382
C#CC1(OC(=O)NC)CCCCC1,1.679
O=C(Nc1ccccc1N1CCCCC1)c1ccco1,3.522
COc1ccc(C(=O)C2CCCCC2)c(OC)c1,3.467
Br[C@@H]1CCCC[C@@H]1[n+]1ccccc1,2.853
Cc1nnsc1C(=O)Nc1ccccc1N1CCCCC1,3.089
Br[C@@H]1CCCC[C@H]1[n+]1ccccc1,2.853
COc1ccc(C=O)cc1OC,1.516
COC(=O)/C=C/c1ccc(OC)c(C(C)(C)C)c1,3.179
Cc1cc(C(=O)Nc2ccccc2N2CCCCC2)no1,3.226
O=C(Nc1ccccc1N1CCCCC1)C1CCCCC1,4.196
Oc1c(Cl)cc(C2CCCCC2)cc1/N=C/c1cccnc1,5.239
CC(C)(C)c1cc(C2CCCCC2)cc(C=O)c1O,4.55
N#Cc1cc(C2CCCCC2)cc(Br)c1O,4.074
