SMILES,logP
Cn1c(=O)c2c3no[n+]([O-])c3c(=O)n(-c3ccccc3)c2n(C)c1=O,0.837
CSc1nnc2c(n1)O[C@H](c1cccc(C)n1)Nc1ccccc1-2,3.467
Clc1ccc(-c2ncc3ccccn23)c(Cl)c1,4.308
O=C(O)[C@H]1CS[C@H](c2ccc(Cl)cc2Cl)N1,2.782
Cn1c(=O)c2cc3cc(F)ccc3nc2n(C)c1=O,0.924
O=C(O)[C@@H]1CS[C@@H](c2ccc(Cl)cc2Cl)N1,2.782
Cn1c(=O)c2c3nonc3c(=O)n(C)c2n(C)c1=O,1.528
O=C(O)[C@@H]1CS[C@H](c2ccc(Cl)cc2Cl)N1,2.782
Cc1ccc(-c2[nH]c3ccccc3c2[C@@H](C[N+](=O)[O-])c2ccco2)cc1,5.145
CCOc1ccc([C@H]2N[C@@H](C(=O)O)CS2)cc1OCC,2.272
Cc1ccc(-c2[nH]c3ccccc3c2[C@H](C[N+](=O)[O-])c2ccco2)cc1,5.145
CCOc1ccc([C@@H]2N[C@@H](C(=O)O)CS2)cc1OCC,2.272
Oc1c([C@@H](Nc2nccs2)c2ccccc2)ccc2cccnc12,4.598
CCOc1ccc([C@H]2N[C@H](C(=O)O)CS2)cc1OCC,2.272
CCOc1ccc([C@@H]2N[C@H](C(=O)O)CS2)cc1OCC,2.272
O=C(O)COc1ccccc1/C=C1/NC(=S)NC1=O,0.495
O=C1c2ccc([N+](=O)[O-])cc2S(=O)N1c1ccccc1,2.278
Oc1c([C@H](Nc2nccs2)c2ccccc2)ccc2cccnc12,4.598
CC(C)=NNc1cc([N+](=O)[O-])cc2c1C(=O)N(C)S2=O,1.511
ClC1(Cl)C[C@H]1COC[C@H]1CO1,1.596
Cc1ccc(C(=O)C[C@H](SCc2ccco2)c2cccs2)cc1,5.897
ClC1(Cl)C[C@@H]1COC[C@H]1CO1,1.596
ClC1(Cl)C[C@H]1COC[C@@H]1CO1,1.596
Cc1cc(Br)cc2c1NC(=O)[C@]2(O)N1CCOCC1,1.187
ClC1(Cl)C[C@@H]1COC[C@@H]1CO1,1.596
O=C1C=C(c2ccccc2)O/C1=C\C(=O)c1ccc(Cl)cc1,4.047
CN1C(=O)[C@](O)(N2CCOCC2)c2ccccc21,0.14
Cc1ccc(C(=O)C[C@H](Sc2ccccc2)c2ccco2)cc1,5.694
CC1(C)OC(=O)N(CCc2ccccc2)[C@@]1(C)O,2.168
CC1(C)OC(=O)N(CCc2ccccc2)[C@]1(C)O,2.168
CN1C(=O)[C@@](O)(N2CCOCC2)c2ccccc21,0.14
Cc1ccc(C(=O)C[C@@H](Sc2ccccc2)c2ccco2)cc1,5.694
CC(C)(O)c1cn2ccccc2n1,1.562
CSc1nnc2c(n1)O[C@H](c1ccco1)Nc1ccccc1-2,3.357
CSc1nnc2c(n1)O[C@@H](c1ccco1)Nc1ccccc1-2,3.357
CCSc1nnc2c(n1)O[C@H](C)Nc1ccccc1-2,2.801
CCSc1nnc2c(n1)O[C@@H](C)Nc1ccccc1-2,2.801
CCSc1nnc2c(n1)O[C@H](c1ccncc1)Nc1ccccc1-2,3.549
COc1ccc(C(=O)OC2C[C@@H]3CC[C@H](C2)N3)cc1OC,2.144
CCSc1nnc2c(n1)O[C@@H](c1ccncc1)Nc1ccccc1-2,3.549
CCc1ccc2[nH]c3nc(SC(C)C)nnc3c2c1,3.569
CCSc1nnc2c(n1)O[C@H](c1ccc(C)o1)Nc1ccccc1-2,4.055
COc1ccc(/N=C(\O)c2n[nH]cc2[N+](=O)[O-])cc1,1.963
CCSc1nnc2c(n1)O[C@@H](c1ccc(C)o1)Nc1ccccc1-2,4.055
O=C1c2ccc([N+](=O)[O-])cc2S(=O)N1Cc1ccccc1,2.273
CSc1nnc2c(n1)O[C@H](c1cccnc1)Nc1ccccc1-2,3.159
COc1cc(/C=C2/SC(N3CCCC3)=NC2=O)cc(OC)c1OC,2.779
CSc1nnc2c(n1)O[C@@H](c1cccnc1)Nc1ccccc1-2,3.159
Cn1c(=O)c2c(O)c(-c3ccccc3)c(=O)n(C)c2n(C)c1=O,0.308
CNC(=O)c1ccccc1Sc1ccc([N+](=O)[O-])cc1C(=O)NC,2.465
O=C1N=C(N2CCOCC2)S/C1=C/c1cccc2ccccc12,3.142
O=C1N=C(N2CCOCC2)S/C1=C\c1cccc2ccccc12,3.142
CC(=O)Nc1ccc(Cl)cc1C(=O)O,1.997
CCOc1ccc(C(C)=O)cc1OCC,2.687
O=C(CCl)Nc1ccc(OC(F)(F)F)cc1,2.763
CNC(=O)c1ccccc1Sc1ccc(OC)cc1C(=O)NC,2.566
Cc1ccc(-n2ncc3ccc([N+](=O)[O-])cc32)cc1,3.242
CSc1nnc2c(n1)O[C@@H](c1ccc(C)cc1)Nc1ccccc1-2,4.072
CCN1CCC[C@H](N2C(=O)OC(C)(C)[C@@]2(C)O)C1,1.41
CSc1nnc2c(n1)O[C@H](c1ccc(C)cc1)Nc1ccccc1-2,4.072
O=C(O)c1cc(Cl)ccc1Sc1ccccc1CO,3.682
CSc1nnc2c(n1)O[C@H](c1ccsc1)Nc1ccccc1-2,3.825
CSc1nnc2c(n1)O[C@@H](c1ccsc1)Nc1ccccc1-2,3.825
CC(=O)OCc1ccccc1Sc1ccc(Cl)cc1C(=O)O,4.253
CNC(=O)c1cc(Cl)ccc1Sc1ccccc1COC(C)=O,3.914
CCSc1nnc2c(n1)O[C@H](c1ccsc1)Nc1ccccc1-2,4.215
CCSc1nnc2c(n1)O[C@@H](c1ccsc1)Nc1ccccc1-2,4.215
O=C(O)c1cc([N+](=O)[O-])ccc1Sc1ccccc1CO,2.937
O=C(O)c1ccc(CN[C@@H]2CC(=O)N(c3ccc(F)cc3)C2=O)cc1,1.946
CC(=O)OCc1ccccc1Sc1ccc([N+](=O)[O-])cc1C(=O)O,3.507
CCOC(=O)C1=C(N)OC2=C(C(=O)CCC2)[C@@H]1c1ccccc1,2.541
CNC(=O)c1cc(C)ccc1Sc1ccccc1COC(C)=O,3.569
Cc1oc2ccc(OCC(=O)C(C)(C)C)cc2c1C(=O)OC(C)C,4.3
Cc1oc2cc(Br)c(O)cc2c1C(=O)OC(C)C,3.775
COc1ccc(Sc2ccccc2COC(C)=O)c(C(=O)O)c1,3.608
COC(=O)c1c(C)oc2cc(Br)c(OC(C)=O)cc12,3.216
CCC(=O)Oc1cc2c(C(=O)OC)c(C)oc2cc1Br,3.606
c1ccc2c(c1)CC1(CCCC1)n1c-2cc2nc3ccccc3nc21,5.077
CCc1c(O)c2c(=O)n(C)c(=O)n(C)c2n(C)c1=O,0.796
COC(=O)c1c(C)oc2ccc(OCc3cccc(F)c3)cc12,4.246
O=C(CCc1ccccc1)n1cc([N+](=O)[O-])cn1,2.064
Brc1ccc2ccc(Br)cc2c1,4.365
