SMILES,logP
CN1CCC2(CC1)C(=O)N(C)C(=O)N2c1ccccc1,1.549
CCCc1nc(-c2cc(N)ccn2)c(-c2ccccc2C)s1,4.715
Cc1nc(-c2ccccn2)c(-c2ccccc2C)s1,4.489
Cc1ccccc1-c1nc(-c2ccccn2)c(-c2ccccc2C)s1,6.156
Cc1ccccc1-c1sc(Cc2ccccc2)nc1-c1ccccn1,5.771
CCCc1nc(-c2ccccn2)c(-c2ccccc2)s1,4.825
CN(C)c1nc(N)nc2c1ncn2[C@@H]1C[C@@H](F)[C@H](CO)O1,0.092
CNc1ncnc2c1ncn2[C@@H]1C[C@@H](F)[C@H](CO)O1,0.486
CSc1nc(N)nc2c1ncn2[C@@H]1C[C@@H](F)[C@H](CO)O1,0.748
CNc1nc(N)nc2c1ncn2[C@@H]1C[C@@H](F)[C@H](CO)O1,0.068
Nc1nc(OCC2CC2)c2ncn([C@@H]3C[C@@H](F)[C@H](CO)O3)c2n1,0.815
Nc1nc(N2CCC2)c2ncn([C@@H]3C[C@@H](F)[C@H](CO)O3)c2n1,0.236
CCN(C)c1nc(N)nc2c1ncn2[C@@H]1C[C@@H](F)[C@H](CO)O1,0.482
CCCN(C)c1nc(N)nc2c1ncn2[C@@H]1C[C@@H](F)[C@H](CO)O1,0.873
Nc1nc(Cl)c2ncn([C@@H]3C[C@@H](F)[C@H](CO)O3)c2n1,0.68
N=C(NCc1ccccc1)c1cccn(Cc2ccccc2)c1=O,3.012
Cc1ccccc1Cn1cccc(C(=N)NCc2ccccc2)c1=O,3.32
N=C(NCc1ccccc1)c1cccn(Cc2ccc(F)cc2)c1=O,3.151
Cc1ccccc1CNC(=N)c1cccn(Cc2ccccc2C)c1=O,3.629
N=C(NCc1ccc(F)cc1)c1cccn(Cc2ccccc2)c1=O,3.151
Cc1ccccc1CNC(=N)c1cccn(Cc2ccccc2)c1=O,3.32
Clc1ccc(OCCC23CCN(CC2)C3)cc1Cl,3.858
c1ccc(COc2ccc(OCCC34CCN(CC3)C4)cc2)cc1,4.13
c1ccc(Oc2ccc(OCCC34CCN(CC3)C4)cc2)cc1,4.344
