SMILES,logP
COc1ccc(-c2cc(C3CC3)nc(SC)c2C#N)cc1,4.228
Cc1ccc(-n2c(CCc3ccc(O)cc3)n[nH]c2=S)c(C)c1,4.038
CC[C@@H]1C(=O)N=C(SCC(=O)NCc2ccccc2)NC1=O,1.075
Oc1ccc(CCc2nnc(S)n2-c2ccc(Cl)cc2)cc1,3.7
O=C(NC(=S)NCc1ccccc1)c1ccc(Cl)cc1Cl,3.798
CCn1c(C)cc(=O)n2ncnc12,0.219
O=c1oc2cc(Cl)c(Cl)cc2cc1-c1nc(C2CC2)cs1,5.101
O=C(NC(=S)NCc1ccccc1)c1ccccc1Br,3.254
Cc1ccccc1C(=O)NC(=S)NCc1ccco1,2.393
N#Cc1c(-c2cccs2)cc(C2CC2)nc1SCC(N)=O,3.137
O=C(NC(=S)NCc1cccnc1)c1ccc(Cl)cc1Cl,3.193
Cc1cc(C)cc(CSCC(=O)Nc2cccc(Cl)c2C)c1,5.137
CC1=NN(C(=O)Cc2ccc([N+](=O)[O-])cc2)[C@@](O)(C(F)(F)F)C1,1.996
N#Cc1c(-c2cccs2)cc(C2CC2)nc1SCc1ccccc1,5.851
O=C(NC(=S)N1CCCC1)c1ccc(Cl)cc1Cl,3.104
O=C(NC(=S)N1CCCC1)c1ccccc1Br,2.56
CC1=NN(C(=O)Cc2ccc([N+](=O)[O-])cc2)[C@](O)(C(F)(F)F)C1,1.996
C[C@@H]1CN(C(=S)NC(=O)c2ccc(Cl)cc2Cl)C[C@@H](C)O1,3.117
O=S(=O)(c1cccc2cccnc12)N1CCc2ccccc21,2.986
COC(=O)c1ccc(NC(=O)c2sc3ccccc3c2Cl)cc1,4.594
C[C@H]1CN(C(=S)NC(=O)c2ccc(Cl)cc2Cl)C[C@H](C)O1,3.117
O=C(O)C1CCN(S(=O)(=O)c2cccc3cccnc23)CC1,1.72
CC(=O)c1ccc(NS(=O)(=O)c2cccc3cccnc23)cc1,3.238
O=C(Cc1ccccc1)Nc1ccc(-c2nc3ccccc3[nH]2)cc1,4.411
CC[C@H]1CCCCN1C(=S)NC(=O)C1CCCCC1,3.232
CC[C@@H]1CCCCN1C(=S)NC(=O)C1CCCCC1,3.232
O=S(=O)(/C=C/c1ccccc1)N1CCc2ccccc2C1,3.045
CC[C@H]1CCCCN1C(=S)NC(=O)c1ccc(Cl)cc1Cl,4.273
CC[C@@H]1CCCCN1C(=S)NC(=O)c1ccc(Cl)cc1Cl,4.273
Cc1ccc(NS(C)(=O)=O)cc1[N+](=O)[O-],1.275
CSc1nc(C)cc(OC(F)F)n1,2.108
Cc1ccc(NS(C)(=O)=O)cc1/N=C/c1ccccc1O,2.823
CC1CCN(C(=S)NC(=O)c2ccc(Cl)cc2Cl)CC1,3.74
Nc1nonc1-n1nnc(C(=O)N2CCCC2)c1-c1ccccc1,1.135
COC(=O)c1ccc(CSc2nc(C)cc(C)n2)cc1,3.172
O=C(NC(=S)N1CCCCC1)c1ccccc1Br,2.95
C[C@]12CO[C@]3(C(=O)N4CCN(c5ccccn5)CC4)C[C@H]1CC[C@]23C,2.325
O=C(NC(=S)N1CCCCC1)c1ccc(Cl)cc1Cl,3.494
Nc1nonc1-n1nnc(C(=O)N2CCOCC2)c1-c1ccccc1,0.372
Cc1ccc(NS(C)(=O)=O)cc1/N=C/c1cccs1,3.179
CC1=NN(c2ccccc2)C(=O)C1=Cc1ccc(N2CCOCC2)cc1,3.329
C[C@@]12CC[C@H]3C[C@]1(C(=O)Nc1nc4ccccc4s1)OC[C@]32C,3.83
CC1(C)[C@]2(C)CC[C@]1(C(=O)Nc1nccs1)CC2=O,2.867
Cc1c(-c2ccc(C=O)o2)ccc([N+](=O)[O-])c1C,3.284
COc1ccc(/C=N/c2cc(NS(C)(=O)=O)ccc2C)cc1,3.126
CC1(C)[C@]2(C(=O)Nc3nccs3)CC[C@@]1(C)C(=O)C2,2.867
CCc1nc2ccccc2n1C(=O)c1ccccc1C(=O)O,2.985
Cc1nc2cc(NC(=O)c3ccc4c(c3)OCCO4)ccc2s1,3.628
Cc1ccc(NS(C)(=O)=O)cc1/N=C/c1ccc(N(C)C)cc1,3.183
O=C(OCc1nc2ccccc2s1)c1ccc2c(c1)OCCO2,3.425
COc1cc(/C=C2/SC(N3CCCCCC3)=NC2=O)ccc1O,3.247
O=C(Nc1ccccc1-c1nc2ccccc2s1)c1ccccc1,5.216
CC(C)(C)[C@@]1(O)CC(C(F)(F)F)=NN1C(=O)c1cccc(Cl)c1,3.839
O=C(Nc1ccccc1-c1nc2ccccc2s1)c1ccc(F)cc1,5.355
CC(C)(C)[C@]1(O)CC(C(F)(F)F)=NN1C(=O)c1cccc(Cl)c1,3.839
O=[N+]([O-])c1cccc(-c2nc(=S)c3c(o2)CCCC3)c1,3.858
Cc1ccccc1NC(=S)Nc1cc(NS(C)(=O)=O)ccc1C,3.484
O=C(Nc1ccccc1-c1nc2ccccc2s1)c1ccccc1F,5.355
O=C(NC(=S)N1CCOCC1)c1cccc([N+](=O)[O-])c1,0.942
COc1ccc(/C=C2/SC(N3CCCCCC3)=NC2=O)cc1OC,3.55
O=C(Nc1ccccc1-c1nc2ccccc2s1)c1cccc(F)c1,5.355
COC(=O)C1=CCCCCC(N2CCOCC2)=C1C(=O)OC,1.419
O=C1N=C(N2CCCC2)S/C1=C/c1cccc(Cl)c1,3.406
O=C1C[C@@H](c2ccccc2)Sc2nc(-c3ccccc3)nn21,3.822
CCN(CC)[P@](=O)(O)NS(=O)(=O)c1ccccc1,1.407
O=C1C[C@H](c2ccccc2)Sc2nc(-c3ccccc3)nn21,3.822
CCOC(=O)Cc1csc2nc3sc(C)c(C)c3c(=O)n12,2.693
CCOC(=O)Cc1csc2nc3sc4c(c3c(=O)n12)CCCC4,2.955
Cn1c(=O)[nH]c(=O)c2c1ncn2CCN1CCCCC1,0.091
N#Cc1c(NC(=O)C2CC2)sc2c1CCCC2,2.847
CCOC(=O)/C(=C(/C)N)[C@@H]1CC(=O)N(c2ccccc2)C1=O,1.362
Cc1cc(C)c(C#N)c(S[C@H]2CCCCC2=O)n1,3.174
Cc1cccc(Cn2c(N3CCCC3)nc3c2c(=O)[nH]c(=O)n3C)c1,1.38
C/C(=N\NC(=O)CSc1ncccn1)c1ccc(C)cc1,2.418
Cc1cc(C)c(C#N)c(S[C@@H]2CCCCC2=O)n1,3.174
O=Cc1cn(Cc2ccc(Cl)cc2Cl)nc1-c1ccccc1,4.718
Cc1cccc(Cn2c(N(C)C)nc3c2c(=O)n(C)c(=O)n3C)c1,0.856
Cn1c(=O)c2c(nc(N3CCCC3)n2Cc2ccccc2)n(C)c1=O,1.082
Cc1cc(C)c(C#N)c(SCc2ccc(Br)cc2)n1,4.625
O=C(CSc1nc2ccccc2[nH]1)N1CCOCC1,1.514
CC(C)CCn1c(N2CCCC2)nc2c1c(=O)[nH]c(=O)n2C,1.07
O=C(NCN1CCCCC1)c1cccnc1,1.255
CC(C)CCn1c(NC2CCCCC2)nc2c1c(=O)[nH]c(=O)n2C,2.214
CC(C)c1ccc(/C=C2/C(=O)ON=C2c2ccccc2)cc1,4.155
CC(C)CCn1c(N(CCO)CCO)nc2c1c(=O)[nH]c(=O)n2C,0.74
O=C(Nc1ccc(Cl)cc1)c1ccc2c3c(cccc13)CC2,4.844
Nc1ccc(Cc2ccncc2)cc1,2.255
CC[C@@H](C)Nc1nc2c(c(=O)[nH]c(=O)n2C)n1Cc1cccc(C)c1,1.99
CCN(CC)c1ccc(NC(=O)c2ccc3c4c(cccc24)CC3)cc1,5.037
CN(C)c1ccc(NC(=O)c2ccc3c4c(cccc24)CC3)cc1,4.257
CC[C@H](C)Nc1nc2c(c(=O)[nH]c(=O)n2C)n1Cc1cccc(C)c1,1.99
O=C(O)c1ccc(N2C(=O)[C@@H]3[C@H]4C=C[C@H](O4)[C@@H]3C2=O)cc1,0.828
CCOC(=O)C1=C(C)NC(=O)[C@@H]1CC(=O)Nc1ccccc1,1.598
Cc1nc2cc(C(=O)N/N=C/c3ccc(O)cc3)ccc2[nH]1,2.341
CC(C)CCn1c(NCc2ccco2)nc2c1c(=O)[nH]c(=O)n2C,1.674
CC(=O)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,4.19
O=c1c2ccccc2nnn1CSc1ccc2ccccc2n1,3.09
C=C(C)Cn1c(N2CCCC2)nc2c1c(=O)[nH]c(=O)n2C,0.6
O=c1c2ccccc2nnn1CSc1ccc(Cl)cc1,3.195
Cc1cccc(C)c1NC(=S)NNC(=O)c1ccccc1Cl,3.588
Cc1ccccc1NC(=S)NNC(=O)c1ccccc1Cl,3.28
Cc1nc2cc(C(=O)N/N=C/c3ccccc3O)ccc2[nH]1,2.341
CC(C)Cn1c(N2CCCC2)nc2c1c(=O)[nH]c(=O)n2C,0.679
O=c1c2ccccc2nnn1CN1CCCCC1,1.235
O=C(NNC(=S)Nc1ccc(F)cc1)c1ccccc1Cl,3.111
O=C(NNC(=S)Nc1cccc(Cl)c1)c1ccccc1Cl,3.625
CSc1nc(-c2cc3ccccc3oc2=O)cn1-c1ccccc1,4.368
COc1ccccc1NC(=S)NNC(=O)c1ccccc1Cl,2.98
COc1cccc(NC(=S)NNC(=O)c2ccccc2Cl)c1,2.98
CC1CCN(Cn2nnc3ccccc3c2=O)CC1,1.481
CCn1c(N2CCCC2)nc2c1c(=O)n(C)c(=O)n2C,0.054
O=C(O)c1cc2ccccc2oc1=O,1.491
O=C(O)c1cc2cc(Br)ccc2oc1=O,2.254
O=C(Nc1cccnc1)OC1CCCCC1,2.963
O=C(O)c1cc2cc(Cl)cc(Cl)c2oc1=O,2.798
COc1ccccc1/C=N/NC(=O)c1nnn(-c2nonc2N)c1C,0.313
Cc1cc(Cl)ccc1Nc1nnc(-c2ccccc2Cl)s1,5.564
Cn1c(=O)[nH]c(=O)c2c1nc(N1CCCC1)n2C[C@H](O)CO,1.623
O=C(Nc1ccncc1)OC1CCCC1,2.573
CC(C)(O)C(=O)/C=C/c1cccc([N+](=O)[O-])c1,1.948
Cc1ccccc1-n1c(S)nnc1-c1ccccc1Cl,4.185
O=C(Nc1cccnc1)OCCN1CCOC1=O,1.082
O=C(/C(=N\N=C\c1ccccc1O)c1ccccc1)c1ccccc1,4.098
Cn1c(=O)[nH]c(=O)c2c1nc(N1CCCC1)n2C[C@@H](O)CO,1.623
O=C(Nc1cccnc1)OCCc1ccccn1,2.268
C=CCN1C(=O)OC(C)(C)[C@]1(C)O,1.112
Cn1c(=O)c2c(nc(N3CCCC3)n2C[C@H](O)CO)n(C)c1=O,1.613
O=c1c2ccccc2nc(-c2ccc([N+](=O)[O-])cc2)n1-c1ccccc1,3.961
CCOC(=O)C1=C(C)OC(N)=C(C#N)[C@H]1c1ccc(OC)c(OC)c1,2.349
Cn1c(=O)c2c(nc(N3CCCC3)n2C[C@@H](O)CO)n(C)c1=O,1.613
O=C(Nc1ccncc1)OCCc1ccccn1,2.268
CCOC(=O)C1=C(C)OC(N)=C(C#N)[C@@H]1c1ccc(OC)c(OC)c1,2.349
O=C(/C(=N\N=C\c1cccs1)c1ccccc1)c1ccccc1,4.454
N#CC1=C(N)Oc2cc(O)ccc2[C@@H]1c1cccs1,2.672
CCn1c(NCCN(C)C)nc2c1c(=O)n(C)c(=O)n2C,0.573
N#CC1=C(N)Oc2cc(O)ccc2[C@H]1c1cccs1,2.672
Cn1c(=O)[nH]c(=O)c2c1nc(NCc1ccco1)n2C[C@H](O)CO,1.018
COc1ccc(NC(=O)Nc2ccncc2)cc1,2.734
Cn1c(=O)[nH]c(=O)c2c1nc(NCc1ccco1)n2C[C@@H](O)CO,1.018
O=C1/C(=C\c2ccc(Cl)cc2)CC/C1=C/c1ccc(Cl)cc1,5.823
O=C(/C(=N\N=C\c1ccc(Cl)cc1)c1ccccc1)c1ccccc1,5.046
Cc1ccccc1NC(=O)Nc1cccnc1,3.034
Cn1c(=O)c2c(nc(NCc3ccco3)n2C[C@H](O)CO)n(C)c1=O,1.008
Cc1ccccc1NC(=O)Nc1ccncc1,3.034
O=C1/C(=C\c2ccccc2Cl)CC/C1=C\c1ccccc1Cl,5.823
Cc1cc(OCc2c(C)c(C)c(C)c(C)c2C)c2cc(F)ccc2n1,5.803
O=C(Nc1cccnc1)Nc1ccccc1I,3.33
Oc1c(Cl)cc(Cl)cc1/C=N/c1ccc2c(c1)COCO2,4.316
O=C(Nc1ccc(Br)cc1)N1CCCCC1,3.467
CC(C)Cn1c(NCc2ccco2)nc2c1c(=O)[nH]c(=O)n2C,1.284
O=C(Nc1ccc2[nH]nnc2c1)c1sc2ccccc2c1Cl,4.078
O=C1/C(=C\c2ccc(F)cc2)CCC/C1=C\c1ccc(F)cc1,5.185
NC(=O)c1c(Cl)nsc1-c1ccccc1,2.562
N#Cc1c(Cl)nsc1-c1ccccc1,3.335
Cc1cc(C)n(C(=O)CCNC(=O)c2ccccc2)n1,1.96
COc1cc(C(=O)Nc2ccc3[nH]nnc3c2)cc(OC)c1OC,2.236
c1ccc2nc3c(nc2c1)c1ccccc1n3CCN1CCCCC1,4.224
O=C1/C(=C\c2ccc(F)cc2)CC/C1=C/c1ccc(F)cc1,4.795
O=C(Sc1nc2ccccc2o1)c1cccc(Cl)c1,4.414
Cc1onc(-c2ccccc2)c1C(=O)Nc1ccc2[nH]nnc2c1,3.174
Cc1ccccc1C(=O)Nc1nnc(C2CCCCC2)s1,4.147
O=C1/C(=C\c2ccsc2)CCC/C1=C\c1ccsc1,5.03
Cc1sc(NC(=O)c2ccccc2)c(C(=O)N2CCCCC2)c1C,4.243
COc1ccc(C(=O)Oc2ccc3oc(=O)sc3c2)cc1OC,3.091
O=C1/C(=C\c2ccsc2)CCC/C1=C/c1ccsc1,5.03
O=C(Nc1ccc2c(c1)COCO2)c1sc2ccccc2c1Cl,4.674
COc1ccccc1C(=O)Nc1cccc([N+](=O)[O-])c1,2.856
COc1ccccc1C(=O)Nc1cccc(C(F)(F)F)c1,3.966
COC(=O)/C=C1\SC(NC(C)=O)=NC1=O,0.191
CC1(C)CC(=O)C2=C(C1)OC(N)=C(C#N)[C@@H]2c1ccccc1Cl,3.791
CC1(C)CC(=O)C2=C(C1)OC(N)=C(C#N)[C@H]2c1ccccc1Cl,3.791
O=[N+]([O-])c1ccc(S(=O)(=O)NCc2cccnc2)cc1,1.468
Cc1nc2cc(Cl)ccc2c(=O)n1-c1ccncc1,2.743
O=C(c1ccc(Cl)cc1)N1CCN(c2cccc(Cl)c2)CC1,3.956
O=C(NC1CCN(Cc2ccccc2)CC1)c1ccccc1Cl,3.734
Cc1nc2cc(Cl)ccc2c(=O)n1-c1cccnc1,2.743
N#CCN(CC#N)C(=O)c1ccccc1Br,1.938
N#C/C(=N\Nc1ccc(F)cc1)C(=N)N1CCOCC1,1.427
CCN(C(=O)c1cccc([N+](=O)[O-])c1C)C1CCCCC1,3.698
N#C/C(=N/Nc1ccc(F)cc1)C(=N)N1CCOCC1,1.427
Cc1nc2cc(Cl)ccc2c(=O)n1Cc1ccncc1,2.802
N#C/C(=N\Nc1cccc(F)c1)C(=N)N1CCCCC1,2.58
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)c1)c1ccccc1,4.24
Cc1nc2cc(Cl)ccc2c(=O)n1C[C@H]1CCCO1,2.537
COc1ccccc1N1CCN(C(=O)c2cccs2)CC1,2.719
Cc1nc2cc(Cl)ccc2c(=O)n1C[C@@H]1CCCO1,2.537
N=C1NN=C(N)/C1=N\Nc1cccc(F)c1,0.446
CCOC(=O)c1ccc(/N=C/c2ccccn2)cc1,3.009
O=[N+]([O-])c1ccc2sc(SCc3cn4ccccc4n3)nc2c1,4.145
CCOc1ccccc1NS(=O)(=O)c1ccccc1[N+](=O)[O-],2.794
N#C/C(=N\Nc1ccccc1)C(=N)N1CCOCC1,1.288
O=[N+]([O-])c1ccc2oc(SCc3cn4cccnc4n3)nc2c1,3.071
N#C/C(=N\Nc1ccc(Cl)cc1)C(=N)N1CCCCCC1,3.485
CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(C)c(Cl)c2)cc1,3.408
CCN(CC)C(=N)/C(C#N)=N/Nc1ccc(C)cc1,2.606
CC1CCN(C(=O)CN2C(=O)c3ccccc3C2=O)CC1,1.541
Cc1cc(C)c(C(N)=O)c(SCC(=O)c2ccccc2)n1,2.772
O=C(Nc1ccc(Cl)c(Cl)c1)c1ccc(Cl)cc1[N+](=O)[O-],4.807
CN(C)c1ccc(/C=N/c2ccc(C(=O)NCC(=O)O)cc2)cc1,2.318
N#C/C(=N\Nc1ccc(Br)cc1)C(=N)N1CCCCC1,3.204
COc1ccc(CNC(=O)c2ccc(Cl)cc2[N+](=O)[O-])cc1,3.187
O=C(NCCc1ccccc1)c1ccc(Cl)cc1[N+](=O)[O-],3.221
N#C/C(=N\Nc1ccc(Br)cc1)C(=N)N1CCOCC1,2.05
COc1ccc(C(=O)N2CCCc3ccccc32)cc1OC,3.297
COC(=O)c1ccccc1NC(=O)c1cc(OC)cc(OC)c1,2.743
CN(C)c1ccc(/C=C2/N=C(c3ccccc3)OC2=O)c(Cl)c1,3.751
COc1cc(OC)cc(C(=O)N2CCCc3ccccc32)c1,3.297
CN(C)c1ccc(/C=C2\N=C(c3ccccc3)OC2=O)c(Cl)c1,3.751
CN(C)c1ccc(C(=O)n2nnc3ccccc32)cc1,2.186
Cc1cccc(NC(=S)Nc2ccc(C)c(NS(C)(=O)=O)c2)c1,3.484
COc1ccc(-c2nc3n(n2)C(=O)C[C@@H](c2cccs2)S3)cc1,3.893
Cc1cccc(NC(=O)c2cc(Cl)ccc2Cl)n1,3.949
COc1ccc(-c2nc3n(n2)C(=O)C[C@H](c2cccs2)S3)cc1,3.893
Cc1ccc([N+](=O)[O-])c(C(=O)NCC(=O)O)c1,0.718
CN1C(=O)C[C@H](P(=O)(c2ccccc2)c2ccccc2)N(C)C1=O,2.24
COc1ccc(-c2nc3n(n2)C(=O)C[C@@H](c2ccco2)S3)cc1,3.424
Cc1ccc(NC(=S)NCc2ccccc2)cc1NS(C)(=O)=O,2.853
COc1ccc(-c2nc3n(n2)C(=O)C[C@H](c2ccco2)S3)cc1,3.424
CN1C(=O)C[C@@H](P(=O)(c2ccccc2)c2ccccc2)N(C)C1=O,2.24
COC(=O)c1cc(C(=O)Nc2ccncc2)cc([N+](=O)[O-])c1,2.029
COc1ccc([C@H]2CC(=O)n3nc(-c4ccccc4)nc3S2)cc1,3.831
Cc1ccc(S(=O)(=O)C=C(c2ccccc2)c2ccccc2)cc1,4.858
Cc1ccc(C2=NC(=Cc3cccs3)C(=O)O2)cc1[N+](=O)[O-],3.309
COc1ccc([C@@H]2CC(=O)n3nc(-c4ccccc4)nc3S2)cc1,3.831
O=C(Nc1cccnc1)OC1CCCC1,2.573
O=C1C[C@@H](c2ccc(Cl)cc2)Sc2nc(-c3ccccc3)nn21,4.476
Cc1ccnc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)c1,0.224
O=C1C[C@H](c2ccc(Cl)cc2)Sc2nc(-c3ccccc3)nn21,4.476
O=C1C[C@@H](c2ccc(F)cc2)Sc2nc(-c3ccccc3)nn21,3.962
CCCn1c2ccccc2c2nnc(SC(C)C)nc21,3.89
O=C1C[C@H](c2ccc(F)cc2)Sc2nc(-c3ccccc3)nn21,3.962
C=C1SC(Nc2cc(C)c(C)cc2C)=NC1(C)C,4.419
CC(C)n1c(-c2ccccc2)nc(=S)c2c1CCCC2,4.739
Cc1ccc(C(=O)N2CCC(Cc3ccccc3)CC2)cc1[N+](=O)[O-],3.998
Cn1c(=O)c2c(ncn2CC(=O)Nc2ccccc2)n(C)c1=O,0.072
COc1cccc(C2SCc3cc(C)c(C)cc3CS2)c1O,5.196
O=S(=O)(c1ccccc1)N(Cc1ccccc1)Cc1ccccc1,4.078
O=C(NC1CCCCCC1)c1ccc([N+](=O)[O-])cc1,3.047
CC(=O)Nc1ccc(NC(=O)c2ccc([N+](=O)[O-])cc2)c(C)c1,3.114
O=C(NCCc1ccccc1)C1c2ccccc2Oc2ccccc21,4.283
CC(=O)Nc1ccc(NC(=O)c2cc(C)ccc2[N+](=O)[O-])c(C)c1,3.422
COc1ccc(C)cc1NS(=O)(=O)c1ccc(NC(C)=O)cc1,2.763
COc1ccc2nc(NC(=O)[C@@H]3CC=C(C)C[C@@H]3C(=O)O)sc2c1,3.301
O=C1N=C(N2CCOCC2)S/C1=C/C=C/c1ccccc1,2.545
CC(=O)Nc1ccc(NC(=O)c2c(Cl)cccc2Cl)c(C)c1,4.513
COc1ccc2nc(NC(=O)[C@@H]3CC=C(C)C[C@H]3C(=O)O)sc2c1,3.301
CC(=O)Nc1ccc(NC(=O)c2cccc(Cl)c2)c(C)c1,3.859
CN(C)c1ccc(C(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1,1.652
CC(=O)Nc1ccc(NS(=O)(=O)c2ccc(C)cc2)c(C)c1,3.063
COc1ccc2nc(NC(=O)[C@H]3CC=C(C)C[C@@H]3C(=O)O)sc2c1,3.301
CN(C)c1ccc(NS(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1,2.462
CCOC(=O)c1c(CN(C)C)oc2ccc(O)cc12,2.377
COc1ccc2nc(NC(=O)[C@H]3CC=C(C)C[C@H]3C(=O)O)sc2c1,3.301
Cc1ccc(N(CC(N)=O)S(=O)(=O)c2ccccc2)c(C)c1,1.984
CC(=O)Nc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)c(C)c1,3.408
Cc1cc(C)nc(SCC(=O)c2ccc(F)cc2F)n1,3.347
CCOC(=O)Oc1cc2oc(=O)sc2cc1Cl,3.043
CC(=O)Nc1nnc(-c2ccncc2)s1,1.558
Clc1cccc(Nc2nc3ccccc3s2)c1,4.693
COc1cccc(/C=N/NC(=O)[C@@H]2[C@@H](C=C(Cl)Cl)C2(C)C)c1,3.737
COc1cc(SC)ccc1C(=O)Nc1cccc(C(F)(F)F)c1,4.688
COc1ccc(CC(=O)Nc2cccc(C(=O)O)c2)cc1OC,2.583
C=C1S/C(=N/c2cccc(C(F)(F)F)c2)NC1(C)C,4.322
Oc1cccc(Nc2nc(-c3ccc(F)cc3F)cs2)c1,4.538
Cc1ccc(NC(=O)[C@H](Sc2ccccc2)c2ccccc2)cc1C,5.776
Cc1ccc(NC(=O)[C@@H](Sc2ccccc2)c2ccccc2)cc1C,5.776
COc1ccc(C(=O)CSc2nc(C)cc(C)n2)cc1,3.077
O=C(CN1C(=O)c2ccc([N+](=O)[O-])cc2C1=O)Nc1ccccc1,1.83
COC(=O)c1cc(C(=O)CSc2nc(C)cc(C)n2)ccc1O,2.561
CN(C(=O)COc1ccc(Cl)cc1Cl)C1CCCCC1,4.163
Nc1nnnn1CC(=O)Nc1ccccc1,0.106
O=[N+]([O-])c1ccccc1S(=O)(=O)Nc1ccccc1,2.396
