SMILES,logP
C[C@H]1CC(=O)NN=C1c1ccc2c(c1)N(C)C(=O)[C@H](C)O2,1.29
Cc1cc2c(cc1C1=NNC(=O)C[C@@H]1C)NC(=O)CO2,1.186
C[C@H]1CC(=O)NN=C1c1ccc2c(c1)OCC(=O)N2C,0.902
C[C@H]1CC(=O)NN=C1c1ccc2c(c1)SCC(=O)N2C,1.615
Cn1c(=O)c2c(ncn2CC2SCCCS2)n(C)c1=O,0.63
Cn1c(=O)c2c(ncn2C[C@H]2SCC[S@]2=O)n(C)c1=O,0.745
Cn1c(=O)c2c(ncn2C[C@@H]2SCC[S@@]2=O)n(C)c1=O,0.745
CCN(CC)CCN1C(=O)c2ccccc2[C@H]1c1ccccc1N,3.156
CC#CC1(O[C@H]2CCCN(C)[C@@H]2COCC(C)C)CCCCC1,3.865
C#C[C@@](C)(O[C@@H]1CCCN(C)[C@@H]1COCC(C)C)c1ccccc1,3.687
C#C[C@@](C)(O[C@@H]1CCCCN(C)[C@@H]1COCC(C)C)c1ccccc1,4.077
Cc1[nH]cnc1CCC(=O)c1cn(C)c2c(C)cccc12,3.334
Cc1cc(C2=NN=C(N(C)C)SC2)cc(C(C)(C)C)c1O,3.367
C[C@@H](CO)[C@@H]1CCC2=C3CC[C@H]4N(C)C(=O)CC[C@]4(C)[C@@H]3CC[C@@]21C,4.159
CCOC(=O)N1CCN(c2cc(N)nc(N)n2)CC1,0.08
Nc1cc(N2CCN(C(=O)c3ccco3)CC2)nc(N)n1,0.196
CCOC(=O)N1CCN(c2cc(N)[n+]([O-])c(N)n2)CC1,0.842
CC(C)(C)NC[C@@H](O)COc1ccccc1C(=O)Nc1ccccn1,2.462
CC(C)(C)NC[C@@H](O)COc1ccccc1C(=O)Nc1ccncc1,2.462
CC1(C)Oc2ccc(C#N)cc2[C@H](N2C[C@@H](O)CC2=O)[C@H]1O,0.724
CC1(C)Oc2ccc(C#N)cc2[C@H](N2CC[C@@H](O)C2=O)[C@H]1O,0.724
C#Cc1cn([C@H]2O[C@@H](CO)[C@H](O)[C@@H]2O)c(=O)[nH]c1=O,2.871
CC#Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,1.451
CC#Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)nc1N,1.162
COc1ccc(-c2cc3ccc(O)cc3o2)c(O)c1,3.52
COc1cc(O)ccc1-c1cc2ccc(O)cc2o1,3.52
COc1ccc(-c2cc3cc(O)ccc3o2)c(O)c1,3.52
CCCN(CCc1cccc2[nH]ccc12)[C@H]1CCc2c(O)cccc2C1,4.686
COC(=O)[C@H]1CC[C@@H]2[C@@H]3CC[C@H]4N(C)C(=O)C=C[C@]4(C)[C@H]3CC[C@@]12C,3.415
C[C@@H]1c2ccccc2CN1CC1=NCCN1,1.565
C[C@@H](O)[C@@H]1C(=O)N2C(C(=O)O)=C(C[n+]3ccc(N)cc3)C[C@H]12,0.493
C[C@@H](O)[C@@H]1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3N(C)C)C[C@H]12,0.01
C[C@@H](O)[C@@H]1C(=O)N2C(C(=O)O)=C(C[n+]3ccc(N(C)C)cc3)C[C@H]12,0.01
C[C@@H](O)[C@@H]1C(=O)N2C(C(=O)O)=C(C[n+]3cccc(C#N)c3)C[C@H]12,0.204
Cc1ccc[n+](CC2=C(C(=O)O)N3C(=O)[C@@H]([C@@H](C)O)[C@H]3C2)c1,0.233
Cc1cc[n+](CC2=C(C(=O)O)N3C(=O)[C@@H]([C@@H](C)O)[C@H]3C2)cc1,0.233
C[C@@](Cc1ccccc1)(NC(=O)[C@@H]1CCCN1)c1ccccc1,3.013
C[C@](Cc1ccccc1)(NC(=O)[C@H]1CCCCN1)c1ccccc1,3.403
C[C@@](Cc1ccccc1)(NC(=O)[C@H]1CSCN1)c1ccccc1,2.923
