SMILES,logP
COc1cc(OC)cc(C(=O)N2C(=O)CC[C@@H]3C(=O)CC[C@H]32)c1,1.814
COc1ccc(C(=O)N2CC[C@H]3[C@@H](O)CC[C@H]3C2=O)cc1,1.455
COc1ccc2nc([S@](=O)Cc3cc4occ(C)c4cn3)[nH]c2c1,3.329
CC1(C)C=Cc2cnc(C[S@](=O)c3nc4ccccc4[nH]3)cc2O1,3.45
O=c1[nH]c(=O)n([C@@H]2C[C@H](O)[C@@H](O)[C@H](CO)O2)cc1F,2.323
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](O)[C@H](CO)O2)cc1F,2.323
O=c1[nH]c(=O)n([C@@H]2C[C@H](O)[C@H](O)[C@H](CO)O2)cc1F,2.323
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@H](O)[C@H](CO)O2)cc1F,2.323
COc1ccc2nccc(CCNC(C)=O)c2c1,1.922
COc1ccc2nc(Cl)cc(CCNC(=O)C(F)(F)F)c2c1,3.118
COc1ccc2nccc(CCNC(=O)C(F)(F)F)c2c1,2.464
CCC(=O)NCCc1cc(Cl)nc2ccc(OC)cc12,2.966
CCC(=O)NCCc1ccnc2ccc(OC)cc12,2.312
C1=C(c2csc3ccccc23)N2CCCN=C2S1,4.008
C1=C(c2coc3ccccc23)N2CCN=C2S1,3.15
C1=C(c2coc3ccccc23)N2CCCN=C2S1,3.54
Clc1ccc2scc(C3=CSC4=NCCN34)c2c1,4.272
COc1ccc2scc(C3=CSC4=NCCN34)c2c1,3.627
Fc1ccc2scc(C3=CSC4=NCCN34)c2c1,3.757
N#Cc1ccc2scc(C3=CSC4=NCCN34)c2c1,3.49
COC(=O)C1=C(N)OC(C)=C(C(C)=O)[C@H]1c1cccc([N+](=O)[O-])c1,1.915
CC1=C[C@H](NCc2ccccc2)[C@@H](O)C(C)(C)CC1=O,2.451
CCOC(=O)c1ccc(N[C@H]2C=C(C)C(=O)CC(C)(C)[C@@H]2O)cc1,2.95
CC1=C[C@H](Nc2ccccc2)[C@@H](O)C(C)(C)CC1=O,2.773
O=c1cc(-c2ccc(O)c(O)c2)c2ccc(O)c(O)c2o1,2.282
O=c1oc2c(O)c(O)ccc2cc1-c1ccc(O)c(O)c1,2.282
N#C/C(=C\c1ccnc2ccccc12)c1cccnc1,3.694
N#C/C(=C\c1ccc2c(c1)OCCO2)c1cccnc1,2.917
N#C/C(=C\c1c[nH]c2ncccc12)c1cccnc1,3.022
N#C/C(=C\c1ccc2c(c1)OCCO2)c1c[nH]c2ncccc12,3.398
COc1cccc2c1O[C@@H](c1ccc(F)cc1)C([N+](=O)[O-])=C2,3.586
Clc1cc(OC[C@@H]2CCCN2)cnc1Cl,2.519
Clc1cc(OC[C@H]2CCCN2)cnc1Cl,2.519
Clc1cc(OC[C@H]2CCN2)cnc1Cl,2.129
Clc1cc(OC[C@@H]2CCN2)cnc1Cl,2.129
CCc1cc(OC[C@H]2CCN2)cnc1Cl,2.038
N#Cc1ncc(OC[C@H]2CCN2)cc1Cl,1.347
Cn1nc(-c2ccccc2)c(-c2ccc(=O)[nH]n2)c1-c1ccccc1,3.504
Cc1cccc(N(C)c2ncnc3n[nH]cc23)c1,2.429
COc1cc2ncnc(N(C)c3cccc(C)c3)c2cc1OC,3.723
CN(CCO)C(=O)Cn1ccnc1[N+](=O)[O-],0.758
O=C(Nc1ccc(Cl)cc1)O[C@H]1CCCN(c2ccncc2)C1,3.953
CCn1cc(C(=O)NCCc2ccncc2)c(=O)c2cc(C)ccc21,2.697
COc1ccc2c(c1)C(=O)c1c-2nc2ccccc2c1NCCN(C)C,3.428
CN(C)CCNc1c2c(nc3ccccc13)-c1cc(O)ccc1C2=O,3.125
COc1ccc2c(NCCN(C)C)c3c(nc2c1)-c1ccccc1C3=O,3.428
CN(C)CCNc1c2c(nc3cc(O)ccc13)-c1ccccc1C2=O,3.125
CN(C)CCNc1c2c(nc3ccc(O)cc13)-c1ccccc1C2=O,3.125
CN1CCN(c2c3c(nc4ccc(O)cc24)-c2ccccc2C3=O)CC1,2.904
NC[C@@H](O)c1cc(S(N)(=O)=O)ccc1Cl,0.02
NC[C@@H](O)c1cc(S(N)(=O)=O)ccc1F,0.535
CS(=O)(=O)Nc1ccc(S(N)(=O)=O)cc1C1CCCCC1,1.753
CCOC(=O)C1=NN2CC(C)=C(C)C[C@@]2(C(=O)OCC)[C@@H]1O,0.624
O=C1NC(=O)c2cc(O[C@H](C(=O)O)c3ccc4c(c3)OCO4)ccc21,1.504
CN1CC=C(c2c[nH]c3cnc(-n4cncn4)cc23)CC1,1.862
CN1CCC(c2c[nH]c3cnc(-n4cncn4)cc23)CC1,1.953
Cc1cnc2c(O)c3[nH]c(=O)cc(C)c3c(O)c2c1,2.104
