SMILES,logP
C=CCc1ccc(OCC(=O)N(CC)CC)c(OC)c1,2.671
C[C@@]1(c2ccccc2)OC(C(=O)O)=CC1=O,1.47
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1N(C)C,1.315
O=C(C[S@@](=O)C(c1ccccc1)c1ccccc1)NO,2.03
CC[C@H]1[C@H](O)N2[C@H]3C[C@@]45c6ccccc6N(C)[C@H]4[C@@H]2C[C@@H]1[C@@H]3[C@H]5O,1.554
C[C@@H](C(=O)O)N(CCCl)CCCl,1.239
CC1(C)O[C@H]2C[C@@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@]4(F)[C@H](O)C[C@]3(C)[C@@]2(C(=O)CO)O1,2.367
CCC[S@](=O)c1ccc2[nH]/c(=N\C(=O)OC)[nH]c2c1,1.681
C=CCN1C(=O)[C@@H](CC(C)C)NC1=S,1.304
C=CC[C@H]1CN(C)CC[C@@]1(OC(=O)CC)c1ccccc1,3.363
C=C(C)CNc1ccc([C@H](C)C(=O)O)cc1,2.863
C=CCc1ccccc1OC[C@H](O)CNC(C)C,2.153
O[C@@H]1C=C2CCN3Cc4cc5c(cc4[C@H]([C@H]1O)[C@H]23)OCO5,0.749
CC1(C)O[C@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@]4(F)[C@H](O)C[C@@]3(C)[C@]2(C(=O)CO)O1,2.367
CC1(C)O[C@H]2C[C@@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@]4(F)[C@H](O)C[C@@]3(C)[C@]2(C(=O)CO)O1,2.367
N[C@@H](CCc1ccc(N(CCCl)CCCl)cc1)C(=O)O,2.315
Nc1ccc2c(c1)C(=O)N[C@H](CCCl)O2,1.346
C[C@@H](CC(C(N)=O)(c1ccccc1)c1ccccc1)N(C)C,2.798
Cc1c(NC(=O)[C@H](C)N(C)C)c(=O)n(-c2ccccc2)n1C,1.373
CC[C@@H](C)NC[C@@H](O)c1ccc(N)cc1,1.69
CC(C)CCO[C@H](CN1CCCC1)c1ccccc1,3.886
O=C(O)[C@@H](O)c1ccccc1,0.805
CC[C@](C)(CN(C)C)OC(=O)c1ccccc1,2.574
CC(C)(C)NC[C@@H](O)COc1ccccc1NC(=O)c1ccco1,2.66
C[C@]12Cc3conc3C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O,4.383
COc1ccc2c(c1)C[C@@H](C)N(CCc1ccc(N)cc1)CC2,3.309
COc1ccc(C(=O)c2ccc3n2CC[C@@H]3C(=O)O)cc1,2.3
C1=CN2C[C@@H](c3ccccc3)N=C2S1,2.617
Cc1ccc(SC[C@H](S)CS)cc1,3.315
C=CCc1cc(OC)c2c(c1OC)OCO2,2.161
CN1CCN2c3ccccc3Cn3cccc3[C@@H]2C1,2.343
Cc1ccccc1NC(=O)[C@H](C)N1CCCC1,2.418
COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,3.337
CC(=O)Oc1ccccc1C(=O)O,1.31
C[C@H](C(=O)O)c1ccc(-c2ccsc2)cc1,3.603
CN1[C@H]2CC[C@@H]1CC(OC(=O)[C@@](C)(CO)c1ccccc1)C2,2.105
CN1[C@H]2CC[C@@H]1CC(OC(=O)[C@H](CO)c1ccccc1)C2,1.931
C[N+]1([O-])[C@H]2CC[C@@H]1CC(OC(=O)[C@H](CO)c1ccccc1)C2,1.943
NC[C@H](CC(=O)O)c1ccc(Cl)cc1,1.857
CC(=O)c1cc2cccc(OC[C@H](O)CNC(C)C)c2o1,2.373
Cc1cccc2c1Oc1ccccc1[C@@]1(O)CCN(C)C[C@H]21,3.408
O=C(O)c1ccc(N[C@H]2OC[C@@H](O)[C@H](O)[C@H]2O)cc1,0.764
C[C@H](NNC(=O)c1ccccc1)c1ccccc1,2.682
C[C@H](C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,4.336
CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1,3.932
CC(=O)O[C@H](c1ccc(Cl)c(Cl)c1)C(Cl)(Cl)Cl,4.968
OC[C@@H](O)COc1nn(Cc2ccccc2)c2ccccc12,1.817
O=C(O[C@@H]1CN2CCC1CC2)c1ccccc1,1.938
O=C(c1ccccc1)[C@@H](O)c1ccccc1,2.603
C[N+]1(C)CC[C@H](OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,2.314
O=C(OCc1ccccc1)[C@@H](O)c1ccccc1,2.463
COc1c(O)cc2c(c1O)[C@H]1O[C@@H](CO)[C@H](O)[C@H](O)[C@H]1OC2=O,1.201
Cc1ccc2c(c1)CC(=O)c1cc([C@H](C)C(=O)O)ccc1O2,3.714
CCO[C@H]1O[C@@H]2O[C@]3(C)CC[C@H]4[C@@H](C)CC[C@H]([C@@H]1C)[C@@]42OO3,3.231
C[C@@H](C[N+](C)(C)C)OC(N)=O,0.176
C[N+](C)(C)CCO[C@H](Cc1ccccc1)c1ccccc1,3.693
O=C(OCCN1CCCC1)[C@@]1(c2ccccc2)C[C@@H]2CC[C@H]1C2,3.383
