SMILES,logP
Cc1ccnc(NC2CCN(C(=O)c3ccoc3)CC2)c1,2.7
COc1ccnc(NC2CCN(C(=O)c3cccs3)CC2)c1,2.868
COc1ccnc(NC2CCN(C(=O)c3ccon3)CC2)c1,1.795
CN(C)C(=O)[C@H]1CN(c2ccccc2)C(=O)c2c1c1ccccc1n2C,3.011
COc1ccc2[nH]cc(CCn3ccc(=O)c(O)c3C)c2c1,2.595
NC1=Nc2ccccc2[C@H]2CCC[C@@]12F,2.665
NC1=Nc2c(F)cccc2[C@H]2CCC[C@]12F,2.804
NC1=Nc2ccc(Br)cc2[C@H]2CCC[C@@]12F,3.427
NC1=Nc2ccc(Cl)cc2[C@H]2CCC[C@@]12F,3.318
CNCc1ccc2c(c1)N=C(N)[C@@]1(F)CCC[C@H]21,2.384
COC(=S)NC[C@@H]1CN(c2ccc(-c3ccncc3)cc2)C(=O)O1,2.595
COC(=S)NC[C@@H]1CN(c2ccc(C(C)=O)cc2)C(=O)O1,1.735
COC(=S)NC[C@@H]1CN(c2ccc(C(C)=NO)cc2)C(=O)O1,1.731
COC(=S)NC[C@@H]1CN(c2ccc(/C(C)=C\C#N)cc2)C(=O)O1,2.46
COC(=S)NC[C@@H]1CN(c2ccc(C=C(C)C#N)cc2)C(=O)O1,2.46
NC(=S)NC[C@@H]1CN(c2ccc(-c3ccncc3)cc2)C(=O)O1,1.907
NC(=S)NC[C@@H]1CN(c2ccc(C3=CC(=O)CCC3)cc2)C(=O)O1,1.981
FC(F)(F)c1cccc(-c2nccnc2-c2ccncc2)c1,4.224
O=C(O)COc1ccc2cc(-c3ccccn3)ccc2c1,3.365
O=C(O)COc1ccc2cc(C3=NCCO3)ccc2c1,2.08
O=C(NCc1ccc(Cl)cc1)c1ccc2cccnc2c1O,3.524
O=C(Nc1ccc(Cl)cc1)c1ccc2cccnc2c1O,3.846
CC(C)(C)C(=O)Oc1ccc(C[C@H]2NC(=O)COC2=O)cc1O,0.928
COc1cc2ncc(N[C@H]3CC[C@H](O)[C@H](C)C3)nc2cc1OC,2.608
COc1cc2ncc(N[C@@H]3C[C@H]4C[C@@H]3C[C@H]4O)nc2cc1OC,2.218
COc1cc2ncc(NC3CCC(O)CC3)nc2cc1Cl,3.007
COc1cc2cc(NC3CCC(O)CC3)cnc2cc1OC,2.967
COc1cc2ncc(N[C@H]3CC[C@H](O)[C@@H](C)C3)nc2cc1OC,2.608
COc1cc2ncc(N[C@H]3C[C@@H]4C[C@H]3C[C@@H]4O)nc2cc1OC,2.218
Clc1cccc(-c2nc3c(c(NC4CCCC4)n2)CCC3)c1,4.64
Cc1ccc(-c2nc3c(c(NC4CCC(O)CC4)n2)CCC3)cc1,3.656
COc1cc2ncc(N[C@H]3CC=CCC3)nc2cc1OC,3.168
COc1cc2ncc(N[C@H]3C[C@@H]4CC[C@H]3C4)nc2cc1OC,3.248
COc1cc2ncc(O[C@@H]3C[C@@H]4C=C[C@H]3C4)nc2cc1OC,2.99
COc1cc2ncc(OCC3CCCC3)nc2cc1OC,3.216
COC(=O)C1CCC(Nc2cnc3cc(OC)c(OC)cc3n2)CC1,2.791
COc1cc2ncc(N[C@H]3CCC[C@H](C)C3)nc2cc1OC,3.638
COc1cc2cc(N[C@@H]3CCC[C@H](C)C3)cnc2cc1OC,4.243
NC[C@H](CC(=O)O)C1CCCC1,1.226
O=c1oc(-c2ccco2)nc2scc(-c3cccs3)c12,4.238
Cc1csc2nc(-c3ccccc3[N+](=O)[O-])oc(=O)c12,3.133
Cc1csc2c(=O)oc(-c3c(F)cccc3F)nc12,3.503
Cc1ccccc1-c1nc2c(cnn2C)c(=O)o1,1.897
CCSc1ncc2c(=O)oc(-c3ccccc3C)nc2n1,3.065
O=c1oc(-c2ccccc2F)nc2ncccc12,2.389
O=c1oc(-c2c(F)cccc2F)nc2cnccc12,2.528
Cn1c(=O)c(Cc2[nH]c3ccccc3c2CCO)c(O)c2ccccc21,2.851
Cc1cc(=O)oc2c(C)c3c(cc12)[C@@H](CC#N)CO3,2.8
CN1[C@H]2CC[C@@H]1C=C(c1ccccc1Br)C2,3.699
CN1[C@H]2CC[C@@H]1C=C(c1ccc3cc(S)ccc3c1)C2,4.378
CN1[C@H]2CC[C@@H]1C=C(c1ccc3cc(N4CCCNCC4)ccc3c1)C2,3.889
N#C[C@H]1CCCN1C(=O)CNC1[C@H]2CC3C[C@@H]1CC(O)(C3)C2,1.03
CN(C)CC1=C(c2cccc(O)c2)C[C@H](c2cccc(O)c2)CCC1,4.771
CN1C[C@@H]2C[C@H]1CN2c1ccc(Cl)nc1,1.628
CN1C[C@@H]2C[C@H]1CN2c1ccc(Cl)nn1,1.023
c1ccc(-c2ccc(N3C[C@@H]4C[C@H]3CN4)nn2)cc1,1.694
CN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccccc2)nn1,2.036
c1ccc(-c2cncc(N3C[C@@H]4C[C@H]3CN4)c2)cc1,2.299
c1ccc(-c2ccc(N3C[C@@H]4C[C@H]3CN4)cn2)cc1,2.299
Clc1ccc(N2CCN3CCC2CC3)nn1,1.414
c1ccc(-c2ccc(N3CCN4CCC3CC4)cn2)cc1,3.033
Brc1cncc(N2CCN3CCC2CC3)c1,2.128
c1ccc(-c2cncc(N3CCN4CCC3CC4)c2)cc1,3.033
c1ccc(-c2ccc(N3CCN4CCC3CC4)nn2)cc1,2.428
Fc1ccc(Nc2nc(-c3ccc(F)cc3)cs2)cc1,4.832
CC[C@@H]1C(=O)N(S(=O)(=O)c2ccc(C)cc2)C[C@H]1C(=O)O,1.253
CC[C@H]1CCNc2cc3oc(=O)cc(C(F)(F)F)c3cc21,4.121
c1cncc(C[C@@H]2CC3CCN2CC3)c1,2.108
C(=C1\CC2CCN1CC2)\c1cccnc1,2.538
O[C@H]1C2CCN(CC2)[C@H]1Cc1cccnc1,1.079
CCn1c(=O)[nH]c2c3c(ccc21)CCCC3,2.228
CCn1c(=O)oc2c3ccccc3ccc21,2.768
CCn1c(=O)[nH]c2c3ccccc3ccc21,2.503
CCn1c(=O)[nH]c2c3ncccc3ccc21,1.898
CCn1c(=O)[nH]c2c(Cl)c(Cl)ccc21,2.656
CCn1c(=O)n(CC)c2c(Cl)c(Cl)ccc21,3.15
CCn1c(=O)oc2cc(Cl)ccc21,2.268
COc1ccc(/C(C)=N/O)c(OC)c1OC,1.911
O/N=C/c1ccc2ccccc2c1O,2.354
C/C(=N\O)c1ccc2ccccc2c1O,2.744
Cc1ccc(/C=N/O)c(O)c1C,1.817
O/N=C/c1ccc(Cl)c(Cl)c1O,2.507
O=C(O/N=C/c1ccc(Cl)c(Cl)c1O)c1ccccc1,3.89
COc1c(/C(C)=N/O)ccc2ccccc12,3.047
CCOc1c(/C(C)=N/O)ccc2ccccc12,3.437
C/C(=N\O)c1ccc(C)c(C)c1O,2.207
COc1c(/C(C)=N/O)ccc(C)c1C,2.51
COc1ccc(/C(C)=N/O)c(O)c1OC,1.608
CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n2nc(CC)nc12,2.397
CCCc1nc2n(CCC)c(=O)c3[nH]c(C4CCCC4)nc3n2n1,2.787
CCCc1nc2n(CCC)c(=O)c3[nH]c(-c4ccccc4)nc3n2n1,2.797
CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n2nc(C(C)(C)C)nc12,3.132
COc1ccccc1N1CCN(CC2CCNCC2)CC1,1.817
O=C(C1CCNCC1)N1CCN(c2cccc3[nH]ccc23)CC1,1.816
CN1CCC(CN2CCN(c3cccc4[nH]ccc34)CC2)CC1,2.632
c1ccc(CCCN2CCN(c3ccccn3)CC2)cc1,2.836
CNC(=O)c1cccc(NC(=O)OCc2ccc(C)cc2)c1,3.103
CNC(=O)c1cccc(NC(=O)OCc2cccc3ccccc23)c1,3.948
CNC(=O)c1cccc(NC(=O)OCc2ccc3ccccc3c2)c1,3.948
